Orthogroup	Syas	Prbl
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Prbl.g_00808, Prbl.g_02598
OG0000003	Syas.g_00054	Prbl.g_01929, Prbl.g_01308
OG0000004	Syas.g_00176	Prbl.g_00021
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prbl.g_01771
OG0000005	Syas.g_02704	Prbl.g_00419
OG0000006	Syas.g_00942, Syas.g_01684, Syas.g_02565, Syas.g_00720	Prbl.g_02601
OG0000007	Syas.g_01232	Prbl.g_00531
OG0000007	Syas.g_02681	Prbl.g_00394
OG0000008	Syas.g_00886	Prbl.g_01855
OG0000008	Syas.g_00887	Prbl.g_01854
OG0000009	Syas.g_01450	Prbl.g_00155, Prbl.g_00554
OG0000010	Syas.g_01334	Prbl.g_01341
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Prbl.g_01183
OG0000014	Syas.g_01816	Prbl.g_01416
OG0000017	Syas.g_00856	Prbl.g_01755
OG0000017	Syas.g_00849	Prbl.g_01763
OG0000018	Syas.g_01290	Prbl.g_00694
OG0000019	Syas.g_01696	Prbl.g_01097, Prbl.g_01509
OG0000022	Syas.g_02758	Prbl.g_01310, Prbl.g_01072
OG0000025	Syas.g_00231	Prbl.g_01539
OG0000026	Syas.g_02070	Prbl.g_01977
OG0000028	Syas.g_01793	Prbl.g_00900
OG0000030	Syas.g_01644	Prbl.g_02061
OG0000030	Syas.g_01645	Prbl.g_02060
OG0000033	Syas.g_02328	Prbl.g_00278
OG0000034	Syas.g_02371, Syas.g_02838	Prbl.g_01734
OG0000035	Syas.g_02814, Syas.g_02818	Prbl.g_00242
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Prbl.g_00548
OG0000038	Syas.g_01885	Prbl.g_02235
OG0000038	Syas.g_01887	Prbl.g_02233
OG0000039	Syas.g_02795	Prbl.g_00318
OG0000042	Syas.g_01121, Syas.g_02147	Prbl.g_01236, Prbl.g_01121
OG0000044	Syas.g_00894, Syas.g_02453	Prbl.g_01937, Prbl.g_01006, Prbl.g_02631, Prbl.g_02612
OG0000046	Syas.g_01553, Syas.g_01556, Syas.g_01558	Prbl.g_01184
OG0000048	Syas.g_01734	Prbl.g_01465
OG0000051	Syas.g_01445	Prbl.g_01677
OG0000053	Syas.g_01287	Prbl.g_00691
OG0000054	Syas.g_00961	Prbl.g_01752
OG0000059	Syas.g_01639	Prbl.g_00952
OG0000060	Syas.g_01680	Prbl.g_00063
OG0000061	Syas.g_01184	Prbl.g_02084
OG0000062	Syas.g_02702, Syas.g_00070	Prbl.g_00417
OG0000063	Syas.g_02074	Prbl.g_01981
OG0000065	Syas.g_02420	Prbl.g_00552
OG0000066	Syas.g_00094	Prbl.g_00752
OG0000067	Syas.g_00596	Prbl.g_02335
OG0000068	Syas.g_00969, Syas.g_01261	Prbl.g_00502
OG0000070	Syas.g_00173	Prbl.g_00634
OG0000072	Syas.g_02326, Syas.g_01524	Prbl.g_00276
OG0000073	Syas.g_01230	Prbl.g_00533
OG0000075	Syas.g_01921, Syas.g_02194	Prbl.g_00855
OG0000076	Syas.g_02156	Prbl.g_01285
OG0000077	Syas.g_02510	Prbl.g_00631
OG0000078	Syas.g_02308	Prbl.g_00193
OG0000079	Syas.g_01699	Prbl.g_01505
OG0000081	Syas.g_00391	Prbl.g_01036, Prbl.g_00032
OG0000082	Syas.g_00837	Prbl.g_01783
OG0000085	Syas.g_02695	Prbl.g_00405
OG0000086	Syas.g_02470	Prbl.g_00583
OG0000087	Syas.g_02374	Prbl.g_00810
OG0000089	Syas.g_01512	Prbl.g_02674
OG0000090	Syas.g_00062	Prbl.g_00766
OG0000091	Syas.g_00907, Syas.g_00146	Prbl.g_01647
OG0000094	Syas.g_01716	Prbl.g_02209
OG0000095	Syas.g_01021	Prbl.g_00927
OG0000098	Syas.g_00091	Prbl.g_00722
OG0000099	Syas.g_01826	Prbl.g_00893
OG0000100	Syas.g_00567	Prbl.g_01914, Prbl.g_02305
OG0000101	Syas.g_01589	Prbl.g_01126
OG0000102	Syas.g_02152, Syas.g_01395	Prbl.g_02636
OG0000103	Syas.g_02009	Prbl.g_02139
OG0000104	Syas.g_02027, Syas.g_02026	Prbl.g_02125
OG0000105	Syas.g_01739	Prbl.g_01461
OG0000106	Syas.g_01451	Prbl.g_00411
OG0000107	Syas.g_01669	Prbl.g_02681
OG0000108	Syas.g_01253	Prbl.g_00511
OG0000109	Syas.g_01236	Prbl.g_00527
OG0000110	Syas.g_00818	Prbl.g_01795
OG0000111	Syas.g_01037	Prbl.g_00026
OG0000112	Syas.g_00452	Prbl.g_02470
OG0000113	Syas.g_00571	Prbl.g_02310
OG0000114	Syas.g_00674	Prbl.g_02407
OG0000115	Syas.g_02548, Syas.g_01285	Prbl.g_00687
OG0000116	Syas.g_01198, Syas.g_00317	Prbl.g_02069
