Orthogroup	Syas	Prai
OG0000004	Syas.g_00176	Prai.g_00724
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prai.g_00243
OG0000005	Syas.g_02665	Prai.g_01651
OG0000005	Syas.g_02704	Prai.g_01538
OG0000006	Syas.g_00942, Syas.g_01684, Syas.g_02565, Syas.g_00720	Prai.g_00252, Prai.g_00254
OG0000007	Syas.g_01232	Prai.g_00527
OG0000007	Syas.g_02681	Prai.g_01638
OG0000008	Syas.g_00886, Syas.g_00887	Prai.g_00701
OG0000009	Syas.g_01450	Prai.g_00105
OG0000010	Syas.g_01334	Prai.g_01292, Prai.g_01067, Prai.g_00504
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Prai.g_00340
OG0000014	Syas.g_01816	Prai.g_00319
OG0000016	Syas.g_02048	Prai.g_00013
OG0000017	Syas.g_00849	Prai.g_00626
OG0000018	Syas.g_01290	Prai.g_01153, Prai.g_00820
OG0000019	Syas.g_01696	Prai.g_00262, Prai.g_00867
OG0000022	Syas.g_02758	Prai.g_00885, Prai.g_01139
OG0000025	Syas.g_00231	Prai.g_00812, Prai.g_00344
OG0000026	Syas.g_02070	Prai.g_00031, Prai.g_01074
OG0000027	Syas.g_01480	Prai.g_00904
OG0000028	Syas.g_01793	Prai.g_00333, Prai.g_01297
OG0000030	Syas.g_01644, Syas.g_01645	Prai.g_01848
OG0000033	Syas.g_02328	Prai.g_00180
OG0000034	Syas.g_02371, Syas.g_02838	Prai.g_01345
OG0000035	Syas.g_02814, Syas.g_02818	Prai.g_01463
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Prai.g_00109
OG0000038	Syas.g_01885, Syas.g_01887	Prai.g_01890
OG0000039	Syas.g_02795	Prai.g_00715
OG0000042	Syas.g_01121, Syas.g_02147	Prai.g_01845
OG0000048	Syas.g_01734	Prai.g_00387
OG0000051	Syas.g_01445	Prai.g_00434, Prai.g_01263
OG0000053	Syas.g_01287	Prai.g_01483
OG0000054	Syas.g_00961	Prai.g_00634
OG0000058	Syas.g_01151	Prai.g_01859
OG0000061	Syas.g_01184	Prai.g_01171
OG0000062	Syas.g_00070	Prai.g_01540
OG0000063	Syas.g_02074	Prai.g_00033, Prai.g_01261
OG0000065	Syas.g_02420	Prai.g_00107
OG0000066	Syas.g_00094	Prai.g_00567
OG0000067	Syas.g_00596	Prai.g_00848
OG0000068	Syas.g_00969, Syas.g_01261	Prai.g_01370
OG0000070	Syas.g_00173	Prai.g_00481
OG0000072	Syas.g_02326, Syas.g_01524	Prai.g_00182
OG0000073	Syas.g_01230, Syas.g_00358, Syas.g_00264	Prai.g_00529
OG0000075	Syas.g_01921, Syas.g_02194	Prai.g_01814
OG0000076	Syas.g_02156	Prai.g_01838
OG0000078	Syas.g_02308	Prai.g_00250
OG0000079	Syas.g_01699	Prai.g_00265
OG0000081	Syas.g_00391	Prai.g_00559
OG0000082	Syas.g_00837	Prai.g_00613
OG0000085	Syas.g_02695	Prai.g_01631
OG0000086	Syas.g_02470	Prai.g_00088
OG0000087	Syas.g_02374	Prai.g_00139
OG0000089	Syas.g_01512	Prai.g_00368
OG0000090	Syas.g_00062	Prai.g_00561
OG0000091	Syas.g_00907, Syas.g_00146	Prai.g_00671
OG0000092	Syas.g_00900, Syas.g_00877	Prai.g_01041
OG0000094	Syas.g_00208, Syas.g_01716	Prai.g_00937
OG0000095	Syas.g_01021	Prai.g_00918
OG0000097	Syas.g_00114, Syas.g_01443	Prai.g_01214
OG0000098	Syas.g_00091	Prai.g_01353
OG0000099	Syas.g_01826	Prai.g_01393
OG0000100	Syas.g_00567	Prai.g_01536
OG0000101	Syas.g_01589	Prai.g_01782
OG0000102	Syas.g_02152, Syas.g_01395	Prai.g_01843
OG0000103	Syas.g_02009	Prai.g_01923
OG0000104	Syas.g_02027, Syas.g_02026	Prai.g_01932
OG0000105	Syas.g_01739	Prai.g_00286, Prai.g_00287
OG0000106	Syas.g_01451	Prai.g_00383
OG0000107	Syas.g_01669	Prai.g_00397
OG0000108	Syas.g_01253	Prai.g_00510
OG0000109	Syas.g_01236	Prai.g_00524
OG0000110	Syas.g_00818	Prai.g_00603
OG0000111	Syas.g_01037	Prai.g_00728
OG0000112	Syas.g_00452	Prai.g_00882
OG0000113	Syas.g_00571	Prai.g_00825
OG0000114	Syas.g_00674	Prai.g_01046
OG0000115	Syas.g_02548, Syas.g_01285	Prai.g_01119
OG0000116	Syas.g_01198, Syas.g_00317	Prai.g_01162
OG0000117	Syas.g_01122	Prai.g_01273
OG0000118	Syas.g_02835	Prai.g_01347
OG0000120	Syas.g_01828	Prai.g_01443
OG0000121	Syas.g_02821	Prai.g_01465
OG0000123	Syas.g_01582	Prai.g_01789
OG0000124	Syas.g_02137	Prai.g_01854
OG0000125	Syas.g_01889	Prai.g_01892
OG0000126	Syas.g_01992	Prai.g_01931
OG0000128	Syas.g_02046	Prai.g_00011
OG0000129	Syas.g_01880	Prai.g_00051
OG0000130	Syas.g_02522	Prai.g_00069
OG0000131	Syas.g_02367	Prai.g_00156
OG0000132	Syas.g_02334	Prai.g_00175
OG0000133	Syas.g_00457	Prai.g_00335
OG0000134	Syas.g_01509	Prai.g_00369
OG0000135	Syas.g_01938	Prai.g_00393
OG0000136	Syas.g_02740	Prai.g_00472
OG0000137	Syas.g_01333	Prai.g_00505
OG0000138	Syas.g_01235	Prai.g_00525
OG0000140	Syas.g_00090	Prai.g_00566
OG0000141	Syas.g_00875	Prai.g_00635
OG0000142	Syas.g_00746	Prai.g_00664
OG0000143	Syas.g_00742	Prai.g_00668
OG0000144	Syas.g_00718	Prai.g_00681
OG0000145	Syas.g_00948	Prai.g_00883
OG0000146	Syas.g_00451	Prai.g_00881
OG0000147	Syas.g_00450	Prai.g_00880
OG0000148	Syas.g_00577	Prai.g_00831
OG0000149	Syas.g_00282	Prai.g_00800
OG0000150	Syas.g_00874	Prai.g_00792
OG0000151	Syas.g_00148, Syas.g_00659	Prai.g_01036
OG0000152	Syas.g_00461	Prai.g_00989
OG0000153	Syas.g_00543	Prai.g_00970
OG0000154	Syas.g_00219	Prai.g_00943
OG0000155	Syas.g_01131	Prai.g_01191
OG0000156	Syas.g_01206	Prai.g_01323
OG0000157	Syas.g_01207	Prai.g_01324
OG0000158	Syas.g_02185	Prai.g_01392
OG0000159	Syas.g_01155	Prai.g_01321, Prai.g_01390
OG0000160	Syas.g_02820	Prai.g_01464
OG0000161	Syas.g_02826	Prai.g_01470
OG0000162	Syas.g_02751	Prai.g_01476
OG0000163	Syas.g_01488	Prai.g_01509
OG0000164	Syas.g_02648	Prai.g_01662
OG0000165	Syas.g_02609	Prai.g_01669
OG0000166	Syas.g_01629	Prai.g_01740
OG0000167	Syas.g_01449	Prai.g_01812
OG0000168	Syas.g_02184	Prai.g_01822
OG0000169	Syas.g_02170	Prai.g_01832
OG0000170	Syas.g_02161	Prai.g_01834
OG0000171	Syas.g_02139	Prai.g_01853
OG0000172	Syas.g_02110	Prai.g_01863
OG0000173	Syas.g_02092	Prai.g_01878
OG0000174	Syas.g_01940	Prai.g_01905
OG0000175	Syas.g_01994	Prai.g_01915
OG0000176	Syas.g_02038	Prai.g_00004
OG0000177	Syas.g_02039	Prai.g_00005
OG0000178	Syas.g_02040	Prai.g_00006
OG0000179	Syas.g_02054	Prai.g_00016
OG0000180	Syas.g_02055	Prai.g_00017
OG0000181	Syas.g_02056	Prai.g_00018
OG0000182	Syas.g_02057	Prai.g_00019
OG0000183	Syas.g_02061	Prai.g_00023
OG0000184	Syas.g_01872	Prai.g_00053
OG0000185	Syas.g_01861	Prai.g_00056
OG0000186	Syas.g_02525	Prai.g_00064
OG0000187	Syas.g_02524	Prai.g_00065
OG0000188	Syas.g_02502	Prai.g_00082
OG0000189	Syas.g_02432	Prai.g_00096
OG0000190	Syas.g_00133	Prai.g_00097
OG0000191	Syas.g_02400	Prai.g_00117
OG0000192	Syas.g_02395	Prai.g_00121
OG0000193	Syas.g_02366	Prai.g_00157
OG0000194	Syas.g_02363	Prai.g_00160
OG0000195	Syas.g_02360	Prai.g_00162
OG0000196	Syas.g_02337	Prai.g_00172
OG0000197	Syas.g_02336	Prai.g_00173
OG0000198	Syas.g_02335	Prai.g_00174
OG0000199	Syas.g_02327	Prai.g_00181
OG0000200	Syas.g_02298	Prai.g_00195
OG0000201	Syas.g_02279	Prai.g_00203
OG0000202	Syas.g_02278	Prai.g_00204
OG0000203	Syas.g_02277	Prai.g_00205
OG0000204	Syas.g_02276	Prai.g_00206
OG0000205	Syas.g_02267	Prai.g_00213
OG0000206	Syas.g_02240	Prai.g_00218
OG0000207	Syas.g_02237	Prai.g_00220
OG0000208	Syas.g_02236	Prai.g_00221
OG0000209	Syas.g_01837	Prai.g_00230
OG0000210	Syas.g_01838	Prai.g_00231
OG0000211	Syas.g_02552	Prai.g_00244
OG0000212	Syas.g_02562	Prai.g_00251
OG0000213	Syas.g_01707	Prai.g_00270
OG0000214	Syas.g_01730	Prai.g_00280
OG0000215	Syas.g_01766	Prai.g_00305
OG0000216	Syas.g_01770	Prai.g_00307
OG0000217	Syas.g_01778	Prai.g_00310
OG0000218	Syas.g_01780	Prai.g_00312
OG0000219	Syas.g_01783	Prai.g_00313
OG0000220	Syas.g_01784	Prai.g_00314
OG0000221	Syas.g_01785	Prai.g_00315
OG0000222	Syas.g_01804	Prai.g_00323
OG0000223	Syas.g_02221	Prai.g_00336
OG0000224	Syas.g_02215	Prai.g_00338
OG0000225	Syas.g_01522	Prai.g_00358
OG0000226	Syas.g_01518	Prai.g_00362
OG0000227	Syas.g_01516	Prai.g_00364
OG0000228	Syas.g_01513	Prai.g_00367
OG0000229	Syas.g_01497	Prai.g_00467
OG0000230	Syas.g_01495	Prai.g_00469
OG0000231	Syas.g_02749	Prai.g_00480
OG0000232	Syas.g_01276	Prai.g_00489
OG0000233	Syas.g_01352	Prai.g_00494
OG0000234	Syas.g_01331	Prai.g_00506
