Orthogroup	Syas	Syaa
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syaa.g_02439
OG0000004	Syas.g_00176	Syaa.g_00892
OG0000004	Syas.g_00174, Syas.g_00311	Syaa.g_01667
OG0000004	Syas.g_00072	Syaa.g_02116
OG0000005	Syas.g_02665	Syaa.g_00534
OG0000005	Syas.g_02704	Syaa.g_00573
OG0000006	Syas.g_01684, Syas.g_02565	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Syas.g_01232	Syaa.g_02032
OG0000007	Syas.g_02681	Syaa.g_00551
OG0000008	Syas.g_00886	Syaa.g_00918
OG0000008	Syas.g_00887	Syaa.g_00919
OG0000009	Syas.g_01450	Syaa.g_02378
OG0000010	Syas.g_01334	Syaa.g_01843
OG0000014	Syas.g_01816	Syaa.g_00222
OG0000015	Syas.g_02007	Syaa.g_02739
OG0000016	Syas.g_02048	Syaa.g_00014
OG0000016	Syas.g_01086	Syaa.g_00981
OG0000017	Syas.g_00856	Syaa.g_01883
OG0000017	Syas.g_00849	Syaa.g_01890
OG0000018	Syas.g_01290	Syaa.g_01801
OG0000019	Syas.g_01696	Syaa.g_00307
OG0000022	Syas.g_02758	Syaa.g_01571
OG0000025	Syas.g_00231	Syaa.g_00839
OG0000026	Syas.g_02070	Syaa.g_00038
OG0000027	Syas.g_01480	Syaa.g_01605, Syaa.g_00854
OG0000028	Syas.g_01793	Syaa.g_00205
OG0000030	Syas.g_01644	Syaa.g_00099
OG0000030	Syas.g_01645	Syaa.g_00098
OG0000031	Syas.g_01827	Syaa.g_00200
OG0000033	Syas.g_02328	Syaa.g_00485, Syaa.g_02478
OG0000034	Syas.g_02371, Syas.g_02838	Syaa.g_00722, Syaa.g_02444
OG0000035	Syas.g_02814, Syas.g_02818	Syaa.g_01773
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Syaa.g_02384
OG0000038	Syas.g_01885	Syaa.g_02596
OG0000040	Syas.g_01972	Syaa.g_02690
OG0000040	Syas.g_02028	Syaa.g_01606
OG0000042	Syas.g_01121, Syas.g_02147	Syaa.g_00103
OG0000044	Syas.g_00894, Syas.g_02453	Syaa.g_01737, Syaa.g_00851, Syaa.g_00363
OG0000048	Syas.g_01734	Syaa.g_02719, Syaa.g_00275
OG0000051	Syas.g_01445	Syaa.g_01531
OG0000053	Syas.g_01287	Syaa.g_01797
OG0000054	Syas.g_00961	Syaa.g_01691
OG0000054	Syas.g_00957	Syaa.g_01502
OG0000055	Syas.g_00203	Syaa.g_01564
OG0000057	Syas.g_01055	Syaa.g_01466
OG0000058	Syas.g_01151	Syaa.g_00193
OG0000060	Syas.g_00975	Syaa.g_01007
OG0000061	Syas.g_01184	Syaa.g_00770
OG0000062	Syas.g_02702	Syaa.g_00571
OG0000063	Syas.g_02074	Syaa.g_00042
OG0000064	Syas.g_02423	Syaa.g_02666
OG0000064	Syas.g_00946	Syaa.g_01568
OG0000065	Syas.g_02420	Syaa.g_02380
OG0000066	Syas.g_00094	Syaa.g_01968
OG0000067	Syas.g_00596	Syaa.g_01154
OG0000068	Syas.g_00969, Syas.g_01261	Syaa.g_02059
OG0000069	Syas.g_00876	Syaa.g_01497
OG0000070	Syas.g_00173	Syaa.g_00718
OG0000072	Syas.g_02326	Syaa.g_02480
OG0000073	Syas.g_01230	Syaa.g_02030
OG0000075	Syas.g_01921, Syas.g_02194	Syaa.g_00157
OG0000076	Syas.g_02156	Syaa.g_00123
OG0000078	Syas.g_02308, Syas.g_02561	Syaa.g_02103
OG0000079	Syas.g_01699	Syaa.g_00303
OG0000081	Syas.g_00391	Syaa.g_01694, Syaa.g_02089
OG0000082	Syas.g_00837	Syaa.g_01905
OG0000085	Syas.g_02695	Syaa.g_00564
OG0000086	Syas.g_02470	Syaa.g_00324
OG0000087	Syas.g_02374	Syaa.g_02433
OG0000089	Syas.g_01512	Syaa.g_02149
OG0000090	Syas.g_00062	Syaa.g_01980
OG0000091	Syas.g_00907, Syas.g_00146	Syaa.g_01625
OG0000094	Syas.g_00208	Syaa.g_01288
OG0000095	Syas.g_01021	Syaa.g_00879
OG0000099	Syas.g_01826	Syaa.g_00202
OG0000100	Syas.g_00567	Syaa.g_01201
OG0000102	Syas.g_02152, Syas.g_01395	Syaa.g_00118
OG0000104	Syas.g_02027, Syas.g_02026	Syaa.g_02754
OG0000105	Syas.g_01739	Syaa.g_00270
OG0000106	Syas.g_01451	Syaa.g_01439
OG0000107	Syas.g_01669	Syaa.g_02351
OG0000108	Syas.g_01253	Syaa.g_02051
OG0000110	Syas.g_00818	Syaa.g_01918
OG0000111	Syas.g_01037	Syaa.g_00888
OG0000112	Syas.g_00452	Syaa.g_01366
OG0000113	Syas.g_00571	Syaa.g_01196
OG0000114	Syas.g_00674, Syas.g_00252	Syaa.g_01094
OG0000115	Syas.g_02548, Syas.g_01285	Syaa.g_01795
OG0000116	Syas.g_01198, Syas.g_00317	Syaa.g_00757
OG0000117	Syas.g_01122	Syaa.g_01009
OG0000118	Syas.g_02835	Syaa.g_01874
OG0000120	Syas.g_01828	Syaa.g_00201
OG0000121	Syas.g_02821	Syaa.g_01777
OG0000122	Syas.g_00393	Syaa.g_01598
OG0000123	Syas.g_01582	Syaa.g_02242
OG0000124	Syas.g_02137	Syaa.g_00092
OG0000125	Syas.g_01889	Syaa.g_02598
OG0000126	Syas.g_01992	Syaa.g_02752
OG0000127	Syas.g_02540	Syaa.g_00377
OG0000128	Syas.g_02046	Syaa.g_00012
OG0000129	Syas.g_01880	Syaa.g_02586
OG0000130	Syas.g_02522	Syaa.g_00354
OG0000131	Syas.g_02367	Syaa.g_02448
OG0000132	Syas.g_02334	Syaa.g_02472
OG0000133	Syas.g_00457	Syaa.g_01361
OG0000134	Syas.g_01509	Syaa.g_02146
OG0000135	Syas.g_01938	Syaa.g_02649
OG0000136	Syas.g_02740	Syaa.g_00708
OG0000137	Syas.g_01333	Syaa.g_01842
OG0000138	Syas.g_01235	Syaa.g_02035
OG0000140	Syas.g_00090	Syaa.g_01971
OG0000141	Syas.g_00875	Syaa.g_01689
OG0000142	Syas.g_00746	Syaa.g_01633
OG0000143	Syas.g_00742	Syaa.g_01629
OG0000144	Syas.g_00718	Syaa.g_01446
OG0000145	Syas.g_00948	Syaa.g_02029
OG0000146	Syas.g_00451	Syaa.g_01367
OG0000147	Syas.g_00450	Syaa.g_01368
OG0000148	Syas.g_00577	Syaa.g_01190
OG0000149	Syas.g_00282	Syaa.g_00826
OG0000150	Syas.g_00874	Syaa.g_01688
OG0000151	Syas.g_00148, Syas.g_00659	Syaa.g_01107
OG0000152	Syas.g_00461	Syaa.g_01357
OG0000153	Syas.g_00543	Syaa.g_01324
OG0000154	Syas.g_00219	Syaa.g_01298
OG0000155	Syas.g_01131	Syaa.g_00804
OG0000156	Syas.g_01206	Syaa.g_00751
OG0000157	Syas.g_01207	Syaa.g_00750
OG0000158	Syas.g_02185	Syaa.g_00148
OG0000159	Syas.g_01155	Syaa.g_00456
OG0000160	Syas.g_02820	Syaa.g_01776
OG0000161	Syas.g_02826	Syaa.g_01782
OG0000162	Syas.g_02751	Syaa.g_01788
OG0000163	Syas.g_01488	Syaa.g_00624
OG0000165	Syas.g_02609	Syaa.g_00681
OG0000166	Syas.g_01629	Syaa.g_02289
OG0000167	Syas.g_01449	Syaa.g_00160
OG0000168	Syas.g_02184	Syaa.g_00145
OG0000169	Syas.g_02170	Syaa.g_00134
OG0000170	Syas.g_02161	Syaa.g_00128
OG0000171	Syas.g_02139	Syaa.g_00093
OG0000172	Syas.g_02110	Syaa.g_00079
OG0000173	Syas.g_02092	Syaa.g_00060
OG0000174	Syas.g_01940	Syaa.g_02651
OG0000175	Syas.g_01994	Syaa.g_02726
OG0000176	Syas.g_02038	Syaa.g_00004
OG0000177	Syas.g_02039	Syaa.g_00005
OG0000178	Syas.g_02040	Syaa.g_00006
OG0000179	Syas.g_02054	Syaa.g_00023
OG0000180	Syas.g_02055	Syaa.g_00024
OG0000181	Syas.g_02056	Syaa.g_00025
OG0000182	Syas.g_02057	Syaa.g_00026
OG0000183	Syas.g_02061	Syaa.g_00030
OG0000184	Syas.g_01872	Syaa.g_02578
OG0000185	Syas.g_01861	Syaa.g_02575
OG0000186	Syas.g_02525	Syaa.g_00359
OG0000187	Syas.g_02524	Syaa.g_00358
OG0000188	Syas.g_02502	Syaa.g_00334
OG0000189	Syas.g_02432	Syaa.g_02367
OG0000190	Syas.g_00133	Syaa.g_02369
OG0000191	Syas.g_02400	Syaa.g_02404
OG0000192	Syas.g_02395	Syaa.g_02410
OG0000193	Syas.g_02366	Syaa.g_02449
OG0000194	Syas.g_02363	Syaa.g_02452
OG0000196	Syas.g_02337	Syaa.g_02469
OG0000197	Syas.g_02336	Syaa.g_02470
OG0000198	Syas.g_02335	Syaa.g_02471
OG0000199	Syas.g_02327	Syaa.g_02479
OG0000200	Syas.g_02298	Syaa.g_02496
OG0000201	Syas.g_02279	Syaa.g_02521
OG0000202	Syas.g_02278	Syaa.g_02522
OG0000203	Syas.g_02277	Syaa.g_02523
OG0000204	Syas.g_02276	Syaa.g_02524
OG0000205	Syas.g_02267	Syaa.g_02531
OG0000206	Syas.g_02240	Syaa.g_02538
OG0000207	Syas.g_02237	Syaa.g_02540
OG0000208	Syas.g_02236	Syaa.g_02541
OG0000209	Syas.g_01837	Syaa.g_02556
OG0000210	Syas.g_01838	Syaa.g_02557
OG0000211	Syas.g_02552	Syaa.g_02113
OG0000212	Syas.g_02562	Syaa.g_02102
OG0000213	Syas.g_01707	Syaa.g_00295
OG0000214	Syas.g_01730	Syaa.g_00279
OG0000215	Syas.g_01766	Syaa.g_00248
OG0000216	Syas.g_01770	Syaa.g_00244
OG0000217	Syas.g_01778	Syaa.g_00240
OG0000218	Syas.g_01780	Syaa.g_00238
OG0000219	Syas.g_01783	Syaa.g_00237
OG0000220	Syas.g_01784	Syaa.g_00236
OG0000221	Syas.g_01785	Syaa.g_00229
OG0000222	Syas.g_01804	Syaa.g_00215
OG0000223	Syas.g_02221	Syaa.g_00192
OG0000224	Syas.g_02215	Syaa.g_00183
OG0000225	Syas.g_01522	Syaa.g_02166
OG0000226	Syas.g_01518	Syaa.g_02162
OG0000227	Syas.g_01516	Syaa.g_02160
OG0000228	Syas.g_01513	Syaa.g_02150
OG0000229	Syas.g_01497	Syaa.g_00703
OG0000230	Syas.g_01495	Syaa.g_00705
OG0000232	Syas.g_01276	Syaa.g_01858
OG0000233	Syas.g_01352	Syaa.g_01853
OG0000234	Syas.g_01331	Syaa.g_01841
OG0000235	Syas.g_01254	Syaa.g_02052
OG0000236	Syas.g_01237	Syaa.g_02037
OG0000237	Syas.g_01220	Syaa.g_02020
OG0000238	Syas.g_01215	Syaa.g_02015
OG0000239	Syas.g_00012	Syaa.g_01996
OG0000240	Syas.g_00013	Syaa.g_01995
OG0000241	Syas.g_00754	Syaa.g_01644
OG0000242	Syas.g_00059	Syaa.g_01982
OG0000243	Syas.g_00777	Syaa.g_01960
OG0000244	Syas.g_00784	Syaa.g_01954
OG0000245	Syas.g_00786	Syaa.g_01952
OG0000246	Syas.g_00790	Syaa.g_01948
OG0000247	Syas.g_00802	Syaa.g_01937
OG0000249	Syas.g_00807	Syaa.g_01932
OG0000250	Syas.g_00814	Syaa.g_01922
OG0000251	Syas.g_00845	Syaa.g_01897
OG0000252	Syas.g_00950	Syaa.g_01894
OG0000253	Syas.g_00846	Syaa.g_01893
OG0000254	Syas.g_00869	Syaa.g_01684
OG0000255	Syas.g_00132, Syas.g_01062	Syaa.g_01668
OG0000256	Syas.g_00104	Syaa.g_01651
OG0000257	Syas.g_00757	Syaa.g_01645
OG0000258	Syas.g_00733	Syaa.g_01624
OG0000259	Syas.g_00708, Syas.g_01006	Syaa.g_01063
OG0000260	Syas.g_00705	Syaa.g_01066
OG0000261	Syas.g_00701	Syaa.g_01069
OG0000262	Syas.g_00695	Syaa.g_01074
OG0000263	Syas.g_01103	Syaa.g_00989
OG0000264	Syas.g_02588	Syaa.g_00910
OG0000266	Syas.g_00186	Syaa.g_01257, Syaa.g_01258
OG0000267	Syas.g_00377	Syaa.g_01409
OG0000268	Syas.g_00390	Syaa.g_01408
OG0000269	Syas.g_00601	Syaa.g_01149
OG0000270	Syas.g_00598	Syaa.g_01152
OG0000271	Syas.g_00590	Syaa.g_01160
OG0000272	Syas.g_00589	Syaa.g_01161
OG0000273	Syas.g_00563	Syaa.g_00844
OG0000274	Syas.g_00562	Syaa.g_00843
OG0000275	Syas.g_00230	Syaa.g_00840
OG0000276	Syas.g_00237	Syaa.g_00834
OG0000278	Syas.g_00241	Syaa.g_00830
