Orthogroup	Syas	Syar
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syar.g_00070
OG0000003	Syas.g_01418	Syar.g_00836
OG0000004	Syas.g_00176	Syar.g_02051
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311	Syar.g_02225
OG0000004	Syas.g_00072	Syar.g_00842
OG0000005	Syas.g_02665	Syar.g_02952
OG0000005	Syas.g_02704	Syar.g_02909
OG0000006	Syas.g_01684, Syas.g_02565	Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Syas.g_01232	Syar.g_01491
OG0000007	Syas.g_02681	Syar.g_02929
OG0000008	Syas.g_00886	Syar.g_02097
OG0000008	Syas.g_00887	Syar.g_02098
OG0000009	Syas.g_01450	Syar.g_03116
OG0000010	Syas.g_01334	Syar.g_01272
OG0000012	Syas.g_00827	Syar.g_00690
OG0000014	Syas.g_01816	Syar.g_00825
OG0000015	Syas.g_02007	Syar.g_00451
OG0000015	Syas.g_00968	Syar.g_00180
OG0000016	Syas.g_02048, Syas.g_01086, Syas.g_01050	Syar.g_02859
OG0000017	Syas.g_00856	Syar.g_02180
OG0000017	Syas.g_00849	Syar.g_02188
OG0000018	Syas.g_01290	Syar.g_01409
OG0000019	Syas.g_01696	Syar.g_00163
OG0000022	Syas.g_02758	Syar.g_00835
OG0000025	Syas.g_00231	Syar.g_01811
OG0000026	Syas.g_02070	Syar.g_00505
OG0000027	Syas.g_01480	Syar.g_02055
OG0000028	Syas.g_01793	Syar.g_00718
OG0000031	Syas.g_01827	Syar.g_00714
OG0000033	Syas.g_02328	Syar.g_00105
OG0000034	Syas.g_02371, Syas.g_02838	Syar.g_00074, Syar.g_02790
OG0000035	Syas.g_02814	Syar.g_02809
OG0000037	Syas.g_01479	Syar.g_02562
OG0000037	Syas.g_00147	Syar.g_01310
OG0000037	Syas.g_01928	Syar.g_02856
OG0000038	Syas.g_01885	Syar.g_00334
OG0000038	Syas.g_01887	Syar.g_00336
OG0000039	Syas.g_02795	Syar.g_02827
OG0000040	Syas.g_01972	Syar.g_00858
OG0000041	Syas.g_02585	Syar.g_02993
OG0000041	Syas.g_00996	Syar.g_01370, Syar.g_02014
OG0000042	Syas.g_01121	Syar.g_00595, Syar.g_01970
OG0000044	Syas.g_00894	Syar.g_02052, Syar.g_02167
OG0000044	Syas.g_02453	Syar.g_01631
OG0000046	Syas.g_01553, Syas.g_01556, Syas.g_01558	Syar.g_01102, Syar.g_01105
OG0000048	Syas.g_01734	Syar.g_00213
OG0000051	Syas.g_01445	Syar.g_01597
OG0000053	Syas.g_01287	Syar.g_01413
OG0000055	Syas.g_00203	Syar.g_01386
OG0000057	Syas.g_01055, Syas.g_01038	Syar.g_01941
OG0000059	Syas.g_01639	Syar.g_01024
OG0000060	Syas.g_01343, Syas.g_01002	Syar.g_01260
OG0000061	Syas.g_01184	Syar.g_01539
OG0000062	Syas.g_02702	Syar.g_02911
OG0000062	Syas.g_00070	Syar.g_01439
OG0000063	Syas.g_02074	Syar.g_00509
OG0000064	Syas.g_02423	Syar.g_03117
OG0000064	Syas.g_00946	Syar.g_00860
OG0000065	Syas.g_02420	Syar.g_03119
OG0000066	Syas.g_00094	Syar.g_02228
OG0000067	Syas.g_00596	Syar.g_02639
OG0000068	Syas.g_00969	Syar.g_02329
OG0000069	Syas.g_00779, Syas.g_00876	Syar.g_01716
OG0000070	Syas.g_00173	Syar.g_02223
OG0000071	Syas.g_02854	Syar.g_02777
OG0000072	Syas.g_02326	Syar.g_00107
OG0000072	Syas.g_01524	Syar.g_01140
OG0000073	Syas.g_01230	Syar.g_01493
OG0000073	Syas.g_00358, Syas.g_00264	Syar.g_01364
OG0000076	Syas.g_02156	Syar.g_00608
OG0000077	Syas.g_02510	Syar.g_03051
OG0000078	Syas.g_02308	Syar.g_01366
OG0000078	Syas.g_02561	Syar.g_03018
OG0000079	Syas.g_01699	Syar.g_00166
OG0000080	Syas.g_02616, Syas.g_02149	Syar.g_00585
OG0000081	Syas.g_00391	Syar.g_01898
OG0000082	Syas.g_00837	Syar.g_02202
OG0000085	Syas.g_02695	Syar.g_02919
OG0000086	Syas.g_02470	Syar.g_03085
OG0000087	Syas.g_02374	Syar.g_00068
OG0000089	Syas.g_01512	Syar.g_01162
OG0000090	Syas.g_00062	Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Syas.g_00907	Syar.g_01891
OG0000091	Syas.g_00146	Syar.g_02426
OG0000092	Syas.g_00900, Syas.g_00877	Syar.g_01960
OG0000094	Syas.g_00208, Syas.g_01716	Syar.g_01789
OG0000095	Syas.g_01021	Syar.g_01932
OG0000097	Syas.g_01443	Syar.g_00364
OG0000098	Syas.g_00091	Syar.g_02343
OG0000099	Syas.g_01826	Syar.g_00715
OG0000100	Syas.g_00567	Syar.g_02477
OG0000101	Syas.g_01589	Syar.g_01073
OG0000102	Syas.g_02152	Syar.g_00602
OG0000102	Syas.g_01395	Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Syas.g_02009	Syar.g_00452
OG0000104	Syas.g_02026	Syar.g_00466
OG0000105	Syas.g_01739	Syar.g_00218
OG0000106	Syas.g_01451	Syar.g_01748
OG0000107	Syas.g_01669	Syar.g_00149
OG0000108	Syas.g_01253	Syar.g_01469
OG0000109	Syas.g_01236	Syar.g_01485
OG0000110	Syas.g_00818	Syar.g_02295
OG0000111	Syas.g_01037	Syar.g_01940
OG0000112	Syas.g_00452	Syar.g_02548
OG0000113	Syas.g_00571	Syar.g_02664
OG0000114	Syas.g_00674	Syar.g_01616
OG0000115	Syas.g_02548	Syar.g_02854
OG0000115	Syas.g_01285	Syar.g_01415
OG0000116	Syas.g_01198	Syar.g_01525
OG0000116	Syas.g_00317	Syar.g_02255
OG0000117	Syas.g_01122	Syar.g_01969
OG0000118	Syas.g_02835	Syar.g_02793
OG0000120	Syas.g_01828	Syar.g_00713
OG0000121	Syas.g_02821	Syar.g_02806
OG0000123	Syas.g_01582	Syar.g_01079
OG0000124	Syas.g_02137	Syar.g_00586
OG0000125	Syas.g_01889	Syar.g_00338
OG0000126	Syas.g_01992	Syar.g_00887, Syar.g_00888
OG0000128	Syas.g_02046	Syar.g_00482
OG0000129	Syas.g_01880	Syar.g_00324
OG0000130	Syas.g_02522	Syar.g_03040
OG0000131	Syas.g_02367	Syar.g_00078
OG0000132	Syas.g_02334	Syar.g_00099
OG0000133	Syas.g_00457	Syar.g_02543
OG0000134	Syas.g_01509	Syar.g_01165
OG0000135	Syas.g_01938	Syar.g_00698
OG0000136	Syas.g_02740	Syar.g_02874
OG0000137	Syas.g_01333	Syar.g_01273
OG0000138	Syas.g_01235	Syar.g_01486
OG0000139	Syas.g_00069	Syar.g_02348
OG0000140	Syas.g_00090	Syar.g_02344
OG0000141	Syas.g_00875	Syar.g_02129
OG0000142	Syas.g_00746	Syar.g_02418
OG0000143	Syas.g_00742	Syar.g_02422
OG0000144	Syas.g_00718	Syar.g_02441
OG0000145	Syas.g_00948	Syar.g_01494
OG0000146	Syas.g_00451	Syar.g_02549
OG0000147	Syas.g_00450	Syar.g_02550
OG0000148	Syas.g_00577	Syar.g_02658
OG0000149	Syas.g_00282	Syar.g_01830
OG0000150	Syas.g_00874	Syar.g_02130
OG0000151	Syas.g_00148, Syas.g_00659	Syar.g_02038
OG0000152	Syas.g_00461	Syar.g_02539
OG0000153	Syas.g_00543	Syar.g_02503
OG0000154	Syas.g_00219	Syar.g_01800
OG0000155	Syas.g_01131	Syar.g_01959
OG0000156	Syas.g_01206	Syar.g_01517
OG0000157	Syas.g_01207	Syar.g_01516
OG0000158	Syas.g_02185	Syar.g_00650
OG0000159	Syas.g_01155	Syar.g_02359
OG0000160	Syas.g_02820	Syar.g_02807
OG0000161	Syas.g_02826	Syar.g_02801
OG0000162	Syas.g_02751	Syar.g_02863
OG0000163	Syas.g_01488	Syar.g_01186
OG0000164	Syas.g_02648	Syar.g_02969
OG0000165	Syas.g_02609	Syar.g_02976
OG0000166	Syas.g_01629	Syar.g_01034
OG0000167	Syas.g_01449	Syar.g_00662
OG0000168	Syas.g_02184	Syar.g_00246
OG0000169	Syas.g_02170	Syar.g_00262
OG0000170	Syas.g_02161	Syar.g_00613
OG0000171	Syas.g_02139	Syar.g_00587
OG0000172	Syas.g_02110	Syar.g_00547
OG0000173	Syas.g_02092	Syar.g_00528
OG0000174	Syas.g_01940	Syar.g_00701
OG0000175	Syas.g_01994	Syar.g_00438
OG0000176	Syas.g_02038	Syar.g_00474
OG0000177	Syas.g_02039	Syar.g_00475
OG0000178	Syas.g_02040	Syar.g_00476
OG0000179	Syas.g_02054	Syar.g_00489
OG0000180	Syas.g_02055	Syar.g_00490
OG0000181	Syas.g_02056	Syar.g_00491
OG0000182	Syas.g_02057	Syar.g_00492
OG0000183	Syas.g_02061	Syar.g_00496
OG0000184	Syas.g_01872	Syar.g_00897
OG0000185	Syas.g_01861	Syar.g_00909
OG0000186	Syas.g_02525	Syar.g_03036
OG0000187	Syas.g_02524	Syar.g_03038
OG0000188	Syas.g_02502	Syar.g_03058
OG0000189	Syas.g_02432	Syar.g_03104
OG0000190	Syas.g_00133	Syar.g_03107
OG0000191	Syas.g_02400	Syar.g_00039
OG0000192	Syas.g_02395	Syar.g_00046
OG0000193	Syas.g_02366	Syar.g_00079
OG0000194	Syas.g_02363	Syar.g_00082
OG0000195	Syas.g_02360	Syar.g_00084
OG0000196	Syas.g_02337	Syar.g_00096
OG0000197	Syas.g_02336	Syar.g_00097
OG0000198	Syas.g_02335	Syar.g_00098
OG0000199	Syas.g_02327	Syar.g_00106
OG0000200	Syas.g_02298	Syar.g_00124
OG0000201	Syas.g_02279	Syar.g_01000
OG0000202	Syas.g_02278	Syar.g_00998
OG0000203	Syas.g_02277	Syar.g_00997
OG0000204	Syas.g_02276	Syar.g_00996
OG0000205	Syas.g_02267	Syar.g_00988
OG0000206	Syas.g_02240	Syar.g_00963
OG0000207	Syas.g_02237	Syar.g_00957
OG0000208	Syas.g_02236	Syar.g_00956
OG0000209	Syas.g_01837	Syar.g_00936
OG0000210	Syas.g_01838	Syar.g_00935
OG0000211	Syas.g_02552	Syar.g_03026
OG0000212	Syas.g_02562	Syar.g_03017
OG0000213	Syas.g_01707	Syar.g_00187
OG0000214	Syas.g_01730	Syar.g_00209
OG0000215	Syas.g_01766	Syar.g_00239
OG0000216	Syas.g_01770	Syar.g_00244
OG0000217	Syas.g_01778	Syar.g_00854
OG0000218	Syas.g_01780	Syar.g_00852
OG0000219	Syas.g_01783	Syar.g_00851
OG0000220	Syas.g_01784	Syar.g_00850, Syar.g_02026
OG0000221	Syas.g_01785	Syar.g_00834
OG0000222	Syas.g_01804	Syar.g_02119, Syar.g_00728
OG0000223	Syas.g_02221	Syar.g_00649
OG0000224	Syas.g_02215	Syar.g_00273
OG0000225	Syas.g_01522	Syar.g_01142
OG0000226	Syas.g_01518	Syar.g_01146
OG0000227	Syas.g_01516	Syar.g_01148
OG0000228	Syas.g_01513	Syar.g_01161
OG0000229	Syas.g_01497	Syar.g_01177
OG0000230	Syas.g_01495	Syar.g_01179
OG0000231	Syas.g_02749	Syar.g_02865
OG0000232	Syas.g_01276	Syar.g_01424
OG0000233	Syas.g_01352	Syar.g_01247
OG0000234	Syas.g_01331	Syar.g_01275
OG0000235	Syas.g_01254	Syar.g_01468
OG0000236	Syas.g_01237	Syar.g_01484
OG0000237	Syas.g_01220	Syar.g_01503
OG0000238	Syas.g_01215	Syar.g_01508
