Orthogroup	Syas	Praj
OG0000004	Syas.g_00176	Praj.g_01396
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Praj.g_00271
OG0000005	Syas.g_02665	Praj.g_01349
OG0000005	Syas.g_02704	Praj.g_01712
OG0000006	Syas.g_00942, Syas.g_01684, Syas.g_02565, Syas.g_00720	Praj.g_00282, Praj.g_01281, Praj.g_01505
OG0000007	Syas.g_01232	Praj.g_00489
OG0000007	Syas.g_02681	Praj.g_01768
OG0000008	Syas.g_00886	Praj.g_01829
OG0000008	Syas.g_00887	Praj.g_01830
OG0000010	Syas.g_01334	Praj.g_01026, Praj.g_00466
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Praj.g_00362
OG0000014	Syas.g_01816	Praj.g_00341
OG0000016	Syas.g_02048	Praj.g_00013
OG0000016	Syas.g_01086, Syas.g_01050	Praj.g_01865
OG0000017	Syas.g_00849	Praj.g_00592
OG0000018	Syas.g_01290	Praj.g_01482, Praj.g_00798
OG0000019	Syas.g_01696	Praj.g_00747
OG0000022	Syas.g_02758	Praj.g_01189, Praj.g_01216
OG0000025	Syas.g_00231	Praj.g_00805
OG0000026	Syas.g_02070	Praj.g_00031
OG0000027	Syas.g_01480	Praj.g_01331
OG0000028	Syas.g_01793	Praj.g_01571
OG0000030	Syas.g_01644, Syas.g_01645	Praj.g_02024
OG0000033	Syas.g_02328	Praj.g_00209
OG0000034	Syas.g_02371, Syas.g_02838	Praj.g_01538
OG0000035	Syas.g_02814, Syas.g_02818	Praj.g_01632
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Praj.g_00147
OG0000038	Syas.g_01885, Syas.g_01887	Praj.g_02089
OG0000039	Syas.g_02795	Praj.g_00679
OG0000040	Syas.g_02028	Praj.g_01844, Praj.g_01735
OG0000042	Syas.g_01121, Syas.g_02147	Praj.g_02020
OG0000046	Syas.g_01553, Syas.g_01556, Syas.g_01558	Praj.g_00363
OG0000048	Syas.g_01734	Praj.g_00308
OG0000051	Syas.g_01445	Praj.g_01339, Praj.g_01347
OG0000053	Syas.g_01287	Praj.g_01651
OG0000054	Syas.g_00961	Praj.g_00594
OG0000055	Syas.g_00203	Praj.g_01842
OG0000058	Syas.g_01151	Praj.g_00839
OG0000060	Syas.g_00975	Praj.g_01108
OG0000061	Syas.g_01184	Praj.g_01461
OG0000062	Syas.g_00070	Praj.g_01714
OG0000063	Syas.g_02074	Praj.g_01867
OG0000065	Syas.g_02420	Praj.g_00145
OG0000066	Syas.g_00094	Praj.g_00530
OG0000067	Syas.g_00596	Praj.g_00769
OG0000068	Syas.g_00969, Syas.g_01261	Praj.g_01575
OG0000070	Syas.g_00173	Praj.g_00444
OG0000072	Syas.g_02326, Syas.g_01524	Praj.g_00211
OG0000073	Syas.g_01230	Praj.g_00491
OG0000075	Syas.g_01921, Syas.g_02194	Praj.g_01987
OG0000076	Syas.g_02156	Praj.g_02012
OG0000077	Syas.g_02510	Praj.g_00116
OG0000078	Syas.g_02308	Praj.g_00280
OG0000079	Syas.g_01699	Praj.g_00291
OG0000081	Syas.g_00391	Praj.g_00522
OG0000082	Syas.g_00837	Praj.g_01827
OG0000085	Syas.g_02695	Praj.g_01762
OG0000086	Syas.g_02470	Praj.g_00126
OG0000087	Syas.g_02374	Praj.g_00179
OG0000089	Syas.g_01512	Praj.g_00403
OG0000090	Syas.g_00062	Praj.g_00524
OG0000091	Syas.g_00907, Syas.g_00146	Praj.g_00630
OG0000092	Syas.g_00900, Syas.g_00877	Praj.g_00892
OG0000094	Syas.g_01716	Praj.g_00846
OG0000095	Syas.g_01021	Praj.g_01024
OG0000097	Syas.g_00114, Syas.g_01443	Praj.g_01416
OG0000098	Syas.g_00091	Praj.g_01546
OG0000099	Syas.g_01826	Praj.g_00372
OG0000100	Syas.g_00567	Praj.g_01709
OG0000101	Syas.g_01589	Praj.g_01952
OG0000102	Syas.g_02152, Syas.g_01395	Praj.g_02017
OG0000103	Syas.g_02009	Praj.g_02135
OG0000104	Syas.g_02027, Syas.g_02026	Praj.g_02145
OG0000105	Syas.g_01739	Praj.g_00310
OG0000106	Syas.g_01451	Praj.g_01156, Praj.g_01282
OG0000107	Syas.g_01669	Praj.g_01869
OG0000108	Syas.g_01253	Praj.g_00473
OG0000109	Syas.g_01236	Praj.g_00486
OG0000110	Syas.g_00818	Praj.g_00565
OG0000111	Syas.g_01037	Praj.g_00692
OG0000112	Syas.g_00452	Praj.g_00938
OG0000113	Syas.g_00571	Praj.g_00793, Praj.g_01176
OG0000114	Syas.g_00674	Praj.g_00887
OG0000115	Syas.g_02548, Syas.g_01285	Praj.g_01725
OG0000116	Syas.g_01198, Syas.g_00317	Praj.g_01471
OG0000117	Syas.g_01122	Praj.g_01355
OG0000118	Syas.g_02835	Praj.g_01540
OG0000120	Syas.g_01828	Praj.g_00664
OG0000121	Syas.g_02821	Praj.g_01634
OG0000122	Syas.g_00393	Praj.g_01673
OG0000123	Syas.g_01582	Praj.g_01959
OG0000124	Syas.g_02137	Praj.g_02031
OG0000125	Syas.g_01889	Praj.g_02091
OG0000126	Syas.g_01992	Praj.g_02144
OG0000128	Syas.g_02046	Praj.g_00011
OG0000129	Syas.g_01880	Praj.g_00048
OG0000130	Syas.g_02522	Praj.g_00107
OG0000131	Syas.g_02367	Praj.g_00185
OG0000132	Syas.g_02334	Praj.g_00204
OG0000133	Syas.g_00457	Praj.g_00357
OG0000134	Syas.g_01509	Praj.g_00405
OG0000135	Syas.g_01938	Praj.g_01279
OG0000136	Syas.g_02740	Praj.g_00435
OG0000137	Syas.g_01333	Praj.g_00467
OG0000138	Syas.g_01235	Praj.g_00487
OG0000140	Syas.g_00090	Praj.g_00529
OG0000141	Syas.g_00875	Praj.g_00595
OG0000142	Syas.g_00746	Praj.g_00623
OG0000143	Syas.g_00742	Praj.g_00627
OG0000144	Syas.g_00718	Praj.g_00640
OG0000145	Syas.g_00948	Praj.g_01054
OG0000146	Syas.g_00451	Praj.g_00937
OG0000147	Syas.g_00450	Praj.g_00936
OG0000148	Syas.g_00577	Praj.g_00787
OG0000149	Syas.g_00282	Praj.g_00819
OG0000150	Syas.g_00874	Praj.g_00828
OG0000151	Syas.g_00148, Syas.g_00659	Praj.g_00898
OG0000152	Syas.g_00461	Praj.g_01601, Praj.g_00946
OG0000153	Syas.g_00543	Praj.g_00965
OG0000154	Syas.g_00219	Praj.g_00995
OG0000155	Syas.g_01131	Praj.g_01440
OG0000156	Syas.g_01206	Praj.g_01517
OG0000157	Syas.g_01207	Praj.g_01518
OG0000158	Syas.g_02185	Praj.g_01995
OG0000159	Syas.g_01155	Praj.g_02043, Praj.g_02035
OG0000160	Syas.g_02820	Praj.g_01633
OG0000161	Syas.g_02826	Praj.g_01639
OG0000162	Syas.g_02751	Praj.g_01645
OG0000163	Syas.g_01488	Praj.g_01681
OG0000164	Syas.g_02648	Praj.g_01790
OG0000165	Syas.g_02609	Praj.g_01798
OG0000166	Syas.g_01629	Praj.g_01915
OG0000167	Syas.g_01449	Praj.g_01985
OG0000168	Syas.g_02184	Praj.g_01996
OG0000169	Syas.g_02170	Praj.g_02006
OG0000170	Syas.g_02161	Praj.g_02008
OG0000171	Syas.g_02139	Praj.g_02030
OG0000172	Syas.g_02110	Praj.g_02061
OG0000173	Syas.g_02092	Praj.g_02076
OG0000174	Syas.g_01940	Praj.g_02107
OG0000175	Syas.g_01994	Praj.g_02125
OG0000176	Syas.g_02038	Praj.g_00004
OG0000177	Syas.g_02039	Praj.g_00005
OG0000178	Syas.g_02040	Praj.g_00006
OG0000179	Syas.g_02054	Praj.g_00016
OG0000180	Syas.g_02055	Praj.g_00017
OG0000181	Syas.g_02056	Praj.g_00018
OG0000182	Syas.g_02057	Praj.g_00019
OG0000183	Syas.g_02061	Praj.g_00023
OG0000184	Syas.g_01872	Praj.g_00050
OG0000185	Syas.g_01861	Praj.g_00053
OG0000186	Syas.g_02525	Praj.g_00102
OG0000187	Syas.g_02524	Praj.g_00103
OG0000188	Syas.g_02502	Praj.g_00120
OG0000189	Syas.g_02432	Praj.g_00134
OG0000190	Syas.g_00133	Praj.g_00135
OG0000191	Syas.g_02400	Praj.g_00158
OG0000192	Syas.g_02395	Praj.g_00162
OG0000193	Syas.g_02366	Praj.g_00186
OG0000194	Syas.g_02363	Praj.g_00189
OG0000195	Syas.g_02360	Praj.g_00191
OG0000196	Syas.g_02337	Praj.g_00201
OG0000197	Syas.g_02336	Praj.g_00202
OG0000198	Syas.g_02335	Praj.g_00203
OG0000199	Syas.g_02327	Praj.g_00210
OG0000200	Syas.g_02298	Praj.g_00223
OG0000201	Syas.g_02279	Praj.g_00232
OG0000202	Syas.g_02278	Praj.g_00233
OG0000203	Syas.g_02277	Praj.g_00234
OG0000204	Syas.g_02276	Praj.g_00235
OG0000205	Syas.g_02267	Praj.g_00242
OG0000206	Syas.g_02240	Praj.g_00246
OG0000207	Syas.g_02237	Praj.g_00248
OG0000208	Syas.g_02236	Praj.g_00249
OG0000209	Syas.g_01837	Praj.g_00258
OG0000210	Syas.g_01838	Praj.g_00259
OG0000211	Syas.g_02552	Praj.g_00273
OG0000212	Syas.g_02562	Praj.g_00281
OG0000213	Syas.g_01707	Praj.g_00296
OG0000214	Syas.g_01730	Praj.g_00304
OG0000215	Syas.g_01766	Praj.g_00328
OG0000216	Syas.g_01770	Praj.g_00329
OG0000217	Syas.g_01778	Praj.g_00332
OG0000218	Syas.g_01780	Praj.g_00334
OG0000219	Syas.g_01783	Praj.g_00335
OG0000220	Syas.g_01784	Praj.g_00336
OG0000221	Syas.g_01785	Praj.g_00337
OG0000222	Syas.g_01804	Praj.g_00345
OG0000223	Syas.g_02221	Praj.g_00358
OG0000224	Syas.g_02215	Praj.g_00360
OG0000225	Syas.g_01522	Praj.g_00391
OG0000226	Syas.g_01518	Praj.g_00395
OG0000227	Syas.g_01516	Praj.g_00397
OG0000228	Syas.g_01513	Praj.g_00402
OG0000229	Syas.g_01497	Praj.g_00430
OG0000230	Syas.g_01495	Praj.g_00432
OG0000231	Syas.g_02749	Praj.g_00443
OG0000232	Syas.g_01276	Praj.g_00451
OG0000233	Syas.g_01352	Praj.g_00459
OG0000234	Syas.g_01331	Praj.g_00468
OG0000235	Syas.g_01254	Praj.g_00472
OG0000236	Syas.g_01237	Praj.g_00485
OG0000237	Syas.g_01220	Praj.g_00498
OG0000238	Syas.g_01215	Praj.g_00504
OG0000239	Syas.g_00012	Praj.g_00516
OG0000240	Syas.g_00013	Praj.g_00517
OG0000241	Syas.g_00754	Praj.g_00521
OG0000242	Syas.g_00059	Praj.g_00523
OG0000243	Syas.g_00777	Praj.g_00534
OG0000244	Syas.g_00784	Praj.g_00537
OG0000245	Syas.g_00786	Praj.g_00539
OG0000246	Syas.g_00790	Praj.g_00543
OG0000247	Syas.g_00802	Praj.g_00553
OG0000248	Syas.g_00805	Praj.g_00555
OG0000249	Syas.g_00807	Praj.g_00557
OG0000250	Syas.g_00814	Praj.g_00562
OG0000251	Syas.g_00845	Praj.g_00578
OG0000252	Syas.g_00950	Praj.g_00580
OG0000253	Syas.g_00846	Praj.g_00582
OG0000254	Syas.g_00869	Praj.g_00599
OG0000255	Syas.g_00132, Syas.g_01062	Praj.g_00605
OG0000256	Syas.g_00104	Praj.g_00615
OG0000257	Syas.g_00757	Praj.g_00618
OG0000258	Syas.g_00733	Praj.g_00631
OG0000259	Syas.g_00708	Praj.g_00648
OG0000260	Syas.g_00705	Praj.g_00651
OG0000261	Syas.g_00701	Praj.g_00654
OG0000262	Syas.g_00695	Praj.g_00659
OG0000263	Syas.g_01103	Praj.g_00673
OG0000264	Syas.g_02588	Praj.g_00684
OG0000266	Syas.g_00186	Praj.g_00708
OG0000267	Syas.g_00377	Praj.g_00721
OG0000268	Syas.g_00390	Praj.g_00722
OG0000269	Syas.g_00601	Praj.g_00764
OG0000270	Syas.g_00598	Praj.g_00767
OG0000271	Syas.g_00590	Praj.g_00775
OG0000272	Syas.g_00589	Praj.g_00776
OG0000273	Syas.g_00563	Praj.g_00801
OG0000274	Syas.g_00562	Praj.g_00802
OG0000275	Syas.g_00230	Praj.g_00804
OG0000276	Syas.g_00237	Praj.g_00810
OG0000277	Syas.g_00238	Praj.g_00811
OG0000278	Syas.g_00241	Praj.g_00815
OG0000279	Syas.g_00288	Praj.g_00822
OG0000280	Syas.g_00889, Syas.g_00481	Praj.g_01326
OG0000281	Syas.g_00970	Praj.g_00829
OG0000282	Syas.g_00672	Praj.g_00889
OG0000283	Syas.g_00409	Praj.g_00920
OG0000284	Syas.g_00416	Praj.g_00925
OG0000285	Syas.g_00436	Praj.g_00930
OG0000286	Syas.g_00460	Praj.g_00945
OG0000287	Syas.g_00534	Praj.g_00085
OG0000288	Syas.g_00220	Praj.g_00994
OG0000289	Syas.g_00205	Praj.g_01005
OG0000290	Syas.g_01016	Praj.g_01021
OG0000292	Syas.g_02020	Praj.g_01196
OG0000293	Syas.g_01197	Praj.g_01470
OG0000294	Syas.g_01196	Praj.g_01469
OG0000295	Syas.g_01139	Praj.g_01447
OG0000296	Syas.g_01137	Praj.g_01445
OG0000299	Syas.g_01087	Praj.g_01417
OG0000300	Syas.g_01082	Praj.g_01414
OG0000301	Syas.g_01081	Praj.g_01413
OG0000302	Syas.g_01080	Praj.g_01410
OG0000303	Syas.g_01071	Praj.g_01405
OG0000304	Syas.g_01066	Praj.g_01402
OG0000305	Syas.g_01023	Praj.g_01734
OG0000306	Syas.g_01929	Praj.g_00833
OG0000307	Syas.g_01270	Praj.g_01584
OG0000308	Syas.g_01272	Praj.g_01585
OG0000309	Syas.g_01364	Praj.g_01589
OG0000310	Syas.g_02796	Praj.g_01616
OG0000311	Syas.g_02799	Praj.g_01618
OG0000312	Syas.g_02804	Praj.g_01621
OG0000313	Syas.g_02823	Praj.g_01636
OG0000315	Syas.g_01306	Praj.g_01667
OG0000316	Syas.g_02728	Praj.g_01692
OG0000317	Syas.g_02687	Praj.g_01766
OG0000318	Syas.g_02680	Praj.g_01769
OG0000319	Syas.g_02663	Praj.g_01780
OG0000320	Syas.g_02661	Praj.g_01782
OG0000321	Syas.g_02660	Praj.g_01783
OG0000322	Syas.g_02659	Praj.g_01784
OG0000323	Syas.g_02646	Praj.g_01793
OG0000324	Syas.g_02578	Praj.g_01820
OG0000325	Syas.g_01668	Praj.g_01870
OG0000326	Syas.g_01661	Praj.g_01876
OG0000327	Syas.g_01634	Praj.g_01910
OG0000328	Syas.g_01633	Praj.g_01911
OG0000329	Syas.g_01615	Praj.g_01928
OG0000330	Syas.g_01614	Praj.g_01929
OG0000331	Syas.g_01613	Praj.g_01930
OG0000332	Syas.g_01598	Praj.g_01944
OG0000333	Syas.g_01595	Praj.g_01946
OG0000334	Syas.g_01586	Praj.g_01955
OG0000335	Syas.g_01581	Praj.g_01960
OG0000336	Syas.g_01577	Praj.g_01964
OG0000337	Syas.g_02211	Praj.g_01982
OG0000338	Syas.g_02199	Praj.g_01983
OG0000339	Syas.g_02192	Praj.g_01988
OG0000340	Syas.g_02183	Praj.g_01997
OG0000341	Syas.g_02181	Praj.g_01999
OG0000342	Syas.g_02180	Praj.g_02000
OG0000343	Syas.g_02176	Praj.g_02001
OG0000344	Syas.g_02172	Praj.g_02004
OG0000345	Syas.g_02160	Praj.g_02009
OG0000346	Syas.g_02155	Praj.g_02013
OG0000347	Syas.g_02136	Praj.g_02034
OG0000348	Syas.g_02107	Praj.g_02064
OG0000349	Syas.g_02085	Praj.g_02082
OG0000350	Syas.g_01654	Praj.g_02103
OG0000351	Syas.g_01998	Praj.g_02128
OG0000352	Syas.g_01999	Praj.g_02129
OG0000353	Syas.g_02033	Praj.g_02148
OG0000355	Syas.g_02035	Praj.g_00001
OG0000356	Syas.g_02036	Praj.g_00002
OG0000357	Syas.g_02037	Praj.g_00003
OG0000358	Syas.g_02041	Praj.g_00007
OG0000359	Syas.g_02043	Praj.g_00008
OG0000360	Syas.g_02044	Praj.g_00009
OG0000361	Syas.g_02045	Praj.g_00010
OG0000362	Syas.g_02047	Praj.g_00012
OG0000363	Syas.g_02049	Praj.g_00014
OG0000364	Syas.g_02685	Praj.g_00015
OG0000365	Syas.g_02058	Praj.g_00020
OG0000366	Syas.g_02059	Praj.g_00021
OG0000368	Syas.g_02062	Praj.g_00024
OG0000369	Syas.g_02063	Praj.g_00025
OG0000370	Syas.g_02064	Praj.g_00026
OG0000371	Syas.g_02073	Praj.g_00032
OG0000372	Syas.g_02078	Praj.g_00034
OG0000373	Syas.g_02079	Praj.g_00035
OG0000374	Syas.g_02080	Praj.g_00036
OG0000375	Syas.g_02081	Praj.g_00044
OG0000376	Syas.g_02083	Praj.g_00046
OG0000377	Syas.g_01879	Praj.g_00049
OG0000378	Syas.g_01867	Praj.g_00051
OG0000379	Syas.g_01859	Praj.g_00054
