Orthogroup	Syas	Prbg
OG0000004	Syas.g_00176	Prbg.g_01140
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prbg.g_01014
OG0000005	Syas.g_02704	Prbg.g_00674
OG0000006	Syas.g_00942, Syas.g_01684, Syas.g_02565, Syas.g_00720	Prbg.g_01024
OG0000007	Syas.g_01232	Prbg.g_00216
OG0000007	Syas.g_02681	Prbg.g_01650
OG0000008	Syas.g_00886	Prbg.g_00744
OG0000008	Syas.g_00887	Prbg.g_00745
OG0000010	Syas.g_01334	Prbg.g_01053, Prbg.g_01348, Prbg.g_00193
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Prbg.g_00104
OG0000014	Syas.g_01816	Prbg.g_00086
OG0000016	Syas.g_01086, Syas.g_01050	Prbg.g_01544
OG0000017	Syas.g_00856	Prbg.g_00324
OG0000017	Syas.g_00849	Prbg.g_00317
OG0000018	Syas.g_01290	Prbg.g_01508, Prbg.g_01187
OG0000019	Syas.g_01696	Prbg.g_01032, Prbg.g_01510
OG0000022	Syas.g_02758	Prbg.g_00682
OG0000025	Syas.g_00231	Prbg.g_01195
OG0000026	Syas.g_02070	Prbg.g_00842
OG0000027	Syas.g_01480	Prbg.g_01569, Prbg.g_00721
OG0000028	Syas.g_01793	Prbg.g_00743
OG0000030	Syas.g_01644, Syas.g_01645	Prbg.g_01858
OG0000033	Syas.g_02328	Prbg.g_00557, Prbg.g_00947
OG0000034	Syas.g_02371, Syas.g_02838	Prbg.g_00488
OG0000035	Syas.g_02814, Syas.g_02818	Prbg.g_00591
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Prbg.g_00881
OG0000038	Syas.g_01885, Syas.g_01887	Prbg.g_01898
OG0000039	Syas.g_02795	Prbg.g_01128
OG0000042	Syas.g_01121, Syas.g_02147	Prbg.g_01855
OG0000046	Syas.g_01553, Syas.g_01556, Syas.g_01558	Prbg.g_00105
OG0000048	Syas.g_01734	Prbg.g_00464, Prbg.g_00050
