Orthogroup	Syas	Prbi
OG0000004	Syas.g_00176	Prbi.g_00698
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prbi.g_00256
OG0000005	Syas.g_02665	Prbi.g_01800
OG0000005	Syas.g_02704	Prbi.g_01666
OG0000006	Syas.g_00942, Syas.g_01684, Syas.g_02565, Syas.g_00720	Prbi.g_00265
OG0000007	Syas.g_01232	Prbi.g_00500
OG0000007	Syas.g_02681	Prbi.g_01787
OG0000008	Syas.g_00886	Prbi.g_01764
OG0000008	Syas.g_00887	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539
OG0000009	Syas.g_01450	Prbi.g_00112
OG0000010	Syas.g_01334	Prbi.g_01094, Prbi.g_00477
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Prbi.g_00351
OG0000014	Syas.g_01816	Prbi.g_00330
OG0000016	Syas.g_02048	Prbi.g_00013
OG0000017	Syas.g_00849	Prbi.g_00600
OG0000018	Syas.g_01290	Prbi.g_01188, Prbi.g_00874
OG0000019	Syas.g_01696	Prbi.g_00273, Prbi.g_00827
OG0000022	Syas.g_02758	Prbi.g_00805, Prbi.g_01170
OG0000025	Syas.g_00231	Prbi.g_00882, Prbi.g_00355
OG0000026	Syas.g_02070	Prbi.g_00031, Prbi.g_01101
OG0000027	Syas.g_01480	Prbi.g_00472, Prbi.g_01374
OG0000028	Syas.g_01793	Prbi.g_00344, Prbi.g_01319, Prbi.g_01768
OG0000030	Syas.g_01644, Syas.g_01645	Prbi.g_02004
OG0000033	Syas.g_02328	Prbi.g_00193
OG0000034	Syas.g_02371, Syas.g_02838	Prbi.g_01401
OG0000035	Syas.g_02814, Syas.g_02818	Prbi.g_01589, Prbi.g_01591
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Prbi.g_00116
OG0000038	Syas.g_01885, Syas.g_01887	Prbi.g_02057
OG0000039	Syas.g_02795	Prbi.g_00689
OG0000040	Syas.g_02028	Prbi.g_01738
OG0000042	Syas.g_01121, Syas.g_02147	Prbi.g_02001
OG0000044	Syas.g_00894, Syas.g_02453	Prbi.g_01744, Prbi.g_01760
OG0000048	Syas.g_01734	Prbi.g_00398
OG0000051	Syas.g_01445	Prbi.g_01364, Prbi.g_01281
OG0000053	Syas.g_01287	Prbi.g_01611
OG0000054	Syas.g_00961	Prbi.g_00608
OG0000061	Syas.g_01184	Prbi.g_01207
OG0000062	Syas.g_00070	Prbi.g_01668
OG0000063	Syas.g_02074	Prbi.g_00033
OG0000065	Syas.g_02420	Prbi.g_00114
OG0000066	Syas.g_00094	Prbi.g_00542
OG0000067	Syas.g_00596	Prbi.g_00847
OG0000068	Syas.g_00969, Syas.g_01261	Prbi.g_01439
OG0000070	Syas.g_00173	Prbi.g_00451
OG0000072	Syas.g_02326, Syas.g_01524	Prbi.g_00195
OG0000073	Syas.g_01230, Syas.g_00358, Syas.g_00264	Prbi.g_00502
OG0000075	Syas.g_01921, Syas.g_02194	Prbi.g_01970
OG0000076	Syas.g_02156	Prbi.g_01994
OG0000078	Syas.g_02308	Prbi.g_00263
OG0000079	Syas.g_01699	Prbi.g_00276
OG0000081	Syas.g_00391	Prbi.g_00534
OG0000082	Syas.g_00837	Prbi.g_00587
OG0000085	Syas.g_02695	Prbi.g_01780
OG0000086	Syas.g_02470	Prbi.g_00095
OG0000087	Syas.g_02374	Prbi.g_00147
OG0000089	Syas.g_01512	Prbi.g_00380
OG0000090	Syas.g_00062	Prbi.g_00536
OG0000091	Syas.g_00907, Syas.g_00146	Prbi.g_00645
