Orthogroup	Syas	Prax
OG0000004	Syas.g_00176	Prax.g_00947
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prax.g_00986
OG0000005	Syas.g_02665	Prax.g_01546
OG0000005	Syas.g_02704	Prax.g_01652
OG0000006	Syas.g_00942, Syas.g_01684, Syas.g_02565, Syas.g_00720	Prax.g_01972
OG0000007	Syas.g_01232	Prax.g_00704
OG0000007	Syas.g_02681	Prax.g_01559
OG0000010	Syas.g_01334	Prax.g_01212, Prax.g_00728
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Prax.g_00846
OG0000014	Syas.g_01816	Prax.g_00869
OG0000017	Syas.g_00849	Prax.g_00057
OG0000018	Syas.g_01290	Prax.g_00181, Prax.g_00346
OG0000019	Syas.g_01696	Prax.g_00926, Prax.g_00393
OG0000022	Syas.g_02758	Prax.g_00415, Prax.g_00157
OG0000025	Syas.g_00231	Prax.g_00338, Prax.g_00842
OG0000026	Syas.g_02070	Prax.g_00458, Prax.g_00282, Prax.g_01220
OG0000027	Syas.g_01480	Prax.g_01916
OG0000028	Syas.g_01793	Prax.g_00855
OG0000030	Syas.g_01644, Syas.g_01645	Prax.g_01404
OG0000033	Syas.g_02328	Prax.g_01049
OG0000034	Syas.g_02371, Syas.g_02838	Prax.g_01889
OG0000035	Syas.g_02814, Syas.g_02818	Prax.g_01728, Prax.g_01733
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Prax.g_01110
OG0000038	Syas.g_01885, Syas.g_01887	Prax.g_01445
OG0000039	Syas.g_02795	Prax.g_00956
OG0000040	Syas.g_02028	Prax.g_01591
OG0000042	Syas.g_01121, Syas.g_02147	Prax.g_01401
OG0000048	Syas.g_01734	Prax.g_00173, Prax.g_00512, Prax.g_00799
OG0000051	Syas.g_01445	Prax.g_01927
OG0000053	Syas.g_01287	Prax.g_01708
OG0000054	Syas.g_00961	Prax.g_00065
OG0000060	Syas.g_00975	Prax.g_00517
OG0000061	Syas.g_01184	Prax.g_00200
OG0000062	Syas.g_00070	Prax.g_01650
OG0000063	Syas.g_02074	Prax.g_00280
OG0000065	Syas.g_02420	Prax.g_01112
OG0000066	Syas.g_00094	Prax.g_00662
OG0000067	Syas.g_00596	Prax.g_00373
OG0000068	Syas.g_00969, Syas.g_01261	Prax.g_01863
OG0000070	Syas.g_00173	Prax.g_00750
OG0000072	Syas.g_02326, Syas.g_01524	Prax.g_01047
OG0000073	Syas.g_01230, Syas.g_00358, Syas.g_00264	Prax.g_00702
OG0000075	Syas.g_01921, Syas.g_02194	Prax.g_01370
OG0000076	Syas.g_02156	Prax.g_01394
OG0000078	Syas.g_02308	Prax.g_00979
OG0000079	Syas.g_01699	Prax.g_00923
OG0000081	Syas.g_00391	Prax.g_00670
OG0000082	Syas.g_00837	Prax.g_00045
OG0000085	Syas.g_02695	Prax.g_01566
OG0000086	Syas.g_02470	Prax.g_00659
OG0000087	Syas.g_02374	Prax.g_01079
OG0000089	Syas.g_01512	Prax.g_00817
OG0000090	Syas.g_00062	Prax.g_00668
OG0000091	Syas.g_00907, Syas.g_00146	Prax.g_00101
OG0000092	Syas.g_00900, Syas.g_00877	Prax.g_00566
OG0000094	Syas.g_00208, Syas.g_01716	Prax.g_01185
OG0000095	Syas.g_01021	Prax.g_01204
OG0000097	Syas.g_00114, Syas.g_01443	Prax.g_00241
OG0000098	Syas.g_00091	Prax.g_01881
OG0000099	Syas.g_01826	Prax.g_01825
OG0000100	Syas.g_00567	Prax.g_01654
OG0000101	Syas.g_01589	Prax.g_01338
OG0000102	Syas.g_02152, Syas.g_01395	Prax.g_01399
OG0000103	Syas.g_02009	Prax.g_01478
OG0000104	Syas.g_02027, Syas.g_02026	Prax.g_01486
OG0000105	Syas.g_01739	Prax.g_00901
OG0000106	Syas.g_01451	Prax.g_00803
OG0000107	Syas.g_01669	Prax.g_00790
OG0000108	Syas.g_01253	Prax.g_00722
OG0000109	Syas.g_01236	Prax.g_00707
OG0000110	Syas.g_00818	Prax.g_00035
OG0000111	Syas.g_01037	Prax.g_00943
OG0000112	Syas.g_00452	Prax.g_00409
OG0000113	Syas.g_00571	Prax.g_00351
OG0000114	Syas.g_00674	Prax.g_00561
OG0000115	Syas.g_02548, Syas.g_01285	Prax.g_00132
OG0000116	Syas.g_01198, Syas.g_00317	Prax.g_00190
OG0000117	Syas.g_01122	Prax.g_01959
OG0000118	Syas.g_02835	Prax.g_01887
OG0000120	Syas.g_01828	Prax.g_01832
OG0000121	Syas.g_02821	Prax.g_01726
OG0000122	Syas.g_00393	Prax.g_01688
OG0000123	Syas.g_01582	Prax.g_01345
OG0000124	Syas.g_02137	Prax.g_01410
OG0000125	Syas.g_01889	Prax.g_01447
OG0000126	Syas.g_01992	Prax.g_01485
OG0000128	Syas.g_02046	Prax.g_01974
OG0000129	Syas.g_01880	Prax.g_00269
OG0000130	Syas.g_02522	Prax.g_00640
OG0000131	Syas.g_02367	Prax.g_01073
OG0000132	Syas.g_02334	Prax.g_01054
OG0000133	Syas.g_00457	Prax.g_00853, Prax.g_00852, Prax.g_01783
OG0000134	Syas.g_01509	Prax.g_01573, Prax.g_00816
OG0000135	Syas.g_01938	Prax.g_00792
OG0000136	Syas.g_02740	Prax.g_00759
OG0000137	Syas.g_01333	Prax.g_00727
