Orthogroup	Syas	Syah
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syah.g_00040, Syah.g_00041
OG0000004	Syas.g_00176	Syah.g_02017
OG0000004	Syas.g_00174, Syas.g_00311	Syah.g_01967
OG0000004	Syas.g_00072	Syah.g_00901
OG0000005	Syas.g_02665	Syah.g_02403
OG0000005	Syas.g_02704	Syah.g_02363
OG0000006	Syas.g_01684, Syas.g_02565	Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918
OG0000007	Syas.g_01232	Syah.g_01016
OG0000007	Syas.g_02681	Syah.g_02384
OG0000008	Syas.g_00886	Syah.g_01994
OG0000008	Syas.g_00887	Syah.g_01993
OG0000009	Syas.g_01450	Syah.g_01910, Syah.g_02535
OG0000010	Syas.g_01334	Syah.g_01220
OG0000014	Syas.g_01816	Syah.g_00127
OG0000016	Syas.g_02048	Syah.g_00359
OG0000016	Syas.g_01086	Syah.g_01402
OG0000017	Syas.g_00856	Syah.g_01159
OG0000017	Syas.g_00849	Syah.g_01152
OG0000018	Syas.g_01290	Syah.g_01264
OG0000019	Syas.g_01696	Syah.g_00669
OG0000022	Syas.g_02758	Syah.g_01881
OG0000025	Syas.g_00231	Syah.g_02082
OG0000026	Syas.g_02070	Syah.g_00340
OG0000027	Syas.g_01480	Syah.g_01541
OG0000028	Syas.g_01793	Syah.g_00141
OG0000030	Syas.g_01644	Syah.g_00264
OG0000030	Syas.g_01645	Syah.g_00265
OG0000031	Syas.g_01827	Syah.g_00146
OG0000033	Syas.g_02328	Syah.g_00211, Syah.g_00078
OG0000034	Syas.g_02371, Syas.g_02838	Syah.g_00048, Syah.g_02213
OG0000035	Syas.g_02814, Syas.g_02818	Syah.g_01293
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Syah.g_00956, Syah.g_01365
OG0000038	Syas.g_01885	Syah.g_00508
OG0000038	Syas.g_01887	Syah.g_00506
OG0000040	Syas.g_01972	Syah.g_00431
OG0000040	Syas.g_02028	Syah.g_01908
OG0000042	Syas.g_01121, Syas.g_02147	Syah.g_00261
OG0000044	Syas.g_00894, Syas.g_02453	Syah.g_01194, Syah.g_02454, Syah.g_02072
OG0000048	Syas.g_01734	Syah.g_00637
OG0000051	Syas.g_01445	Syah.g_02473
OG0000053	Syas.g_01287	Syah.g_01267
OG0000054	Syas.g_00961	Syah.g_01982
OG0000054	Syas.g_00957	Syah.g_01862
OG0000055	Syas.g_00203	Syah.g_01878
OG0000058	Syas.g_01151	Syah.g_00152
OG0000060	Syas.g_00975	Syah.g_01515
OG0000061	Syas.g_01184	Syah.g_02158
OG0000062	Syas.g_02702	Syah.g_02365
OG0000063	Syas.g_02074	Syah.g_00337
OG0000064	Syas.g_00946	Syah.g_01353
OG0000065	Syas.g_02420	Syah.g_02443, Syah.g_02537
OG0000066	Syas.g_00094	Syah.g_01073
OG0000067	Syas.g_00596	Syah.g_01779
OG0000068	Syas.g_00969, Syas.g_01261	Syah.g_00986
OG0000070	Syas.g_00173	Syah.g_02217
OG0000071	Syas.g_02854	Syah.g_01863
OG0000072	Syas.g_02326	Syah.g_00080
OG0000073	Syas.g_01230	Syah.g_01018
OG0000075	Syas.g_01921, Syas.g_02194	Syah.g_00186
OG0000076	Syas.g_02156	Syah.g_00250
OG0000077	Syas.g_02510	Syah.g_02494
OG0000079	Syas.g_01699	Syah.g_00665
OG0000081	Syas.g_00391	Syah.g_02471, Syah.g_00922
OG0000082	Syas.g_00837	Syah.g_01136
OG0000085	Syas.g_02695	Syah.g_02372
OG0000086	Syas.g_02470	Syah.g_02511
OG0000087	Syas.g_02374	Syah.g_00038
OG0000089	Syas.g_01512	Syah.g_00888
OG0000090	Syas.g_00062	Syah.g_01064
OG0000091	Syas.g_00907, Syas.g_00146	Syah.g_01927
OG0000094	Syas.g_00208	Syah.g_01692
OG0000095	Syas.g_01021	Syah.g_02030
OG0000098	Syas.g_00091	Syah.g_00723
OG0000099	Syas.g_01826	Syah.g_00144
OG0000100	Syas.g_00567	Syah.g_01747
