Orthogroup	Syas	Prac
OG0000004	Syas.g_00176	Prac.g_00676
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prac.g_01698
OG0000005	Syas.g_02665	Prac.g_00612
OG0000005	Syas.g_02704	Prac.g_00335
OG0000006	Syas.g_00942, Syas.g_01684, Syas.g_02565, Syas.g_00720	Prac.g_01689
OG0000007	Syas.g_01232	Prac.g_00874
OG0000007	Syas.g_02681	Prac.g_00625
OG0000008	Syas.g_00886	Prac.g_00904
OG0000009	Syas.g_01450	Prac.g_01826
OG0000010	Syas.g_01334	Prac.g_01592, Prac.g_01248, Prac.g_01070
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Prac.g_01604
OG0000014	Syas.g_01816	Prac.g_01625
OG0000016	Syas.g_02048	Prac.g_01934
OG0000017	Syas.g_00849	Prac.g_00773
OG0000018	Syas.g_01290	Prac.g_01004, Prac.g_01448
OG0000019	Syas.g_01696	Prac.g_01681, Prac.g_01496
OG0000022	Syas.g_02758	Prac.g_01510, Prac.g_01022
OG0000025	Syas.g_00231	Prac.g_01441, Prac.g_01600
OG0000026	Syas.g_02070	Prac.g_01916, Prac.g_01241
OG0000027	Syas.g_01480	Prac.g_01074
OG0000028	Syas.g_01793	Prac.g_01611, Prac.g_00145
OG0000030	Syas.g_01644, Syas.g_01645	Prac.g_00050
OG0000033	Syas.g_02328	Prac.g_01761
OG0000034	Syas.g_02371, Syas.g_02838	Prac.g_00185
OG0000035	Syas.g_02814, Syas.g_02818	Prac.g_00411
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Prac.g_01822
OG0000038	Syas.g_01885, Syas.g_01887	Prac.g_00090
OG0000039	Syas.g_02795	Prac.g_00685
OG0000040	Syas.g_02028	Prac.g_00279
OG0000042	Syas.g_01121, Syas.g_02147	Prac.g_00048
OG0000044	Syas.g_00894, Syas.g_02453	Prac.g_00892
OG0000048	Syas.g_01734	Prac.g_01159
OG0000053	Syas.g_01287	Prac.g_01901, Prac.g_00391
OG0000054	Syas.g_00961	Prac.g_00765
OG0000058	Syas.g_01151	Prac.g_00434
OG0000061	Syas.g_01184	Prac.g_00985
OG0000062	Syas.g_00070	Prac.g_00333
OG0000063	Syas.g_02074	Prac.g_01913, Prac.g_01914, Prac.g_00908
OG0000065	Syas.g_02420	Prac.g_01824
OG0000066	Syas.g_00094	Prac.g_00833
OG0000067	Syas.g_00596	Prac.g_01475
OG0000068	Syas.g_00969, Syas.g_01261	Prac.g_00217
OG0000070	Syas.g_00173	Prac.g_01097
OG0000072	Syas.g_02326, Syas.g_01524	Prac.g_01759
OG0000073	Syas.g_01230, Syas.g_00358, Syas.g_00264	Prac.g_00872
OG0000075	Syas.g_01921, Syas.g_02194	Prac.g_00017
OG0000076	Syas.g_02156	Prac.g_01904, Prac.g_00041
OG0000078	Syas.g_02308	Prac.g_01691
OG0000081	Syas.g_00391	Prac.g_00841
OG0000082	Syas.g_00837	Prac.g_00788
OG0000085	Syas.g_02695	Prac.g_00632
OG0000086	Syas.g_02470	Prac.g_01843
OG0000087	Syas.g_02374	Prac.g_01792
OG0000089	Syas.g_01512	Prac.g_01178
OG0000090	Syas.g_00062	Prac.g_00839
OG0000091	Syas.g_00907, Syas.g_00146	Prac.g_00729
OG0000092	Syas.g_00900, Syas.g_00877	Prac.g_01379, Prac.g_00003
OG0000094	Syas.g_00208, Syas.g_01716	Prac.g_01275
OG0000095	Syas.g_01021	Prac.g_01256
OG0000097	Syas.g_00114, Syas.g_01443	Prac.g_00944
OG0000098	Syas.g_00091	Prac.g_00199
OG0000099	Syas.g_01826	Prac.g_00256
OG0000100	Syas.g_00567	Prac.g_00337
OG0000101	Syas.g_01589	Prac.g_00548
OG0000102	Syas.g_02152, Syas.g_01395	Prac.g_00046
OG0000103	Syas.g_02009	Prac.g_00123
OG0000104	Syas.g_02027, Syas.g_02026	Prac.g_00131
OG0000105	Syas.g_01739	Prac.g_01657
OG0000106	Syas.g_01451	Prac.g_01163
OG0000107	Syas.g_01669	Prac.g_01148
OG0000108	Syas.g_01253	Prac.g_01064
OG0000109	Syas.g_01236	Prac.g_01050
OG0000110	Syas.g_00818	Prac.g_00798
OG0000111	Syas.g_01037	Prac.g_00672
OG0000112	Syas.g_00452	Prac.g_01507
OG0000113	Syas.g_00571	Prac.g_01453
OG0000114	Syas.g_00674	Prac.g_01384
OG0000115	Syas.g_02548, Syas.g_01285	Prac.g_01040
OG0000116	Syas.g_01198, Syas.g_00317	Prac.g_00995
OG0000117	Syas.g_01122	Prac.g_01955
OG0000118	Syas.g_02835	Prac.g_00187
OG0000120	Syas.g_01828	Prac.g_00248
OG0000121	Syas.g_02821	Prac.g_00409
OG0000122	Syas.g_00393	Prac.g_00371
OG0000123	Syas.g_01582	Prac.g_00554
OG0000124	Syas.g_02137	Prac.g_00056
OG0000125	Syas.g_01889	Prac.g_00092
OG0000126	Syas.g_01992	Prac.g_00130
OG0000128	Syas.g_02046	Prac.g_01936
OG0000129	Syas.g_01880	Prac.g_01888
OG0000130	Syas.g_02522	Prac.g_01862
OG0000131	Syas.g_02367	Prac.g_01785
OG0000132	Syas.g_02334	Prac.g_01766
OG0000133	Syas.g_00457	Prac.g_01609
OG0000134	Syas.g_01509	Prac.g_01177
OG0000135	Syas.g_01938	Prac.g_01150
OG0000136	Syas.g_02740	Prac.g_01106
OG0000137	Syas.g_01333	Prac.g_01069
OG0000138	Syas.g_01235	Prac.g_01049
OG0000140	Syas.g_00090	Prac.g_00834
OG0000141	Syas.g_00875	Prac.g_00764
OG0000142	Syas.g_00746	Prac.g_00736
OG0000143	Syas.g_00742	Prac.g_00732
OG0000144	Syas.g_00718	Prac.g_00719
OG0000145	Syas.g_00948	Prac.g_01508
OG0000146	Syas.g_00451	Prac.g_01506
OG0000147	Syas.g_00450	Prac.g_01505
OG0000148	Syas.g_00577	Prac.g_01459
OG0000149	Syas.g_00282	Prac.g_01429
OG0000150	Syas.g_00874	Prac.g_01421
OG0000151	Syas.g_00148, Syas.g_00659	Prac.g_01374
OG0000152	Syas.g_00461	Prac.g_01327
OG0000153	Syas.g_00543	Prac.g_01308
OG0000154	Syas.g_00219	Prac.g_01282
OG0000155	Syas.g_01131	Prac.g_00965
OG0000156	Syas.g_01206	Prac.g_00164
OG0000157	Syas.g_01207	Prac.g_00165
OG0000158	Syas.g_02185	Prac.g_00447
OG0000159	Syas.g_01155	Prac.g_00452, Prac.g_00257
OG0000160	Syas.g_02820	Prac.g_00410
OG0000161	Syas.g_02826	Prac.g_00404
OG0000162	Syas.g_02751	Prac.g_00398
OG0000163	Syas.g_01488	Prac.g_00364
OG0000164	Syas.g_02648	Prac.g_00601
OG0000165	Syas.g_02609	Prac.g_00594
OG0000166	Syas.g_01629	Prac.g_00512
OG0000167	Syas.g_01449	Prac.g_00015
OG0000168	Syas.g_02184	Prac.g_00025
OG0000169	Syas.g_02170	Prac.g_00035
OG0000170	Syas.g_02161	Prac.g_00037
OG0000171	Syas.g_02139	Prac.g_00055
OG0000172	Syas.g_02110	Prac.g_00063
OG0000173	Syas.g_02092	Prac.g_00078
OG0000174	Syas.g_01940	Prac.g_00105
OG0000175	Syas.g_01994	Prac.g_00115
OG0000176	Syas.g_02038	Prac.g_01943
OG0000177	Syas.g_02039	Prac.g_01942
OG0000178	Syas.g_02040	Prac.g_01941
OG0000179	Syas.g_02054	Prac.g_01931
OG0000180	Syas.g_02055	Prac.g_01930
OG0000181	Syas.g_02056	Prac.g_01929
OG0000182	Syas.g_02057	Prac.g_01928
OG0000183	Syas.g_02061	Prac.g_01924
OG0000184	Syas.g_01872	Prac.g_01885
OG0000185	Syas.g_01861	Prac.g_01882
OG0000186	Syas.g_02525	Prac.g_01867
OG0000187	Syas.g_02524	Prac.g_01866
OG0000188	Syas.g_02502	Prac.g_01849
OG0000189	Syas.g_02432	Prac.g_01835
OG0000190	Syas.g_00133	Prac.g_01834
OG0000191	Syas.g_02400	Prac.g_01814
OG0000192	Syas.g_02395	Prac.g_01810
OG0000193	Syas.g_02366	Prac.g_01784
OG0000194	Syas.g_02363	Prac.g_01781
OG0000195	Syas.g_02360	Prac.g_01779
OG0000196	Syas.g_02337	Prac.g_01769
OG0000197	Syas.g_02336	Prac.g_01768
OG0000198	Syas.g_02335	Prac.g_01767
OG0000199	Syas.g_02327	Prac.g_01760
OG0000200	Syas.g_02298	Prac.g_01746
OG0000201	Syas.g_02279	Prac.g_01738
OG0000202	Syas.g_02278	Prac.g_01737
OG0000203	Syas.g_02277	Prac.g_01736
OG0000204	Syas.g_02276	Prac.g_01735
OG0000205	Syas.g_02267	Prac.g_01728
OG0000206	Syas.g_02240	Prac.g_01723
