Orthogroup	Syas	Syae
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syae.g_01417
OG0000004	Syas.g_00176	Syae.g_00779
OG0000004	Syas.g_00174, Syas.g_00311	Syae.g_00042
OG0000004	Syas.g_00072	Syae.g_02231
OG0000005	Syas.g_02665	Syae.g_01179
OG0000005	Syas.g_02704	Syae.g_01143
OG0000006	Syas.g_01684, Syas.g_02565	Syae.g_02030, Syae.g_02248
OG0000007	Syas.g_01232	Syae.g_02328
OG0000007	Syas.g_02681	Syae.g_01163
OG0000008	Syas.g_00886	Syae.g_00753
OG0000008	Syas.g_00887	Syae.g_00752
OG0000009	Syas.g_01450	Syae.g_00100, Syae.g_01361
OG0000010	Syas.g_01334	Syae.g_02529
OG0000014	Syas.g_01816	Syae.g_01930
OG0000015	Syas.g_02007	Syae.g_01693
OG0000016	Syas.g_02048	Syae.g_01726
OG0000016	Syas.g_01086	Syae.g_00681
OG0000017	Syas.g_00856	Syae.g_02469
OG0000017	Syas.g_00849	Syae.g_02462
OG0000018	Syas.g_01290	Syae.g_02625
OG0000019	Syas.g_01696	Syae.g_02015
OG0000022	Syas.g_02758	Syae.g_00144
OG0000025	Syas.g_00231	Syae.g_00833
OG0000026	Syas.g_02070	Syae.g_01748
OG0000027	Syas.g_01480	Syae.g_00103, Syae.g_00814
OG0000028	Syas.g_01793	Syae.g_01916
OG0000030	Syas.g_01644	Syae.g_01817
OG0000030	Syas.g_01645	Syae.g_01816
OG0000031	Syas.g_01827	Syae.g_01911
OG0000033	Syas.g_02328	Syae.g_01453
OG0000034	Syas.g_02371, Syas.g_02838	Syae.g_00975, Syae.g_01424
OG0000035	Syas.g_02814, Syas.g_02818	Syae.g_02653
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Syae.g_01367
OG0000038	Syas.g_01885	Syae.g_01571
OG0000040	Syas.g_01972	Syae.g_01653
OG0000042	Syas.g_01121, Syas.g_02147	Syae.g_01821
OG0000044	Syas.g_00894, Syas.g_02453	Syae.g_01067, Syae.g_00098
OG0000048	Syas.g_01734	Syae.g_01982
OG0000051	Syas.g_01445	Syae.g_00438
OG0000053	Syas.g_01287	Syae.g_02629
OG0000054	Syas.g_00961	Syae.g_00014
OG0000054	Syas.g_00957	Syae.g_00221
OG0000058	Syas.g_01151	Syae.g_01905
OG0000060	Syas.g_00975	Syae.g_00649
OG0000061	Syas.g_01184	Syae.g_00921
OG0000062	Syas.g_02702	Syae.g_01145
OG0000063	Syas.g_02074	Syae.g_01752
OG0000064	Syas.g_02423	Syae.g_01631
OG0000064	Syas.g_00946	Syae.g_00194
OG0000065	Syas.g_02420	Syae.g_00722, Syae.g_01363
OG0000066	Syas.g_00094	Syae.g_02386
OG0000067	Syas.g_00596	Syae.g_00521
OG0000068	Syas.g_00969, Syas.g_01261	Syae.g_02299
OG0000070	Syas.g_00173	Syae.g_00979
OG0000072	Syas.g_02326	Syae.g_01455
OG0000073	Syas.g_01230	Syae.g_02330
OG0000075	Syas.g_01921, Syas.g_02194	Syae.g_01871
OG0000076	Syas.g_02156	Syae.g_01829
OG0000078	Syas.g_02308	Syae.g_02243
OG0000079	Syas.g_01699	Syae.g_02011
OG0000081	Syas.g_00391	Syae.g_02261
OG0000082	Syas.g_00837	Syae.g_02447
OG0000085	Syas.g_02695	Syae.g_01152
OG0000086	Syas.g_02470	Syae.g_01333
OG0000087	Syas.g_02374	Syae.g_01414
OG0000089	Syas.g_01512	Syae.g_02219
OG0000090	Syas.g_00062	Syae.g_02374
OG0000091	Syas.g_00907, Syas.g_00146	Syae.g_00082
OG0000092	Syas.g_00900, Syas.g_00877	Syae.g_00884
OG0000094	Syas.g_00208	Syae.g_00430
OG0000095	Syas.g_01021	Syae.g_00793, Syae.g_00259, Syae.g_01624
OG0000098	Syas.g_00091	Syae.g_02058
OG0000099	Syas.g_01826	Syae.g_01913, Syae.g_01226
OG0000100	Syas.g_00567	Syae.g_00489
OG0000102	Syas.g_02152, Syas.g_01395	Syae.g_01824
OG0000104	Syas.g_02027, Syas.g_02026	Syae.g_01708
OG0000105	Syas.g_01739	Syae.g_01977
OG0000106	Syas.g_01451	Syae.g_00272
OG0000107	Syas.g_01669	Syae.g_02032
OG0000108	Syas.g_01253	Syae.g_02309
OG0000110	Syas.g_00818	Syae.g_02435
OG0000111	Syas.g_01037	Syae.g_00783
