Orthogroup	Syas	Prbc
OG0000004	Syas.g_00176	Prbc.g_01381
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prbc.g_00339
OG0000005	Syas.g_02665	Prbc.g_00098
OG0000005	Syas.g_02704	Prbc.g_00788
OG0000006	Syas.g_00942, Syas.g_01684, Syas.g_02565, Syas.g_00720	Prbc.g_02202
OG0000007	Syas.g_01232	Prbc.g_01556
OG0000007	Syas.g_02681	Prbc.g_00832
OG0000008	Syas.g_00886	Prbc.g_00893
OG0000008	Syas.g_00887	Prbc.g_00894
OG0000010	Syas.g_01334	Prbc.g_02115, Prbc.g_01533
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Prbc.g_01219
OG0000014	Syas.g_01816	Prbc.g_01198
OG0000016	Syas.g_02048	Prbc.g_01083
OG0000016	Syas.g_01086, Syas.g_01050	Prbc.g_00929
OG0000017	Syas.g_00849	Prbc.g_01681
OG0000018	Syas.g_01290	Prbc.g_01468, Prbc.g_01887
OG0000019	Syas.g_01696	Prbc.g_01836
OG0000022	Syas.g_02758	Prbc.g_00166, Prbc.g_01288
OG0000025	Syas.g_00231	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894
OG0000026	Syas.g_02070	Prbc.g_01101
OG0000027	Syas.g_01480	Prbc.g_00072
OG0000028	Syas.g_01793	Prbc.g_00653
OG0000030	Syas.g_01644, Syas.g_01645	Prbc.g_00199
OG0000033	Syas.g_02328	Prbc.g_00402
OG0000034	Syas.g_02371, Syas.g_02838	Prbc.g_00575
OG0000035	Syas.g_02814, Syas.g_02818	Prbc.g_00709
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Prbc.g_00464
OG0000038	Syas.g_01885, Syas.g_01887	Prbc.g_00995
OG0000039	Syas.g_02795	Prbc.g_01768
OG0000040	Syas.g_02028	Prbc.g_00909, Prbc.g_00811
OG0000042	Syas.g_01121, Syas.g_02147	Prbc.g_00203
OG0000044	Syas.g_00894, Syas.g_02453	Prbc.g_00533
OG0000046	Syas.g_01553, Syas.g_01556, Syas.g_01558	Prbc.g_01220
OG0000048	Syas.g_01734	Prbc.g_01165
OG0000051	Syas.g_01445	Prbc.g_00088, Prbc.g_00095
OG0000053	Syas.g_01287	Prbc.g_00728
OG0000054	Syas.g_00961	Prbc.g_01683
OG0000055	Syas.g_00203	Prbc.g_00907
OG0000058	Syas.g_01151	Prbc.g_01928
OG0000061	Syas.g_01184	Prbc.g_01446
OG0000062	Syas.g_00070	Prbc.g_00790
OG0000063	Syas.g_02074	Prbc.g_00932
OG0000065	Syas.g_02420	Prbc.g_00466
OG0000066	Syas.g_00094	Prbc.g_01618
OG0000067	Syas.g_00596	Prbc.g_01858
OG0000068	Syas.g_00969, Syas.g_01261	Prbc.g_00657
OG0000070	Syas.g_00173	Prbc.g_01511
OG0000072	Syas.g_02326, Syas.g_01524	Prbc.g_00400
OG0000073	Syas.g_01230	Prbc.g_01579
OG0000075	Syas.g_01921, Syas.g_02194	Prbc.g_00236
OG0000076	Syas.g_02156	Prbc.g_00211
OG0000077	Syas.g_02510	Prbc.g_00495
OG0000078	Syas.g_02308	Prbc.g_00330
OG0000079	Syas.g_01699	Prbc.g_01148
OG0000081	Syas.g_00391	Prbc.g_01610
OG0000082	Syas.g_00837	Prbc.g_00891
OG0000085	Syas.g_02695	Prbc.g_00826
OG0000086	Syas.g_02470	Prbc.g_00485
OG0000087	Syas.g_02374	Prbc.g_00432
OG0000089	Syas.g_01512	Prbc.g_01268
OG0000090	Syas.g_00062	Prbc.g_01612
OG0000091	Syas.g_00907, Syas.g_00146	Prbc.g_01719
OG0000092	Syas.g_00900, Syas.g_00877	Prbc.g_01982, Prbc.g_01110, Prbc.g_00263
OG0000094	Syas.g_01716	Prbc.g_01935
OG0000095	Syas.g_01021	Prbc.g_02113
OG0000097	Syas.g_00114, Syas.g_01443	Prbc.g_01400
OG0000098	Syas.g_00091	Prbc.g_00585
OG0000099	Syas.g_01826	Prbc.g_01229
OG0000100	Syas.g_00567	Prbc.g_00785
OG0000101	Syas.g_01589	Prbc.g_00284
