Orthogroup	Syas	Praf
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Praf.g_02422
OG0000003	Syas.g_00054	Praf.g_01162, Praf.g_00199
OG0000004	Syas.g_00176	Praf.g_01121
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Praf.g_00743
OG0000005	Syas.g_02704	Praf.g_00503
OG0000006	Syas.g_00942, Syas.g_01684, Syas.g_02565, Syas.g_00720	Praf.g_00396, Praf.g_01719
OG0000007	Syas.g_01232	Praf.g_00614
OG0000007	Syas.g_02681	Praf.g_00480
OG0000008	Syas.g_00886	Praf.g_01223
OG0000008	Syas.g_00887	Praf.g_01224
OG0000009	Syas.g_01450	Praf.g_01768, Praf.g_00246
OG0000010	Syas.g_01334	Praf.g_01908
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Praf.g_02073
OG0000014	Syas.g_01816	Praf.g_02319
OG0000016	Syas.g_02048	Praf.g_00014
OG0000016	Syas.g_01086	Praf.g_00906
OG0000017	Syas.g_00856	Praf.g_00760
OG0000017	Syas.g_00849	Praf.g_00752
OG0000018	Syas.g_01290	Praf.g_01832
OG0000019	Syas.g_01696	Praf.g_00943, Praf.g_02214
OG0000022	Syas.g_02758	Praf.g_00201, Praf.g_00965
OG0000025	Syas.g_00231	Praf.g_01591
OG0000026	Syas.g_02070	Praf.g_00037
OG0000028	Syas.g_01793	Praf.g_02333
OG0000030	Syas.g_01644	Praf.g_00160
OG0000030	Syas.g_01645	Praf.g_00159
OG0000033	Syas.g_02328	Praf.g_02707, Praf.g_00098, Praf.g_00117, Praf.g_02457
OG0000034	Syas.g_02371, Syas.g_02838	Praf.g_00783
OG0000035	Syas.g_02814, Syas.g_02818	Praf.g_01794
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Praf.g_00240
OG0000038	Syas.g_01885	Praf.g_02660
OG0000038	Syas.g_01887	Praf.g_02662
OG0000039	Syas.g_02795	Praf.g_00406
OG0000042	Syas.g_01121, Syas.g_02147	Praf.g_00164, Praf.g_00920
OG0000044	Syas.g_00894, Syas.g_02453	Praf.g_00356, Praf.g_01078
OG0000046	Syas.g_01553, Syas.g_01556, Syas.g_01558	Praf.g_02072
OG0000048	Syas.g_01734	Praf.g_02267
OG0000051	Syas.g_01445	Praf.g_01022
OG0000053	Syas.g_01287	Praf.g_01828
OG0000054	Syas.g_00961	Praf.g_00763
OG0000059	Syas.g_01639	Praf.g_02172
OG0000061	Syas.g_01184	Praf.g_00854, Praf.g_01859
OG0000062	Syas.g_00070	Praf.g_00501
OG0000063	Syas.g_02074	Praf.g_00041
OG0000065	Syas.g_02420	Praf.g_00244
OG0000066	Syas.g_00094	Praf.g_00672
OG0000067	Syas.g_00596	Praf.g_01530
OG0000068	Syas.g_00969, Syas.g_01261	Praf.g_00585, Praf.g_00583
OG0000070	Syas.g_00173	Praf.g_01962
OG0000072	Syas.g_01524	Praf.g_02469
OG0000073	Syas.g_01230	Praf.g_00616
OG0000075	Syas.g_01921, Syas.g_02194	Praf.g_02384
OG0000076	Syas.g_02156	Praf.g_00178
OG0000078	Syas.g_02308	Praf.g_00391
OG0000079	Syas.g_01699	Praf.g_02234, Praf.g_02218, Praf.g_02225
OG0000081	Syas.g_00391	Praf.g_01131
OG0000082	Syas.g_00837	Praf.g_00731
OG0000085	Syas.g_02695	Praf.g_00491
OG0000086	Syas.g_02470	Praf.g_00297
OG0000087	Syas.g_02374	Praf.g_02420
OG0000089	Syas.g_01512	Praf.g_02015
OG0000090	Syas.g_00062	Praf.g_00660
OG0000091	Syas.g_00907, Syas.g_00146	Praf.g_01700
OG0000094	Syas.g_01716	Praf.g_02685
OG0000095	Syas.g_01021	Praf.g_01274
OG0000098	Syas.g_00091	Praf.g_01886
OG0000099	Syas.g_01826	Praf.g_02342
OG0000100	Syas.g_00567	Praf.g_00370, Praf.g_01561
OG0000102	Syas.g_02152, Syas.g_01395	Praf.g_00173
OG0000103	Syas.g_02009	Praf.g_02765
OG0000104	Syas.g_02027, Syas.g_02026	Praf.g_02779
OG0000105	Syas.g_01739	Praf.g_02271
OG0000106	Syas.g_01451	Praf.g_00496
OG0000107	Syas.g_01669	Praf.g_02201
OG0000108	Syas.g_01253	Praf.g_00595
OG0000109	Syas.g_01236	Praf.g_00611
OG0000110	Syas.g_00818	Praf.g_00718
OG0000111	Syas.g_01037	Praf.g_01126
OG0000112	Syas.g_00452	Praf.g_01400
OG0000113	Syas.g_00571	Praf.g_01556
OG0000114	Syas.g_00674	Praf.g_01461
OG0000115	Syas.g_02548, Syas.g_01285	Praf.g_01825
OG0000116	Syas.g_01198, Syas.g_00317	Praf.g_00825
OG0000117	Syas.g_01122	Praf.g_00919
OG0000118	Syas.g_02835	Praf.g_00779
OG0000120	Syas.g_01828	Praf.g_02343
OG0000121	Syas.g_02821	Praf.g_01796
OG0000122	Syas.g_00393	Praf.g_00976
OG0000123	Syas.g_01582	Praf.g_02108
OG0000124	Syas.g_02137	Praf.g_00153
OG0000125	Syas.g_01889	Praf.g_02664
OG0000126	Syas.g_01992	Praf.g_02777
OG0000127	Syas.g_02540	Praf.g_00338
OG0000128	Syas.g_02046	Praf.g_00012
OG0000129	Syas.g_01880	Praf.g_02652
OG0000130	Syas.g_02522	Praf.g_00321
OG0000131	Syas.g_02367	Praf.g_02432
OG0000132	Syas.g_02334	Praf.g_02452
OG0000133	Syas.g_00457	Praf.g_02336
OG0000134	Syas.g_01509	Praf.g_02012
OG0000135	Syas.g_01938	Praf.g_02705, Praf.g_02715
OG0000136	Syas.g_02740	Praf.g_01984
OG0000137	Syas.g_01333	Praf.g_01907
OG0000138	Syas.g_01235	Praf.g_00612
OG0000140	Syas.g_00090	Praf.g_00670
OG0000141	Syas.g_00875	Praf.g_00764
OG0000142	Syas.g_00746	Praf.g_01692
OG0000143	Syas.g_00742	Praf.g_01696
OG0000144	Syas.g_00718	Praf.g_01721
OG0000145	Syas.g_00948	Praf.g_00617
OG0000146	Syas.g_00451	Praf.g_01401
OG0000147	Syas.g_00450	Praf.g_01402
OG0000148	Syas.g_00577	Praf.g_01548
OG0000149	Syas.g_00282	Praf.g_01604
OG0000150	Syas.g_00874	Praf.g_01625
OG0000151	Syas.g_00148, Syas.g_00659	Praf.g_01478
OG0000152	Syas.g_00461	Praf.g_01392
OG0000153	Syas.g_00543	Praf.g_01362
OG0000154	Syas.g_00219	Praf.g_01337
OG0000155	Syas.g_01131	Praf.g_00886
OG0000156	Syas.g_01206	Praf.g_00810
OG0000157	Syas.g_01207	Praf.g_00809
OG0000158	Syas.g_02185	Praf.g_02394
OG0000160	Syas.g_02820	Praf.g_01795
OG0000161	Syas.g_02826	Praf.g_01805
OG0000162	Syas.g_02751	Praf.g_01817
OG0000163	Syas.g_01488	Praf.g_00538
OG0000164	Syas.g_02648	Praf.g_00453
OG0000165	Syas.g_02609	Praf.g_00444
OG0000166	Syas.g_01629	Praf.g_02157
OG0000167	Syas.g_01449	Praf.g_02382, Praf.g_02378, Praf.g_02380
OG0000168	Syas.g_02184	Praf.g_02395
OG0000169	Syas.g_02170	Praf.g_00191
OG0000170	Syas.g_02161	Praf.g_00183
OG0000171	Syas.g_02139	Praf.g_00154
OG0000172	Syas.g_02110	Praf.g_00087
OG0000173	Syas.g_02092	Praf.g_00062
OG0000174	Syas.g_01940	Praf.g_02717
OG0000175	Syas.g_01994	Praf.g_02754
OG0000176	Syas.g_02038	Praf.g_00004
OG0000177	Syas.g_02039	Praf.g_00005
OG0000178	Syas.g_02040	Praf.g_00006
OG0000179	Syas.g_02054	Praf.g_00021
OG0000180	Syas.g_02055	Praf.g_00022
OG0000181	Syas.g_02056	Praf.g_00023
OG0000182	Syas.g_02057	Praf.g_00024
OG0000183	Syas.g_02061	Praf.g_00028
OG0000184	Syas.g_01872	Praf.g_02611
OG0000185	Syas.g_01861	Praf.g_00333, Praf.g_02602
OG0000186	Syas.g_02525	Praf.g_00328
OG0000187	Syas.g_02524	Praf.g_00326
OG0000188	Syas.g_02502	Praf.g_00303
OG0000189	Syas.g_02432	Praf.g_00257
OG0000190	Syas.g_00133	Praf.g_00255
OG0000191	Syas.g_02400	Praf.g_00218
OG0000192	Syas.g_02395	Praf.g_00212
OG0000193	Syas.g_02366	Praf.g_02433
OG0000194	Syas.g_02363	Praf.g_02436
OG0000196	Syas.g_02337	Praf.g_02449
OG0000197	Syas.g_02336	Praf.g_02450
OG0000198	Syas.g_02335	Praf.g_02451
OG0000199	Syas.g_02327	Praf.g_02468
