Orthogroup	Syas	Pram
OG0000004	Syas.g_00176	Pram.g_00789
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Pram.g_00219
OG0000005	Syas.g_02704	Pram.g_01295
OG0000006	Syas.g_00942, Syas.g_01684, Syas.g_02565, Syas.g_00720	Pram.g_00229
OG0000007	Syas.g_01232	Pram.g_00433
OG0000007	Syas.g_02681	Pram.g_01632
OG0000008	Syas.g_00886	Pram.g_01263
OG0000008	Syas.g_00887	Pram.g_01262
OG0000010	Syas.g_01334	Pram.g_00704, Pram.g_01000, Pram.g_00410
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Pram.g_00315
OG0000014	Syas.g_01816	Pram.g_00295
OG0000016	Syas.g_01086, Syas.g_01050	Pram.g_01193
OG0000017	Syas.g_00856	Pram.g_00542
OG0000017	Syas.g_00849	Pram.g_00535
OG0000018	Syas.g_01290	Pram.g_01162, Pram.g_00837
OG0000019	Syas.g_01696	Pram.g_00237, Pram.g_01164
OG0000022	Syas.g_02758	Pram.g_01287
OG0000025	Syas.g_00231	Pram.g_00844
OG0000026	Syas.g_02070	Pram.g_00018
OG0000028	Syas.g_01793	Pram.g_00308, Pram.g_00363
OG0000030	Syas.g_01644, Syas.g_01645	Pram.g_01844
OG0000031	Syas.g_01827	Pram.g_01413
OG0000033	Syas.g_02328	Pram.g_00154
OG0000034	Syas.g_02371, Syas.g_02838	Pram.g_01240
OG0000035	Syas.g_02814, Syas.g_02818	Pram.g_01378, Pram.g_01381
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Pram.g_00093
OG0000038	Syas.g_01885, Syas.g_01887	Pram.g_01884
OG0000039	Syas.g_02795	Pram.g_00777
OG0000040	Syas.g_02028	Pram.g_01599
OG0000042	Syas.g_01121, Syas.g_02147	Pram.g_01841
OG0000044	Syas.g_00894, Syas.g_02453	Pram.g_01620
OG0000046	Syas.g_01553, Syas.g_01556, Syas.g_01558	Pram.g_00316
OG0000048	Syas.g_01734	Pram.g_00259
OG0000053	Syas.g_01287	Pram.g_01580, Pram.g_01357
OG0000054	Syas.g_00961	Pram.g_00544
OG0000055	Syas.g_00203	Pram.g_01617
OG0000061	Syas.g_01184	Pram.g_01140
OG0000062	Syas.g_02702, Syas.g_00070	Pram.g_01293
OG0000063	Syas.g_02074	Pram.g_01258
OG0000064	Syas.g_02423, Syas.g_00946	Pram.g_00052
OG0000065	Syas.g_02420	Pram.g_00091
OG0000066	Syas.g_00094	Pram.g_01558
OG0000067	Syas.g_00596	Pram.g_00809
OG0000068	Syas.g_00969, Syas.g_01261	Pram.g_01468
OG0000070	Syas.g_00173	Pram.g_00385
OG0000072	Syas.g_02326, Syas.g_01524	Pram.g_00156
OG0000073	Syas.g_01230	Pram.g_00437
OG0000073	Syas.g_00358, Syas.g_00264	Pram.g_01426
OG0000075	Syas.g_01921, Syas.g_02194	Pram.g_01807
OG0000076	Syas.g_02156	Pram.g_01833
OG0000078	Syas.g_02308	Pram.g_00227
OG0000079	Syas.g_01699	Pram.g_00240
OG0000081	Syas.g_00391	Pram.g_00469
OG0000082	Syas.g_00837	Pram.g_01559
OG0000085	Syas.g_02695	Pram.g_01265
OG0000086	Syas.g_02470	Pram.g_00072
OG0000087	Syas.g_02374	Pram.g_00125
OG0000089	Syas.g_01512	Pram.g_00352
OG0000090	Syas.g_00062	Pram.g_00471
