Orthogroup	Syam	Other
OG0000013	Syam.g_00404	Syar.g_03167
OG0000033	Syam.g_02217	Praf.g_02707, Praf.g_00098, Praf.g_00117
OG0000070	Syam.g_01847	Syar.g_03150
OG0000087	Syam.g_02175	Syar.g_03192
OG0000090	Syam.g_00651	Syar.g_03271
OG0000099	Syam.g_00173	Prau.g_01491
OG0000112	Syam.g_01115	Syar.g_03195
OG0000139	Syam.g_00657	Syar.g_03245
OG0000145	Syam.g_00605	Syar.g_03205
OG0000153	Syam.g_01160	Syar.g_03283
OG0000194	Syam.g_02195	Syar.g_03236
OG0000202	Syam.g_02249	Syar.g_00021
OG0000203	Syam.g_02250	Syar.g_00020
OG0000210	Syam.g_02279	Syar.g_03260
OG0000229	Syam.g_01867	Syar.g_03273
OG0000233	Syam.g_01678	Syar.g_03183
OG0000236	Syam.g_00597	Syar.g_03311
OG0000239	Syam.g_00637	Syar.g_03277
OG0000240	Syam.g_00638	Syar.g_03278
OG0000251	Syam.g_01722	Syar.g_03207
OG0000253	Syam.g_01718	Syar.g_03229
OG0000258	Syam.g_01459	Syar.g_00010
OG0000264	Syam.g_00805	Syar.g_03267
OG0000274	Syam.g_00744	Syar.g_00009
OG0000282	Syam.g_01347	Syar.g_03255
OG0000295	Syam.g_01771	Syar.g_03208
OG0000303	Syam.g_00859	Syar.g_03136
OG0000306	Syam.g_01757	Syar.g_03140
OG0000325	Syam.g_00289	Syar.g_03291
OG0000330	Syam.g_00345	Syar.g_03190
OG0000367	Syam.g_00027	Syar.g_03262
OG0000388	Syam.g_02116	Syar.g_03148
OG0000486	Syam.g_00217	Syar.g_00024
OG0000559	Syam.g_00679	Syal.g_02305
OG0000823	Syam.g_01642	Syar.g_00017
OG0000995	Syam.g_02359	Syar.g_03212
OG0001008	Syam.g_01866	Syar.g_03274
OG0001135	Syam.g_00917	Prac.g_01959
OG0001269	Syam.g_00956	Syal.g_02116
OG0001376	Syam.g_02332	Syar.g_03203
OG0001377	Syam.g_02331	Syar.g_03202
OG0001470	Syam.g_01874	Syat.g_02257
OG0001488	Syam.g_01774	Syar.g_03222
OG0001515	Syam.g_00804	Syar.g_03266
OG0001623	Syam.g_00429	Syao.g_01889
OG0001653	Syam.g_02438	Syag.g_01462
OG0001672	Syam.g_02076	Prah.g_01854, Prah.g_01852
OG0001752	Syam.g_01914	Syar.g_03214
OG0001790	Syam.g_01804	Syar.g_03295
OG0001812	Syam.g_02302	Syar.g_03308
OG0001880	Syam.g_01130	Syar.g_03302
OG0001882	Syam.g_01103	Syar.g_03147
OG0002024	Syam.g_02392	Syar.g_00004
OG0002213	Syam.g_02304	Syar.g_03307
OG0002400	Syam.g_01527	Syag.g_01602
OG0002400	Syam.g_01527	Syac.g_01066
OG0002400	Syam.g_01527	Syah.g_01364
OG0002400	Syam.g_01527	Syaa.g_00370, Syaa.g_00417
OG0002407	Syam.g_00979	Syag.g_01590
