Orthogroup	Prar	Other
OG0000076	Prar.g_00592, Prar.g_00653	Syao.g_01251
OG0000092	Prar.g_00615	Prbc.g_01110, Prbc.g_00263
OG0000099	Prar.g_00872	Syai.g_00151
OG0000117	Prar.g_01003	Pral.g_01881
OG0000217	Prar.g_01154	Prak.g_00316
OG0000217	Prar.g_01154	Prap.g_01412
OG0000217	Prar.g_01154	Prbe.g_01852
OG0000217	Prar.g_01154	Prbf.g_01638
OG0000217	Prar.g_01154	Prbg.g_00077
OG0000217	Prar.g_01154	Prbn.g_00065
OG0000217	Prar.g_01154	Pram.g_00286
OG0000217	Prar.g_01154	Prbh.g_00481
OG0000217	Prar.g_01154	Prat.g_00305
OG0000217	Prar.g_01154	Pral.g_00741
OG0000771	Prar.g_00376	Prau.g_01496
OG0001399	Prar.g_01071	Syak.g_01977
OG0001399	Prar.g_01071	Syal.g_00434
OG0001399	Prar.g_01071	Syas.g_02459
OG0001399	Prar.g_01071	Syad.g_02336
OG0001399	Prar.g_01071	Syaf.g_00697
OG0001399	Prar.g_01071	Prbc.g_00264, Prbc.g_01136, Prbc.g_01235
OG0001399	Prar.g_01071	Prbi.g_01884
OG0001399	Prar.g_01071	Prbi.g_01884
OG0002033	Prar.g_01072	Prav.g_00942
OG0002033	Prar.g_01072	Pras.g_00230
OG0002033	Prar.g_01072	Prbi.g_01885, Prbi.g_01410, Prbi.g_00152
OG0002033	Prar.g_01072	Prab.g_01344
OG0002033	Prar.g_01072	Pran.g_00857
OG0002033	Prar.g_01072	Prai.g_00145
OG0002033	Prar.g_01072	Prae.g_01348
OG0002033	Prar.g_01072	Pray.g_01851
OG0002033	Prar.g_01072	Praz.g_01161
OG0002033	Prar.g_01072	Prba.g_01211
OG0002097	Prar.g_00854	Praf.g_00092
