Orthogroup	Syai	Other
OG0000013	Syai.g_00436	Syar.g_03167
OG0000033	Syai.g_02634	Praf.g_02707, Praf.g_00098, Praf.g_00117
OG0000070	Syai.g_02196	Syar.g_03150
OG0000087	Syai.g_02592	Syar.g_03192
OG0000090	Syai.g_00707	Syar.g_03271
OG0000099	Syai.g_00151	Prao.g_01214
OG0000099	Syai.g_00151	Pras.g_00294
OG0000099	Syai.g_00151	Prau.g_01435
OG0000099	Syai.g_00151	Prad.g_00566
OG0000099	Syai.g_00151	Prav.g_01514
OG0000099	Syai.g_00151	Prag.g_01424
OG0000099	Syai.g_00151	Praw.g_01051
OG0000099	Syai.g_00151	Pray.g_01788
OG0000099	Syai.g_00151	Praz.g_01098
OG0000099	Syai.g_00151	Prba.g_00155
OG0000099	Syai.g_00151	Prac.g_00256
OG0000099	Syai.g_00151	Praq.g_00216
OG0000099	Syai.g_00151	Prar.g_00872
OG0000099	Syai.g_00151	Prax.g_01825
OG0000099	Syai.g_00151	Prbm.g_00394
OG0000099	Syai.g_00151	Prbc.g_01229
OG0000099	Syai.g_00151	Praj.g_00372
OG0000099	Syai.g_00151	Prbb.g_00388
OG0000099	Syai.g_00151	Praa.g_01394
OG0000099	Syai.g_00151	Prbi.g_01462
OG0000099	Syai.g_00151	Prak.g_01352
OG0000099	Syai.g_00151	Prap.g_00082
OG0000099	Syai.g_00151	Prbe.g_00350
OG0000099	Syai.g_00151	Prbf.g_00118
OG0000099	Syai.g_00151	Prbg.g_00552
OG0000099	Syai.g_00151	Prbn.g_00173
OG0000099	Syai.g_00151	Pral.g_01201
OG0000099	Syai.g_00151	Prat.g_01312
OG0000099	Syai.g_00151	Prab.g_01394
OG0000099	Syai.g_00151	Pran.g_00806
OG0000099	Syai.g_00151	Prae.g_01390
OG0000099	Syai.g_00151	Prbd.g_01734
OG0000099	Syai.g_00151	Pram.g_01445
OG0000099	Syai.g_00151	Prbh.g_00032
OG0000099	Syai.g_00151	Prai.g_01393
OG0000099	Syai.g_00199	Prau.g_01491
OG0000110	Syai.g_00878	Syat.g_00049
OG0000110	Syai.g_00878	Syas.g_00359
OG0000110	Syai.g_00878	Syan.g_00171
OG0000112	Syai.g_01512	Syar.g_03195
OG0000139	Syai.g_00714	Syar.g_03245
OG0000145	Syai.g_00660	Syar.g_03205
OG0000153	Syai.g_01461	Syar.g_03283
OG0000194	Syai.g_02612	Syar.g_03236
OG0000202	Syai.g_02668	Syar.g_00021
OG0000203	Syai.g_02669	Syar.g_00020
OG0000210	Syai.g_02700	Syar.g_03260
OG0000229	Syai.g_02228	Syar.g_03273
OG0000233	Syai.g_00855	Syar.g_03183
OG0000236	Syai.g_00652	Syar.g_03311
OG0000239	Syai.g_00691	Syar.g_03277
OG0000240	Syai.g_00692	Syar.g_03278
OG0000251	Syai.g_00789	Syar.g_03207
OG0000253	Syai.g_00798	Syar.g_03229
OG0000258	Syai.g_01113	Syar.g_00010
OG0000264	Syai.g_01962	Syar.g_03267
OG0000274	Syai.g_02038	Syar.g_00009
OG0000282	Syai.g_01263	Syar.g_03255
OG0000295	Syai.g_02117	Syar.g_03208
OG0000303	Syai.g_01802	Syar.g_03136
OG0000306	Syai.g_02090	Syar.g_03140
OG0000325	Syai.g_00320	Syar.g_03291
OG0000330	Syai.g_00379	Syar.g_03190
OG0000367	Syai.g_00029	Syar.g_03262
OG0000388	Syai.g_02538	Syar.g_03148
OG0000486	Syai.g_00246	Syar.g_00024
OG0000559	Syai.g_00736	Syal.g_02305
OG0000823	Syai.g_00913	Syar.g_00017
OG0000995	Syai.g_02840	Syar.g_03212
OG0001008	Syai.g_02227	Syar.g_03274
OG0001135	Syai.g_01742	Prac.g_01959
OG0001269	Syai.g_01699	Syal.g_02116
OG0001376	Syai.g_02795	Syar.g_03203
OG0001377	Syai.g_02794	Syar.g_03202
OG0001470	Syai.g_02235	Syat.g_02257
OG0001488	Syai.g_02121	Syar.g_03222
OG0001515	Syai.g_01978	Syar.g_03266
OG0001623	Syai.g_00457	Syao.g_01889
OG0001635	Syai.g_00091	Syao.g_02182
OG0001635	Syai.g_00091	Prah.g_01421
OG0001653	Syai.g_02924	Syag.g_01462
OG0001672	Syai.g_02488, Syai.g_02489	Prah.g_01854, Prah.g_01852
OG0001752	Syai.g_02283	Syar.g_03214
OG0001771	Syai.g_01134	Syan.g_01176
OG0001771	Syai.g_01134	Syao.g_01406
OG0001771	Syai.g_01134	Syar.g_02677
OG0001771	Syai.g_01134	Syas.g_00034
OG0001771	Syai.g_01134	Syat.g_01094
OG0001790	Syai.g_02153	Syar.g_03295
OG0001812	Syai.g_02761	Syar.g_03308
OG0001880	Syai.g_01498	Syar.g_03302
OG0001882	Syai.g_01524	Syar.g_03147
OG0002024	Syai.g_02878	Syar.g_00004
OG0002213	Syai.g_02764	Syar.g_03307
OG0002407	Syai.g_01666, Syai.g_01667	Syag.g_01590
