Orthogroup	Syac	Other
OG0000013	Syac.g_02062	Syar.g_03167
OG0000033	Syac.g_00304	Praf.g_02707, Praf.g_00098, Praf.g_00117
OG0000039	Syac.g_02378	Syan.g_02771
OG0000070	Syac.g_00711	Syar.g_03150
OG0000087	Syac.g_00343	Syar.g_03192
OG0000090	Syac.g_01836	Syar.g_03271
OG0000099	Syac.g_00234	Prau.g_01491
OG0000112	Syac.g_01173	Syar.g_03195
OG0000139	Syac.g_01830	Syar.g_03245
OG0000140	Syac.g_01829	Syar.g_03246
OG0000145	Syac.g_01882	Syar.g_03205
OG0000153	Syac.g_01217	Syar.g_03283
OG0000194	Syac.g_00326	Syar.g_03236
OG0000202	Syac.g_02279	Syar.g_00021
OG0000203	Syac.g_02280	Syar.g_00020
OG0000210	Syac.g_02317	Syar.g_03260
OG0000229	Syac.g_00692	Syar.g_03273
OG0000230	Syac.g_00694	Syar.g_03275
OG0000233	Syac.g_01713	Syar.g_03183
OG0000236	Syac.g_01890	Syar.g_03311
OG0000239	Syac.g_01852	Syar.g_03277
OG0000240	Syac.g_01851	Syar.g_03278
OG0000251	Syac.g_01757	Syar.g_03207
OG0000253	Syac.g_01752	Syar.g_03229
OG0000258	Syac.g_00988	Syar.g_00010
OG0000264	Syac.g_00915	Syar.g_03267
OG0000274	Syac.g_00853	Syar.g_00009
OG0000278	Syac.g_00836	Syar.g_03174
OG0000282	Syac.g_01392	Syar.g_03255
OG0000289	Syac.g_01254	Syar.g_03305
OG0000295	Syac.g_00796	Syar.g_03208
OG0000303	Syac.g_01520	Syar.g_03136
OG0000306	Syac.g_00810	Syar.g_03140
OG0000325	Syac.g_02190	Syar.g_03291
OG0000330	Syac.g_02118	Syar.g_03190
OG0000367	Syac.g_00025	Syar.g_03262
OG0000388	Syac.g_00401	Syar.g_03148
OG0000486	Syac.g_00283	Syar.g_00024
OG0000559	Syac.g_01808	Syal.g_02305
OG0000823	Syac.g_01662	Syar.g_00017
OG0000995	Syac.g_02410	Syar.g_03212
OG0001008	Syac.g_00693	Syar.g_03274
OG0001135	Syac.g_01464	Prac.g_01959
OG0001376	Syac.g_02376	Syar.g_03203
OG0001377	Syac.g_02375	Syar.g_03202
OG0001412	Syac.g_00122	Syat.g_00584
OG0001412	Syac.g_00122	Syaa.g_01020
OG0001470	Syac.g_00683	Syat.g_02257
OG0001488	Syac.g_00791	Syar.g_03222
OG0001505	Syac.g_00105	Prav.g_01548
OG0001515	Syac.g_00914	Syar.g_03266
OG0001544	Syac.g_02383	Syar.g_00001
OG0001592	Syac.g_02342	Syar.g_03309
OG0001623	Syac.g_02036	Syao.g_01889
OG0001635	Syac.g_00137	Prah.g_01421
OG0001635	Syac.g_00137	Syao.g_02182
OG0001672	Syac.g_00437	Prah.g_01854, Prah.g_01852
OG0001728	Syac.g_00061	Syad.g_02990
OG0001752	Syac.g_00637	Syar.g_03214
OG0001787	Syac.g_01837	Syar.g_03272
OG0001790	Syac.g_00756	Syar.g_03295
OG0001812	Syac.g_02343	Syar.g_03308
OG0001880	Syac.g_01186	Syar.g_03302
OG0001882	Syac.g_01158	Syar.g_03147
OG0001892	Syac.g_00811	Syar.g_03139
OG0002024	Syac.g_02441	Syar.g_00004
OG0002192	Syac.g_00795	Syar.g_03209
OG0002213	Syac.g_02344	Syar.g_03307
OG0002400	Syac.g_01066	Syam.g_01527
