Orthogroup	Prac	Other
OG0000076	Prac.g_01904, Prac.g_00041	Syao.g_01251
OG0000092	Prac.g_00003	Prbc.g_01110, Prbc.g_00263
OG0000099	Prac.g_00256	Syai.g_00151
OG0000117	Prac.g_01955	Pral.g_01881
OG0000771	Prac.g_00448	Prau.g_01496
OG0001135	Prac.g_01959	Syar.g_02232
OG0001135	Prac.g_01959	Syao.g_01424
OG0001135	Prac.g_01959	Prbj.g_01992
OG0001135	Prac.g_01959	Prbk.g_02197
OG0001135	Prac.g_01959	Prbl.g_02202
OG0001135	Prac.g_01959	Praf.g_02692
OG0001135	Prac.g_01959	Prah.g_02526
OG0001135	Prac.g_01959	Syad.g_01529
OG0001135	Prac.g_01959	Syaj.g_00647
OG0001135	Prac.g_01959	Syac.g_01464
OG0001135	Prac.g_01959	Syah.g_01439
OG0001135	Prac.g_01959	Syae.g_00636
OG0001135	Prac.g_01959	Syaa.g_01030
OG0001135	Prac.g_01959	Syai.g_01742
OG0001135	Prac.g_01959	Syaf.g_01618
OG0001135	Prac.g_01959	Syam.g_00917
OG0001135	Prac.g_01959	Syan.g_02542, Syan.g_01150
OG0001135	Prac.g_01959	Syaq.g_02212
OG0001135	Prac.g_01959	Syak.g_00274
OG0001135	Prac.g_01959	Syab.g_01747
OG0001135	Prac.g_01959	Syal.g_02505
OG0001135	Prac.g_01959	Syag.g_00147
OG0002097	Prac.g_00274	Praf.g_00092
