Orthogroup	Syaq	Other
OG0000033	Syaq.g_01399	Praf.g_02707, Praf.g_00098, Praf.g_00117
OG0000039	Syaq.g_01241	Syan.g_02771
OG0000070	Syaq.g_00484	Syar.g_03150
OG0000099	Syaq.g_00882	Prau.g_01491
OG0000112	Syaq.g_02476	Syar.g_03195
OG0000183	Syaq.g_01122	Prat.g_01314
OG0000264	Syaq.g_02582	Syar.g_03267
OG0000274	Syaq.g_02377	Syar.g_00009
OG0000314	Syaq.g_00408	Syad.g_02231
OG0001135	Syaq.g_02212	Prac.g_01959
OG0001413	Syaq.g_02051	Syaf.g_02344
OG0001470	Syaq.g_00903	Syat.g_02257
OG0001478	Syaq.g_00457	Syas.g_01345
OG0001505	Syaq.g_00934	Prav.g_01548
OG0001544	Syaq.g_01235	Syar.g_00001
OG0001671	Syaq.g_01316	Syar.g_03173
OG0001671	Syaq.g_01316	Syan.g_03115
OG0001809	Syaq.g_01562	Syat.g_00435
OG0001809	Syaq.g_01562	Syar.g_02274
OG0001809	Syaq.g_01562	Syas.g_00959
OG0001809	Syaq.g_01562	Syao.g_02614
OG0001809	Syaq.g_01562	Syap.g_01685
OG0001809	Syaq.g_01562	Syaf.g_00967
OG0001809	Syaq.g_01562	Syan.g_02903
OG0002139	Syaq.g_00145	Syaj.g_00408
OG0002243	Syaq.g_01339	Syat.g_02803
OG0002243	Syaq.g_01339	Syao.g_02421
OG0002243	Syaq.g_01339	Syar.g_03030
OG0002243	Syaq.g_01339	Syan.g_03098
OG0002431	Syaq.g_01831	Praf.g_00276
OG0002445	Syaq.g_00021	Prbi.g_01879
