Orthogroup	Syap	Other
OG0000033	Syap.g_01198	Praf.g_02707, Praf.g_00098, Praf.g_00117
OG0000099	Syap.g_01385	Prau.g_01491
OG0000183	Syap.g_00084	Prat.g_01314
OG0000291	Syap.g_01554	Syak.g_00734
OG0000314	Syap.g_00007	Syad.g_02231
OG0001349	Syap.g_01264, Syap.g_00851	Syae.g_01228
OG0001470	Syap.g_00709	Syaj.g_02342
OG0001635	Syap.g_01127	Prah.g_01421
OG0001672	Syap.g_02553, Syap.g_02554	Prah.g_01854, Prah.g_01852
OG0001675	Syap.g_02698	Syag.g_01692
OG0001754	Syap.g_01949, Syap.g_01948	Syaf.g_00677
OG0001799	Syap.g_00638	Syal.g_02336
OG0001809	Syap.g_01685	Syaq.g_01562
OG0001998	Syap.g_00748	Syak.g_02034
OG0002431	Syap.g_02126	Praf.g_00276
