Orthogroup	Praa	Other
OG0000001	Praa.g_01220, Praa.g_01222	Prab.g_01279, Prab.g_01281
OG0000033	Praa.g_01437	Syaa.g_00485
OG0000033	Praa.g_01437	Praf.g_02707, Praf.g_00098, Praf.g_00117
OG0000033	Praa.g_01437	Syah.g_00211
OG0000033	Praa.g_01437	Syag.g_02481
OG0000033	Praa.g_01437	Syad.g_00289
OG0000076	Praa.g_01832	Syao.g_01251
OG0000099	Praa.g_01394	Syai.g_00151
OG0000117	Praa.g_01255	Pral.g_01881
OG0001264	Praa.g_01221	Pras.g_00119
OG0001264	Praa.g_01221	Prau.g_01268
OG0001264	Praa.g_01221	Prad.g_01995
OG0001264	Praa.g_01221	Prax.g_01976
OG0001264	Praa.g_01221	Prab.g_01280
OG0001264	Praa.g_01221	Pran.g_01952
OG0001470	Praa.g_01404	Syaj.g_02342
