Orthogroup	Syat	Other
OG0000033	Syat.g_02858	Praf.g_02707, Praf.g_00098, Praf.g_00117
OG0000092	Syat.g_00825	Prbc.g_01110, Prbc.g_00263
OG0000099	Syat.g_02130	Prau.g_01491
OG0000110	Syat.g_00049	Syai.g_00878
OG0000183	Syat.g_02315	Prat.g_01314
OG0000291	Syat.g_00807	Syak.g_00734
OG0001283	Syat.g_02403	Syaf.g_02414
OG0001412	Syat.g_00584	Syac.g_00122
OG0001412	Syat.g_00584	Syad.g_00307
OG0001412	Syat.g_00584	Prav.g_00298
OG0001412	Syat.g_00584	Syak.g_01621
OG0001412	Syat.g_00584	Syaa.g_01020
OG0001412	Syat.g_00584	Syaa.g_01020
OG0001412	Syat.g_00584	Praf.g_00131
OG0001412	Syat.g_00584	Prbm.g_02117
OG0001412	Syat.g_00584	Praj.g_02038
OG0001412	Syat.g_00584	Prbb.g_02086
OG0001412	Syat.g_00584	Syao.g_02122
OG0001412	Syat.g_00584	Syaf.g_02482
OG0001413	Syat.g_02775	Syaf.g_02344
OG0001470	Syat.g_02257	Syaq.g_00903
OG0001470	Syat.g_02257	Syae.g_01006
OG0001470	Syat.g_02257	Syad.g_02462
OG0001470	Syat.g_02257	Syaj.g_01567
OG0001470	Syat.g_02257	Syaa.g_00693
OG0001470	Syat.g_02257	Syak.g_01592
OG0001470	Syat.g_02257	Syac.g_00683
OG0001470	Syat.g_02257	Syah.g_02242
OG0001470	Syat.g_02257	Syag.g_02420
OG0001470	Syat.g_02257	Syaf.g_01206
OG0001470	Syat.g_02257	Syai.g_02235
OG0001470	Syat.g_02257	Syam.g_01874
OG0001470	Syat.g_02252	Syaj.g_02342
OG0001635	Syat.g_02229, Syat.g_01993	Prah.g_01421
OG0001672	Syat.g_01483	Prah.g_01854, Prah.g_01852
OG0001675	Syat.g_00525	Syag.g_01692
OG0001754	Syat.g_02790	Syaf.g_00677
OG0001771	Syat.g_01094	Syai.g_01134
OG0001799	Syat.g_00376	Syal.g_02336
OG0001809	Syat.g_00435	Syaq.g_01562
OG0002243	Syat.g_02803	Syaq.g_01339
OG0002431	Syat.g_01101	Praf.g_00276
