Orthogroup	Syas	Other
OG0000033	Syas.g_02328	Praf.g_02707, Praf.g_00098, Praf.g_00117
OG0000092	Syas.g_00900, Syas.g_00877	Prbc.g_01110, Prbc.g_00263
OG0000099	Syas.g_01826	Prau.g_01491
OG0000110	Syas.g_00359	Syai.g_00878
OG0000183	Syas.g_02061	Prat.g_01314
OG0000291	Syas.g_01018	Syak.g_00734
OG0000314	Syas.g_01296	Syad.g_02231
OG0000323	Syas.g_00159	Pral.g_00134
OG0000323	Syas.g_00159	Prat.g_01618
OG0000323	Syas.g_00159	Prak.g_01672
OG0000323	Syas.g_00159	Prap.g_01751
OG0000323	Syas.g_00159	Prbe.g_00958
OG0000323	Syas.g_00159	Prbf.g_00666
OG0000323	Syas.g_00159	Prbg.g_01677
OG0000323	Syas.g_00159	Prbn.g_01773
OG0000323	Syas.g_00159	Pram.g_01659
OG0000323	Syas.g_00159	Prbh.g_01755
OG0001399	Syas.g_02459	Prar.g_01071
OG0001399	Syas.g_02459	Prbi.g_01884
OG0001470	Syas.g_02627	Syaj.g_02342
OG0001478	Syas.g_01345	Syag.g_01337
OG0001478	Syas.g_01345	Syaf.g_02516
OG0001478	Syas.g_01345	Syal.g_00481
OG0001478	Syas.g_01345	Syae.g_02512
OG0001478	Syas.g_01345	Syad.g_02371
OG0001478	Syas.g_01345	Syaj.g_01470
OG0001478	Syas.g_01345	Syaq.g_00457
OG0001478	Syas.g_01345	Syab.g_00661
OG0001478	Syas.g_01345	Syak.g_01139
OG0001635	Syas.g_02140	Prah.g_01421
OG0001672	Syas.g_02508	Prah.g_01854, Prah.g_01852
OG0001675	Syas.g_00558	Syag.g_01692
OG0001754	Syas.g_02545, Syas.g_02244	Syaf.g_00677
OG0001771	Syas.g_00034	Syai.g_01134
OG0001799	Syas.g_00726	Syal.g_02336
OG0001809	Syas.g_00959	Syaq.g_01562
OG0002431	Syas.g_02815	Praf.g_00276
