Orthogroup	Syal	Other
OG0000013	Syal.g_00310	Syar.g_03167
OG0000033	Syal.g_00912	Praf.g_02707, Praf.g_00098, Praf.g_00117
OG0000039	Syal.g_01097	Syan.g_02771
OG0000070	Syal.g_00509	Syar.g_03150
OG0000077	Syal.g_00506	Syan.g_02579
OG0000092	Syal.g_00470	Prbc.g_01110, Prbc.g_00263
OG0000099	Syal.g_01323	Prau.g_01491
OG0000194	Syal.g_00890	Syar.g_03236
OG0000233	Syal.g_00487	Syar.g_03183
OG0000251	Syal.g_02760	Syar.g_03207
OG0000264	Syal.g_01788	Syar.g_03267
OG0000289	Syal.g_01904	Syar.g_03305
OG0000559	Syal.g_02305	Syad.g_01016
OG0000559	Syal.g_02305	Syaj.g_00185
OG0000559	Syal.g_02305	Syaa.g_01949
OG0000559	Syal.g_02305	Syaf.g_02622
OG0000559	Syal.g_02305	Syai.g_00736
OG0000559	Syal.g_02305	Syam.g_00679
OG0000559	Syal.g_02305	Syac.g_01808
OG0000559	Syal.g_02305	Syah.g_01093
OG0000559	Syal.g_02305	Syae.g_02404
OG0001135	Syal.g_02505	Prac.g_01959
OG0001269	Syal.g_02116	Syaa.g_01499
OG0001269	Syal.g_02116	Syae.g_00225
OG0001269	Syal.g_02116	Syak.g_02323
OG0001269	Syal.g_02116	Syaf.g_01653
OG0001269	Syal.g_02116	Syai.g_01699
OG0001269	Syal.g_02116	Syam.g_00956
OG0001349	Syal.g_01426	Syae.g_01228
OG0001399	Syal.g_00434	Prar.g_01071
OG0001399	Syal.g_00434	Prbi.g_01884
OG0001478	Syal.g_00481	Syas.g_01345
OG0001544	Syal.g_01102	Syar.g_00001
OG0001623	Syal.g_00331	Syao.g_01889
OG0001635	Syal.g_01517	Prah.g_01421
OG0001671	Syal.g_00993	Syan.g_03115
OG0001671	Syal.g_00993	Syar.g_03173
OG0001672	Syal.g_00765	Prah.g_01854, Prah.g_01852
OG0001799	Syal.g_02336	Syan.g_00797
OG0001799	Syal.g_02336	Syao.g_00913
OG0001799	Syal.g_02336	Syar.g_02434
OG0001799	Syal.g_02336	Syap.g_00638
OG0001799	Syal.g_02336	Syas.g_00726
OG0001799	Syal.g_02336	Syat.g_00376
OG0002139	Syal.g_01755	Syaj.g_00408
OG0002407	Syal.g_01680	Syag.g_01590
