Orthogroup	Prbn	Other
OG0000033	Prbn.g_00178	Syaa.g_00485
OG0000033	Prbn.g_00178	Praf.g_02707, Praf.g_00098, Praf.g_00117
OG0000033	Prbn.g_00178	Syah.g_00211
OG0000033	Prbn.g_00178	Syag.g_02481
OG0000033	Prbn.g_00178	Syad.g_00289
OG0000099	Prbn.g_00173	Syai.g_00151
OG0000120	Prbn.g_00170	Pras.g_00330
OG0000138	Prbn.g_00619	Syaj.g_02631
OG0000148	Prbn.g_01529	Syab.g_01683
OG0000148	Prbn.g_01529	Syaj.g_01002
OG0000217	Prbn.g_00065	Prar.g_01154
OG0000323	Prbn.g_01773	Syas.g_00159
OG0000390	Prbn.g_01304	Prad.g_00011
OG0000771	Prbn.g_00886	Prau.g_01496
