Orthogroup	Prap	Other
OG0000033	Prap.g_00087	Syaa.g_00485
OG0000033	Prap.g_00087	Praf.g_02707, Praf.g_00098, Praf.g_00117
OG0000033	Prap.g_00087	Syah.g_00211
OG0000033	Prap.g_00087	Syag.g_02481
OG0000033	Prap.g_00087	Syad.g_00289
OG0000099	Prap.g_00082	Syai.g_00151
OG0000120	Prap.g_00079	Pras.g_00330
OG0000138	Prap.g_01272	Syaj.g_02631
OG0000148	Prap.g_00766	Syab.g_01683
OG0000148	Prap.g_00766	Syaj.g_01002
OG0000217	Prap.g_01412	Prar.g_01154
OG0000323	Prap.g_01751	Syas.g_00159
OG0000390	Prap.g_01061	Prad.g_00011
OG0000771	Prap.g_00217	Prau.g_01496
