Orthogroup	Pras	Syag
OG0000001	Pras.g_00235	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520
OG0000004	Pras.g_01571	Syag.g_00988
OG0000004	Pras.g_01084	Syag.g_00370, Syag.g_01790
OG0000005	Pras.g_00563	Syag.g_01708
OG0000005	Pras.g_00429	Syag.g_01667
OG0000006	Pras.g_00148, Pras.g_01093	Syag.g_00435, Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Pras.g_01375	Syag.g_01507
OG0000007	Pras.g_00550	Syag.g_01687
OG0000009	Pras.g_00157, Pras.g_00463	Syag.g_00220, Syag.g_00231
OG0000009	Pras.g_00956	Syag.g_01883
OG0000010	Pras.g_00523, Pras.g_01942	Syag.g_01355
OG0000011	Pras.g_00142, Pras.g_00166	Syag.g_01299
OG0000012	Pras.g_01499	Syag.g_00377, Syag.g_00995, Syag.g_00686, Syag.g_01105
OG0000013	Pras.g_01179	Syag.g_02811, Syag.g_02820, Syag.g_02806
OG0000014	Pras.g_01158	Syag.g_02559
OG0000015	Pras.g_00127	Syag.g_02252, Syag.g_00596
OG0000016	Pras.g_00855	Syag.g_02286
OG0000017	Pras.g_01474	Syag.g_00336, Syag.g_00344
OG0000018	Pras.g_00037	Syag.g_01387
OG0000019	Pras.g_01101, Pras.g_01681	Syag.g_02663
OG0000020	Pras.g_00001, Pras.g_00530	Syag.g_00085
OG0000021	Pras.g_00507, Pras.g_01218	Syag.g_00229
OG0000022	Pras.g_00019	Syag.g_00458
OG0000023	Pras.g_01213	Syag.g_00261, Syag.g_00234
OG0000024	Pras.g_01645, Pras.g_01551	Syag.g_00455
OG0000025	Pras.g_01183, Pras.g_01735	Syag.g_00718
OG0000026	Pras.g_00873, Pras.g_01949	Syag.g_02309
OG0000027	Pras.g_01348, Pras.g_00185	Syag.g_00950, Syag.g_00165
OG0000028	Pras.g_00169, Pras.g_01172	Syag.g_02540
OG0000029	Pras.g_01653, Pras.g_01228	Syag.g_00195
OG0000030	Pras.g_00753	Syag.g_02375, Syag.g_02374
OG0000031	Pras.g_00331	Syag.g_02486
OG0000032	Pras.g_00326	Syag.g_02480
OG0000034	Pras.g_00219	Syag.g_01225, Syag.g_01947
OG0000035	Pras.g_00350	Syag.g_01420, Syag.g_01421
OG0000037	Pras.g_00960	Syag.g_00173
OG0000038	Pras.g_00795	Syag.g_02130, Syag.g_02132
OG0000039	Pras.g_01562	Syag.g_01325, Syag.g_02155
OG0000040	Pras.g_00036	Syag.g_02215
OG0000041	Pras.g_00597	Syag.g_01750, Syag.g_00962
OG0000042	Pras.g_00750	Syag.g_01094, Syag.g_02378
OG0000043	Pras.g_00153	Syag.g_00564
OG0000045	Pras.g_01224	Syag.g_00223
OG0000045	Pras.g_00509	Syag.g_00225
OG0000047	Pras.g_01182, Pras.g_01263	Syag.g_00768
OG0000048	Pras.g_01227	Syag.g_02611
OG0000051	Pras.g_00179	Syag.g_01026
OG0000052	Pras.g_00285	Syag.g_02491
OG0000053	Pras.g_00886, Pras.g_00370	Syag.g_01391
OG0000054	Pras.g_01482	Syag.g_00350
OG0000055	Pras.g_01682	Syag.g_01799, Syag.g_00946
OG0000057	Pras.g_01574	Syag.g_00985
OG0000059	Pras.g_00637	Syag.g_02721
OG0000061	Pras.g_00056	Syag.g_01141
OG0000062	Pras.g_00431	Syag.g_01669
OG0000063	Pras.g_00875	Syag.g_02313
OG0000065	Pras.g_00958	Syag.g_01885, Syag.g_00182
OG0000066	Pras.g_01416	Syag.g_01443
OG0000067	Pras.g_01701, Pras.g_00311	Syag.g_00667
OG0000068	Pras.g_00250	Syag.g_01537
OG0000070	Pras.g_01328	Syag.g_00049
OG0000071	Pras.g_00209	Syag.g_01192
OG0000072	Pras.g_01022	Syag.g_01980, Syag.g_02859
OG0000073	Pras.g_01377	Syag.g_01505
OG0000075	Pras.g_00719	Syag.g_02434
OG0000076	Pras.g_00883, Pras.g_00743	Syag.g_02393
OG0000077	Pras.g_00929	Syag.g_01831
OG0000078	Pras.g_01091	Syag.g_01778
OG0000079	Pras.g_01104	Syag.g_02659, Syag.g_02652
OG0000081	Pras.g_01408	Syag.g_00167
OG0000082	Pras.g_01462	Syag.g_00318
OG0000084	Pras.g_00346	Syag.g_00212, Syag.g_01425
OG0000085	Pras.g_00543	Syag.g_01676
OG0000086	Pras.g_00939	Syag.g_01853
OG0000087	Pras.g_00990	Syag.g_01939
OG0000088	Pras.g_01017	Syag.g_01974
OG0000089	Pras.g_01209	Syag.g_00005
OG0000090	Pras.g_01410	Syag.g_01454
OG0000091	Pras.g_01518	Syag.g_00418
OG0000093	Pras.g_01827	Syag.g_00649
OG0000094	Pras.g_01915	Syag.g_00881
OG0000095	Pras.g_01934	Syag.g_00974
OG0000097	Pras.g_00098	Syag.g_01065
OG0000098	Pras.g_00232	Syag.g_00578, Syag.g_01445
OG0000099	Pras.g_00294	Syag.g_02536
OG0000100	Pras.g_00427	Syag.g_00704
OG0000101	Pras.g_00687	Syag.g_02773
OG0000102	Pras.g_00748	Syag.g_02387
OG0000103	Pras.g_00829	Syag.g_02253
OG0000104	Pras.g_00838	Syag.g_02268
OG0000105	Pras.g_01126	Syag.g_02606
OG0000106	Pras.g_01223	Syag.g_00462
OG0000107	Pras.g_01239	Syag.g_02689
OG0000108	Pras.g_01358	Syag.g_01528
OG0000109	Pras.g_01372	Syag.g_01512
OG0000110	Pras.g_01451	Syag.g_00303
OG0000111	Pras.g_01575	Syag.g_00984
OG0000112	Pras.g_01665	Syag.g_00801
OG0000113	Pras.g_01723	Syag.g_00699
OG0000114	Pras.g_01801	Syag.g_00609
OG0000115	Pras.g_01994	Syag.g_01397
OG0000116	Pras.g_00046	Syag.g_01156
OG0000117	Pras.g_00150	Syag.g_01097
OG0000118	Pras.g_00221, Pras.g_00222	Syag.g_01232
OG0000120	Pras.g_00273, Pras.g_00272, Pras.g_00271, Pras.g_00330	Syag.g_02535
OG0000121	Pras.g_00352	Syag.g_01414
OG0000122	Pras.g_00391	Syag.g_00446
OG0000123	Pras.g_00694	Syag.g_02781
OG0000124	Pras.g_00759	Syag.g_02367, Syag.g_02485
OG0000125	Pras.g_00797	Syag.g_02136, Syag.g_02134
OG0000126	Pras.g_00837	Syag.g_02266
OG0000128	Pras.g_00853	Syag.g_02284
OG0000129	Pras.g_00897	Syag.g_02121
OG0000130	Pras.g_00921	Syag.g_01819
OG0000131	Pras.g_00996	Syag.g_01951
OG0000132	Pras.g_01015	Syag.g_01972
OG0000133	Pras.g_01174	Syag.g_00806
OG0000134	Pras.g_01210	Syag.g_00008
OG0000135	Pras.g_01236	Syag.g_02171
OG0000136	Pras.g_01319	Syag.g_00038
OG0000137	Pras.g_01353	Syag.g_01356
OG0000138	Pras.g_01373	Syag.g_01511
OG0000139	Pras.g_01414	Syag.g_01448
OG0000140	Pras.g_01415	Syag.g_01446
OG0000141	Pras.g_01483	Syag.g_00351
OG0000142	Pras.g_01511	Syag.g_00410
OG0000143	Pras.g_01515	Syag.g_00414
OG0000144	Pras.g_01528	Syag.g_00493
OG0000145	Pras.g_01664	Syag.g_01504
OG0000146	Pras.g_01666	Syag.g_00800
OG0000147	Pras.g_01667	Syag.g_00799
OG0000148	Pras.g_01717	Syag.g_00693
OG0000149	Pras.g_01747	Syag.g_00731
OG0000150	Pras.g_01755	Syag.g_00352
OG0000151	Pras.g_01811	Syag.g_00623
OG0000152	Pras.g_01859	Syag.g_00810
OG0000153	Pras.g_01878	Syag.g_00845
OG0000154	Pras.g_01908	Syag.g_00870
OG0000155	Pras.g_00076	Syag.g_01107
OG0000156	Pras.g_00197	Syag.g_01166
OG0000157	Pras.g_00198	Syag.g_01167
OG0000158	Pras.g_00289	Syag.g_02422
OG0000160	Pras.g_00351	Syag.g_01415
OG0000161	Pras.g_00357	Syag.g_01409
OG0000162	Pras.g_00363	Syag.g_01402
OG0000163	Pras.g_00399	Syag.g_00706, Syag.g_01618
OG0000164	Pras.g_00574	Syag.g_01725
OG0000165	Pras.g_00581	Syag.g_01733
OG0000166	Pras.g_00651	Syag.g_02733
OG0000167	Pras.g_00717	Syag.g_02437
OG0000168	Pras.g_00727	Syag.g_02417
OG0000169	Pras.g_00737	Syag.g_02405
OG0000170	Pras.g_00739	Syag.g_02398
OG0000171	Pras.g_00758	Syag.g_02368
OG0000172	Pras.g_00768	Syag.g_02360
OG0000173	Pras.g_00783	Syag.g_02337
OG0000174	Pras.g_00811, Pras.g_00810	Syag.g_02175
OG0000175	Pras.g_00821	Syag.g_02240
OG0000176	Pras.g_00846	Syag.g_02276
OG0000177	Pras.g_00847	Syag.g_02277
OG0000178	Pras.g_00848	Syag.g_02278
OG0000179	Pras.g_00858	Syag.g_02293
OG0000180	Pras.g_00859	Syag.g_02294
OG0000181	Pras.g_00860	Syag.g_02295
OG0000182	Pras.g_00861	Syag.g_02296
OG0000183	Pras.g_00865	Syag.g_02300
OG0000184	Pras.g_00899	Syag.g_02110
OG0000185	Pras.g_00902	Syag.g_02092
OG0000186	Pras.g_00916	Syag.g_01815
OG0000187	Pras.g_00917	Syag.g_01816
OG0000188	Pras.g_00933	Syag.g_01839
OG0000189	Pras.g_00947	Syag.g_01872
OG0000190	Pras.g_00948	Syag.g_01874
OG0000191	Pras.g_00968	Syag.g_01909
OG0000192	Pras.g_00972	Syag.g_01915
OG0000193	Pras.g_00997	Syag.g_01952
OG0000194	Pras.g_01000	Syag.g_01955
OG0000195	Pras.g_01002	Syag.g_01957
OG0000196	Pras.g_01012	Syag.g_01968
OG0000197	Pras.g_01013	Syag.g_01969
OG0000198	Pras.g_01014	Syag.g_00108, Syag.g_01971
OG0000199	Pras.g_01021	Syag.g_01979
OG0000200	Pras.g_01035	Syag.g_01996
OG0000201	Pras.g_01043	Syag.g_02019, Syag.g_02023
OG0000202	Pras.g_01044	Syag.g_02024
OG0000203	Pras.g_01045	Syag.g_02025
OG0000204	Pras.g_01046	Syag.g_02020, Syag.g_02026
OG0000205	Pras.g_01053	Syag.g_02035
OG0000206	Pras.g_01058, Pras.g_01059	Syag.g_02047
OG0000207	Pras.g_01061	Syag.g_02051
OG0000208	Pras.g_01062	Syag.g_02052
OG0000209	Pras.g_01071	Syag.g_02069
OG0000210	Pras.g_01072	Syag.g_02070
OG0000211	Pras.g_01085	Syag.g_01788
OG0000212	Pras.g_01092	Syag.g_01777
OG0000213	Pras.g_01109	Syag.g_02632
OG0000214	Pras.g_01119	Syag.g_02615
OG0000215	Pras.g_01144	Syag.g_02584
OG0000216	Pras.g_01145	Syag.g_02580
OG0000217	Pras.g_01148	Syag.g_02576
OG0000218	Pras.g_01150	Syag.g_02574
OG0000219	Pras.g_01151	Syag.g_02573
OG0000220	Pras.g_01152	Syag.g_02572
OG0000221	Pras.g_01153	Syag.g_02566
OG0000222	Pras.g_01162	Syag.g_02550
OG0000223	Pras.g_01175	Syag.g_02475
OG0000224	Pras.g_01177	Syag.g_02471
OG0000225	Pras.g_01199	Syag.g_02861
OG0000226	Pras.g_01203	Syag.g_02865
OG0000227	Pras.g_01205	Syag.g_02867
OG0000228	Pras.g_01208	Syag.g_00004
OG0000229	Pras.g_01314	Syag.g_00033
OG0000230	Pras.g_01316	Syag.g_00035
OG0000231	Pras.g_01327	Syag.g_00048
OG0000232	Pras.g_01335	Syag.g_00059
OG0000233	Pras.g_01341	Syag.g_01330
OG0000234	Pras.g_01354	Syag.g_01358
OG0000235	Pras.g_01357	Syag.g_01529
OG0000236	Pras.g_01371	Syag.g_01513
OG0000237	Pras.g_01384	Syag.g_01495
OG0000238	Pras.g_01390	Syag.g_01490
OG0000239	Pras.g_01402	Syag.g_01472
OG0000240	Pras.g_01403	Syag.g_01471
OG0000241	Pras.g_01407	Syag.g_00396
OG0000242	Pras.g_01409	Syag.g_01456
OG0000243	Pras.g_01420	Syag.g_00255
OG0000244	Pras.g_01423	Syag.g_00268
OG0000245	Pras.g_01425	Syag.g_00270
OG0000246	Pras.g_01429	Syag.g_00274
OG0000247	Pras.g_01439	Syag.g_00286
OG0000248	Pras.g_01441	Syag.g_00289
OG0000249	Pras.g_01443	Syag.g_00291
OG0000250	Pras.g_01448	Syag.g_00299
OG0000251	Pras.g_01467	Syag.g_00328
OG0000252	Pras.g_01470	Syag.g_00331
OG0000253	Pras.g_01471	Syag.g_00333
OG0000254	Pras.g_01487	Syag.g_00356
OG0000255	Pras.g_01493	Syag.g_00369
OG0000256	Pras.g_01503	Syag.g_00385
OG0000257	Pras.g_01506	Syag.g_00395
OG0000258	Pras.g_01519	Syag.g_00423
OG0000259	Pras.g_01536	Syag.g_00560
OG0000260	Pras.g_01539	Syag.g_00570
OG0000261	Pras.g_01541	Syag.g_00581
OG0000262	Pras.g_00327, Pras.g_01545	Syag.g_00586
OG0000263	Pras.g_01557	Syag.g_01079
OG0000264	Pras.g_01567	Syag.g_01011
OG0000265	Pras.g_01606	Syag.g_01021
OG0000266	Pras.g_01616	Syag.g_00907
OG0000267	Pras.g_01627	Syag.g_00762
OG0000268	Pras.g_01628	Syag.g_00763
OG0000269	Pras.g_01696	Syag.g_00662
OG0000270	Pras.g_01699	Syag.g_00665
OG0000271	Pras.g_01707	Syag.g_00673
OG0000273	Pras.g_01731	Syag.g_00713
OG0000274	Pras.g_01732	Syag.g_00714
OG0000275	Pras.g_01734	Syag.g_00717
OG0000276	Pras.g_01739	Syag.g_00723
OG0000277	Pras.g_01740	Syag.g_00724
OG0000278	Pras.g_01743	Syag.g_00727
OG0000279	Pras.g_01750	Syag.g_00735
OG0000280	Pras.g_01751	Syag.g_00741
OG0000281	Pras.g_01756	Syag.g_00572
OG0000282	Pras.g_01803	Syag.g_00611
OG0000283	Pras.g_01836	Syag.g_00775
OG0000284	Pras.g_01841	Syag.g_00780
OG0000285	Pras.g_01846	Syag.g_00791
OG0000286	Pras.g_01858	Syag.g_00809
OG0000287	Pras.g_01875	Syag.g_00838
OG0000288	Pras.g_01907	Syag.g_00869
OG0000289	Pras.g_01918	Syag.g_00884
OG0000290	Pras.g_01931	Syag.g_00970
OG0000291	Pras.g_01933	Syag.g_00972
OG0000292	Pras.g_01982	Syag.g_02265
OG0000293	Pras.g_00047	Syag.g_01155
OG0000294	Pras.g_00048	Syag.g_01154
OG0000295	Pras.g_00068	Syag.g_01115
OG0000296	Pras.g_00070	Syag.g_01113
OG0000297	Pras.g_00078	Syag.g_01099
OG0000298	Pras.g_00079	Syag.g_01098
OG0000299	Pras.g_00096, Pras.g_00097	Syag.g_01067
OG0000300	Pras.g_00100	Syag.g_01062
OG0000301	Pras.g_00101	Syag.g_01061
OG0000302	Pras.g_00103	Syag.g_01060
OG0000303	Pras.g_00110	Syag.g_01048
OG0000304	Pras.g_00114	Syag.g_01041
OG0000305	Pras.g_00242	Syag.g_00977
OG0000306	Pras.g_00245	Syag.g_00460
OG0000307	Pras.g_00259	Syag.g_01546
OG0000308	Pras.g_00260	Syag.g_01548
OG0000309	Pras.g_00264	Syag.g_01553
OG0000310	Pras.g_00335	Syag.g_01291
OG0000311	Pras.g_00337	Syag.g_01300
OG0000312	Pras.g_00340	Syag.g_01434
OG0000313	Pras.g_00354	Syag.g_00966, Syag.g_01412
OG0000314	Pras.g_00377	Syag.g_01380
OG0000315	Pras.g_00388	Syag.g_01369
OG0000316	Pras.g_00410	Syag.g_01641
OG0000317	Pras.g_00548	Syag.g_01684
OG0000318	Pras.g_00551	Syag.g_01688
OG0000319	Pras.g_00564	Syag.g_01710
OG0000320	Pras.g_00566	Syag.g_01712
OG0000321	Pras.g_00567	Syag.g_01713
