Orthogroup	Pras	Praj
OG0000000	Pras.g_00184	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308
OG0000000	Pras.g_00493	Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01730
OG0000000	Pras.g_00470	Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202
OG0000000	Pras.g_00117, Pras.g_00469	Praj.g_00087
OG0000001	Pras.g_00235	Praj.g_01549
OG0000001	Pras.g_00118, Pras.g_00120	Praj.g_01112
OG0000002	Pras.g_00243	Praj.g_00832
OG0000002	Pras.g_01554	Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492, Praj.g_00670
OG0000004	Pras.g_01571	Praj.g_01396
OG0000004	Pras.g_01084	Praj.g_00271
OG0000005	Pras.g_00563	Praj.g_01349
OG0000005	Pras.g_00429	Praj.g_01712
OG0000006	Pras.g_00148, Pras.g_01093	Praj.g_00282, Praj.g_01281, Praj.g_01505
OG0000007	Pras.g_01375	Praj.g_00489
OG0000007	Pras.g_00550	Praj.g_01768
OG0000010	Pras.g_01352	Praj.g_00466
OG0000010	Pras.g_00523, Pras.g_01942	Praj.g_01026
OG0000011	Pras.g_00176, Pras.g_01289	Praj.g_01187
OG0000011	Pras.g_00142, Pras.g_00166	Praj.g_01158
OG0000012	Pras.g_01499	Praj.g_01066
OG0000013	Pras.g_01179	Praj.g_00362
OG0000014	Pras.g_01158	Praj.g_00341
OG0000015	Pras.g_00127	Praj.g_01113
OG0000016	Pras.g_00855	Praj.g_00013
OG0000017	Pras.g_01474	Praj.g_00585, Praj.g_00592
OG0000018	Pras.g_01728	Praj.g_00798
OG0000018	Pras.g_00037	Praj.g_01482
OG0000019	Pras.g_01681	Praj.g_00747
OG0000020	Pras.g_00530	Praj.g_01139
OG0000021	Pras.g_00507, Pras.g_01218	Praj.g_01859, Praj.g_00084
OG0000022	Pras.g_00019	Praj.g_01216
OG0000022	Pras.g_01662	Praj.g_01189
OG0000023	Pras.g_01213	Praj.g_01365, Praj.g_01329
OG0000024	Pras.g_01645	Praj.g_01134
OG0000024	Pras.g_01551	Praj.g_00666
OG0000025	Pras.g_01183	Praj.g_00805
OG0000026	Pras.g_00873, Pras.g_01949	Praj.g_00031
OG0000027	Pras.g_01348, Pras.g_00185	Praj.g_01331
OG0000028	Pras.g_00169	Praj.g_01571
OG0000029	Pras.g_01653	Praj.g_01745
OG0000030	Pras.g_00753	Praj.g_02024
OG0000031	Pras.g_00331	Praj.g_00371
OG0000033	Pras.g_01020	Praj.g_00209
OG0000034	Pras.g_00219	Praj.g_01538
OG0000035	Pras.g_00350	Praj.g_01632
OG0000037	Pras.g_00960	Praj.g_00147
OG0000038	Pras.g_00795	Praj.g_02089
OG0000039	Pras.g_01562	Praj.g_00679
OG0000040	Pras.g_00489	Praj.g_01735
OG0000041	Pras.g_00597	Praj.g_01813
OG0000042	Pras.g_00750	Praj.g_02020
OG0000043	Pras.g_00153	Praj.g_01157
OG0000045	Pras.g_00509	Praj.g_01303
OG0000047	Pras.g_01182	Praj.g_00370
OG0000047	Pras.g_01263	Praj.g_00408
OG0000048	Pras.g_01227	Praj.g_00308
OG0000050	Pras.g_01969	Praj.g_00099
OG0000051	Pras.g_00508	Praj.g_01347
OG0000053	Pras.g_00886, Pras.g_00370	Praj.g_01651
OG0000054	Pras.g_01482	Praj.g_00594
OG0000055	Pras.g_01682	Praj.g_00733, Praj.g_01842
OG0000057	Pras.g_01574	Praj.g_01313, Praj.g_00691
OG0000059	Pras.g_00637	Praj.g_01892
OG0000061	Pras.g_00056	Praj.g_01461
OG0000062	Pras.g_00431	Praj.g_01714
OG0000063	Pras.g_00875	Praj.g_01867
OG0000065	Pras.g_00958	Praj.g_00145
OG0000066	Pras.g_01416	Praj.g_00530
OG0000067	Pras.g_01701, Pras.g_00311	Praj.g_00769
OG0000068	Pras.g_00250	Praj.g_01575
OG0000069	Pras.g_00538, Pras.g_00464	Praj.g_01276, Praj.g_01675
OG0000070	Pras.g_01328	Praj.g_00444
OG0000071	Pras.g_00209	Praj.g_01528
OG0000072	Pras.g_01022	Praj.g_00211
OG0000073	Pras.g_01377	Praj.g_00491
OG0000074	Pras.g_01558	Praj.g_00674, Praj.g_00870, Praj.g_01060
OG0000075	Pras.g_00719	Praj.g_01987
OG0000076	Pras.g_00883, Pras.g_00743	Praj.g_02012
OG0000077	Pras.g_00929	Praj.g_00116
