Orthogroup	Pras	Prag
OG0000000	Pras.g_00184	Prag.g_01647, Prag.g_00719, Prag.g_01335
OG0000000	Pras.g_00470	Prag.g_01608
OG0000000	Pras.g_00117	Prag.g_01213
OG0000000	Pras.g_00469	Prag.g_01213
OG0000000	Pras.g_00117	Prag.g_01607
OG0000000	Pras.g_00469	Prag.g_01607
OG0000000	Pras.g_00117	Prag.g_01650
OG0000000	Pras.g_00469	Prag.g_01650
OG0000000	Pras.g_00182	Prag.g_01333
OG0000000	Pras.g_00471	Prag.g_01649, Prag.g_01610
OG0000001	Pras.g_00235	Prag.g_01374
OG0000001	Pras.g_00118, Pras.g_00120	Prag.g_00764, Prag.g_01216, Prag.g_01215
OG0000001	Pras.g_00541	Prag.g_01651
OG0000002	Pras.g_00243	Prag.g_01382
OG0000002	Pras.g_01554	Prag.g_00656
OG0000004	Pras.g_01571	Prag.g_00673
OG0000004	Pras.g_01084	Prag.g_00225
OG0000005	Pras.g_00563	Prag.g_01682
OG0000005	Pras.g_00429	Prag.g_01566
OG0000006	Pras.g_00148, Pras.g_01093	Prag.g_00234, Prag.g_01231
OG0000007	Pras.g_01375	Prag.g_00476
OG0000007	Pras.g_00550	Prag.g_01669
OG0000008	Pras.g_01548	Prag.g_00650
OG0000009	Pras.g_00463	Prag.g_01600
OG0000009	Pras.g_00956	Prag.g_00098
OG0000010	Pras.g_01352	Prag.g_00453
OG0000010	Pras.g_01942	Prag.g_01043
OG0000011	Pras.g_00176	Prag.g_01326
OG0000012	Pras.g_01499	Prag.g_00601
OG0000013	Pras.g_01179	Prag.g_00318
OG0000014	Pras.g_01158	Prag.g_00297
OG0000015	Pras.g_00127	Prag.g_00765
OG0000016	Pras.g_00855	Prag.g_00013
OG0000017	Pras.g_01474	Prag.g_00576
OG0000018	Pras.g_01728	Prag.g_00833
OG0000018	Pras.g_00037	Prag.g_01134
OG0000019	Pras.g_01101	Prag.g_00242
OG0000019	Pras.g_01681	Prag.g_00786
OG0000020	Pras.g_00001	Prag.g_01100
OG0000020	Pras.g_00530	Prag.g_01637
OG0000021	Pras.g_00507	Prag.g_01633
OG0000021	Pras.g_01218	Prag.g_00359
OG0000022	Pras.g_00019	Prag.g_01116
