Orthogroup	Pras	Syaa
OG0000001	Pras.g_00235	Syaa.g_02435, Syaa.g_02438, Syaa.g_02437, Syaa.g_02436, Syaa.g_02439, Syaa.g_02329
OG0000004	Pras.g_01571	Syaa.g_00892
OG0000004	Pras.g_01084	Syaa.g_01667, Syaa.g_02116
OG0000005	Pras.g_00563	Syaa.g_00534
OG0000005	Pras.g_00429	Syaa.g_00573
OG0000006	Pras.g_00148, Pras.g_01093	Syaa.g_01611, Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Pras.g_01375	Syaa.g_02032
OG0000007	Pras.g_00550	Syaa.g_00551
OG0000009	Pras.g_00956	Syaa.g_02378
OG0000010	Pras.g_00523, Pras.g_01942	Syaa.g_01843
OG0000011	Pras.g_00142, Pras.g_00166	Syaa.g_00921
OG0000012	Pras.g_01499	Syaa.g_01660, Syaa.g_02304
OG0000013	Pras.g_01179	Syaa.g_02212, Syaa.g_02204, Syaa.g_02217
OG0000014	Pras.g_01158	Syaa.g_00222
OG0000015	Pras.g_00127	Syaa.g_02739, Syaa.g_01079, Syaa.g_01989
OG0000016	Pras.g_00855	Syaa.g_00014
OG0000017	Pras.g_01474	Syaa.g_01890, Syaa.g_01883
OG0000018	Pras.g_00037	Syaa.g_01801
OG0000019	Pras.g_01101, Pras.g_01681	Syaa.g_00307
OG0000021	Pras.g_00507, Pras.g_01218	Syaa.g_02627
OG0000022	Pras.g_00019	Syaa.g_01571
OG0000023	Pras.g_01213	Syaa.g_01529, Syaa.g_01216
OG0000024	Pras.g_01645, Pras.g_01551	Syaa.g_00922
OG0000025	Pras.g_01183, Pras.g_01735	Syaa.g_00839
OG0000026	Pras.g_00873, Pras.g_01949	Syaa.g_00038
OG0000027	Pras.g_01348, Pras.g_00185	Syaa.g_01605, Syaa.g_00854
OG0000028	Pras.g_00169, Pras.g_01172	Syaa.g_00205
OG0000029	Pras.g_01653, Pras.g_01228	Syaa.g_01578
OG0000030	Pras.g_00753	Syaa.g_00099, Syaa.g_00098
OG0000031	Pras.g_00331	Syaa.g_00480
OG0000034	Pras.g_00219	Syaa.g_00722, Syaa.g_02444
OG0000035	Pras.g_00350	Syaa.g_01773
OG0000037	Pras.g_00960	Syaa.g_02384
OG0000038	Pras.g_00795	Syaa.g_02596
OG0000039	Pras.g_01562	Syaa.g_00846
