Orthogroup	Pras	Syar
OG0000001	Pras.g_00235	Syar.g_00069, Syar.g_00070, Syar.g_02229
OG0000004	Pras.g_01571	Syar.g_02051
OG0000004	Pras.g_01084	Syar.g_02225, Syar.g_00842
OG0000005	Pras.g_00563	Syar.g_02952
OG0000005	Pras.g_00429	Syar.g_02909
OG0000006	Pras.g_00148, Pras.g_01093	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Pras.g_01375	Syar.g_01491
OG0000007	Pras.g_00550	Syar.g_02929
OG0000008	Pras.g_01548	Syar.g_00419, Syar.g_02048
OG0000009	Pras.g_00956	Syar.g_03116
OG0000010	Pras.g_00523, Pras.g_01942	Syar.g_01272
OG0000012	Pras.g_01499	Syar.g_00690, Syar.g_02860
OG0000013	Pras.g_01179	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167
OG0000014	Pras.g_01158	Syar.g_00825
OG0000015	Pras.g_00127	Syar.g_00451, Syar.g_00180
OG0000016	Pras.g_00855	Syar.g_02859
OG0000017	Pras.g_01474	Syar.g_03181, Syar.g_02188, Syar.g_02180
OG0000018	Pras.g_00037	Syar.g_01409
OG0000019	Pras.g_01101, Pras.g_01681	Syar.g_00163
OG0000022	Pras.g_00019	Syar.g_00835
OG0000025	Pras.g_01183, Pras.g_01735	Syar.g_01811
OG0000026	Pras.g_00873, Pras.g_01949	Syar.g_00505
OG0000027	Pras.g_01348, Pras.g_00185	Syar.g_02055, Syar.g_02835
OG0000028	Pras.g_00169, Pras.g_01172	Syar.g_00718
OG0000032	Pras.g_00326	Syar.g_00543
OG0000034	Pras.g_00219	Syar.g_00074, Syar.g_02790
OG0000035	Pras.g_00350	Syar.g_02809
OG0000037	Pras.g_00960	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Pras.g_00795	Syar.g_00334, Syar.g_00336
OG0000039	Pras.g_01562	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044
OG0000040	Pras.g_00489	Syar.g_02831
OG0000040	Pras.g_00036	Syar.g_00858
OG0000041	Pras.g_00597	Syar.g_01370, Syar.g_02014, Syar.g_02993
OG0000042	Pras.g_00750	Syar.g_00595, Syar.g_01970
OG0000045	Pras.g_00509	Syar.g_02592
OG0000048	Pras.g_01227	Syar.g_00213
OG0000051	Pras.g_00508, Pras.g_00179	Syar.g_01597
OG0000053	Pras.g_00886, Pras.g_00370	Syar.g_01413
OG0000054	Pras.g_01482	Syar.g_02265
OG0000055	Pras.g_01682	Syar.g_01386
OG0000056	Pras.g_00881	Syar.g_01662
OG0000057	Pras.g_01574	Syar.g_01941, Syar.g_00006
OG0000059	Pras.g_00637	Syar.g_01024
OG0000061	Pras.g_00056	Syar.g_01539
OG0000062	Pras.g_00431	Syar.g_02911
OG0000063	Pras.g_00875	Syar.g_00509
OG0000065	Pras.g_00958	Syar.g_03119
OG0000066	Pras.g_01416	Syar.g_03187, Syar.g_02228
OG0000067	Pras.g_01701, Pras.g_00311	Syar.g_02639
OG0000068	Pras.g_00250	Syar.g_02329, Syar.g_01461
OG0000069	Pras.g_00538, Pras.g_00464	Syar.g_01716
OG0000070	Pras.g_01328	Syar.g_02223, Syar.g_03150
OG0000071	Pras.g_00209	Syar.g_02777
OG0000072	Pras.g_01022	Syar.g_00107, Syar.g_01140
OG0000073	Pras.g_01377	Syar.g_01364, Syar.g_01493
OG0000075	Pras.g_00719	Syar.g_03065, Syar.g_00659
OG0000076	Pras.g_00883, Pras.g_00743	Syar.g_00608
OG0000077	Pras.g_00929	Syar.g_03051
OG0000078	Pras.g_01091	Syar.g_03265, Syar.g_03018, Syar.g_01366
OG0000079	Pras.g_01104	Syar.g_00166
OG0000080	Pras.g_00279, Pras.g_00277	Syar.g_00585
OG0000081	Pras.g_01408	Syar.g_01898
OG0000082	Pras.g_01462	Syar.g_02202
OG0000085	Pras.g_00543	Syar.g_02919
OG0000086	Pras.g_00939	Syar.g_03085
OG0000087	Pras.g_00990	Syar.g_03192, Syar.g_00068
OG0000088	Pras.g_01017	Syar.g_00101
OG0000089	Pras.g_01209	Syar.g_01162
OG0000090	Pras.g_01410	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Pras.g_01518	Syar.g_01891, Syar.g_02426
OG0000093	Pras.g_01827	Syar.g_02623
OG0000094	Pras.g_01915	Syar.g_01789
OG0000095	Pras.g_01934	Syar.g_01932
OG0000097	Pras.g_00098	Syar.g_01706, Syar.g_00364
OG0000098	Pras.g_00232	Syar.g_02343
OG0000099	Pras.g_00294	Syar.g_00715
OG0000100	Pras.g_00427	Syar.g_02477
OG0000101	Pras.g_00687	Syar.g_01073, Syar.g_03154
OG0000102	Pras.g_00748	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Pras.g_00829	Syar.g_00014, Syar.g_00452
OG0000104	Pras.g_00838	Syar.g_00466
OG0000105	Pras.g_01126	Syar.g_00218
OG0000106	Pras.g_01223	Syar.g_01748
OG0000107	Pras.g_01239	Syar.g_03290, Syar.g_00149
OG0000108	Pras.g_01358	Syar.g_01469
OG0000109	Pras.g_01372	Syar.g_03310, Syar.g_01485
OG0000110	Pras.g_01451	Syar.g_02295
OG0000111	Pras.g_01575	Syar.g_01940, Syar.g_00005
OG0000112	Pras.g_01665	Syar.g_03195, Syar.g_02548
OG0000113	Pras.g_01723	Syar.g_02664
OG0000114	Pras.g_01801	Syar.g_01616
OG0000115	Pras.g_01994	Syar.g_02854, Syar.g_01415
OG0000116	Pras.g_00046	Syar.g_01525, Syar.g_02255
OG0000117	Pras.g_00150	Syar.g_01969
OG0000118	Pras.g_00221, Pras.g_00222	Syar.g_02793
OG0000120	Pras.g_00273, Pras.g_00272, Pras.g_00271, Pras.g_00330	Syar.g_00713
OG0000121	Pras.g_00352	Syar.g_02806
OG0000123	Pras.g_00694	Syar.g_01079
OG0000124	Pras.g_00759	Syar.g_00586
OG0000125	Pras.g_00797	Syar.g_00338
OG0000126	Pras.g_00837	Syar.g_00887, Syar.g_00888
OG0000128	Pras.g_00853	Syar.g_00482
OG0000129	Pras.g_00897	Syar.g_00324
OG0000130	Pras.g_00921	Syar.g_03040
OG0000131	Pras.g_00996	Syar.g_02216, Syar.g_00078
OG0000132	Pras.g_01015	Syar.g_00099
OG0000133	Pras.g_01174	Syar.g_02543
OG0000134	Pras.g_01210	Syar.g_02009, Syar.g_01165
OG0000135	Pras.g_01236	Syar.g_00698
OG0000136	Pras.g_01319	Syar.g_02874
OG0000137	Pras.g_01353	Syar.g_01273
OG0000138	Pras.g_01373	Syar.g_01486
OG0000139	Pras.g_01414	Syar.g_03245, Syar.g_02348
OG0000140	Pras.g_01415	Syar.g_02344, Syar.g_03246
OG0000141	Pras.g_01483	Syar.g_02129
OG0000142	Pras.g_01511	Syar.g_02418
OG0000143	Pras.g_01515	Syar.g_02422
OG0000144	Pras.g_01528	Syar.g_02441
OG0000145	Pras.g_01664	Syar.g_01494, Syar.g_03205
OG0000146	Pras.g_01666	Syar.g_02549
OG0000147	Pras.g_01667	Syar.g_02550
OG0000148	Pras.g_01717	Syar.g_02658
OG0000149	Pras.g_01747	Syar.g_01830, Syar.g_03289, Syar.g_03288
OG0000150	Pras.g_01755	Syar.g_02130
OG0000151	Pras.g_01811	Syar.g_02038
OG0000152	Pras.g_01859	Syar.g_02539
OG0000153	Pras.g_01878	Syar.g_03283, Syar.g_02503
