Orthogroup	Pram	Syab
OG0000000	Pram.g_01561, Pram.g_01513, Pram.g_01176, Pram.g_01511, Pram.g_01512, Pram.g_01556	Syab.g_01226
OG0000001	Pram.g_01954, Pram.g_01953, Pram.g_00719	Syab.g_01549
OG0000002	Pram.g_00873, Pram.g_00879, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174, Pram.g_01278, Pram.g_00768	Syab.g_02285
OG0000004	Pram.g_00789	Syab.g_00549, Syab.g_01193
OG0000004	Pram.g_00219	Syab.g_01911, Syab.g_02377
OG0000005	Pram.g_01295	Syab.g_02806, Syab.g_02232
OG0000006	Pram.g_00229	Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Pram.g_00433	Syab.g_02117
OG0000007	Pram.g_01632	Syab.g_02256
OG0000008	Pram.g_01263	Syab.g_01755
OG0000008	Pram.g_01262	Syab.g_01168
OG0000009	Pram.g_00390, Pram.g_01284, Pram.g_01573	Syab.g_00995
OG0000010	Pram.g_00704, Pram.g_01000, Pram.g_00410	Syab.g_00696
OG0000011	Pram.g_01579	Syab.g_01491
OG0000013	Pram.g_00315	Syab.g_00497, Syab.g_00482, Syab.g_00487
OG0000014	Pram.g_00295	Syab.g_00249
OG0000016	Pram.g_01193	Syab.g_01049
OG0000017	Pram.g_00542	Syab.g_01945
OG0000017	Pram.g_00535	Syab.g_01953
OG0000018	Pram.g_01162, Pram.g_00837	Syab.g_00742
OG0000019	Pram.g_00237, Pram.g_01164	Syab.g_00344
OG0000020	Pram.g_01275, Pram.g_01595, Pram.g_01516	Syab.g_02230
OG0000022	Pram.g_01287	Syab.g_01825
OG0000023	Pram.g_00689	Syab.g_00708, Syab.g_02058, Syab.g_01294
OG0000024	Pram.g_01004, Pram.g_00765	Syab.g_01834
OG0000025	Pram.g_00844	Syab.g_01705
OG0000026	Pram.g_00018	Syab.g_00036
OG0000028	Pram.g_00308, Pram.g_00363	Syab.g_00234
OG0000030	Pram.g_01844	Syab.g_00096, Syab.g_00095
OG0000031	Pram.g_01413	Syab.g_00160
OG0000032	Pram.g_01339	Syab.g_00724
OG0000033	Pram.g_00154	Syab.g_02590
OG0000034	Pram.g_01240	Syab.g_00900, Syab.g_02560
OG0000035	Pram.g_01378, Pram.g_01381	Syab.g_00776
OG0000037	Pram.g_00093	Syab.g_02504
OG0000038	Pram.g_01884	Syab.g_02759, Syab.g_02761
OG0000039	Pram.g_00777	Syab.g_02791
OG0000041	Pram.g_01680	Syab.g_02333
OG0000042	Pram.g_01841	Syab.g_01019, Syab.g_00099
OG0000043	Pram.g_01161	Syab.g_01539
OG0000044	Pram.g_01620	Syab.g_01262
OG0000045	Pram.g_01184	Syab.g_01787
OG0000046	Pram.g_00316	Syab.g_00481, Syab.g_00488, Syab.g_00496
OG0000047	Pram.g_00359	Syab.g_00876
OG0000048	Pram.g_00259	Syab.g_00308
OG0000052	Pram.g_01436	Syab.g_00214
OG0000053	Pram.g_01580, Pram.g_01357	Syab.g_00746
OG0000054	Pram.g_00544	Syab.g_01932
OG0000055	Pram.g_01189	Syab.g_01255
OG0000056	Pram.g_01611, Pram.g_00603	Syab.g_01452
OG0000057	Pram.g_00792	Syab.g_01200
OG0000058	Pram.g_01447	Syab.g_00227
OG0000059	Pram.g_01719	Syab.g_00397
OG0000061	Pram.g_01140	Syab.g_00969
OG0000062	Pram.g_01293	Syab.g_02234
OG0000063	Pram.g_01258	Syab.g_00040
OG0000064	Pram.g_00052	Syab.g_02808, Syab.g_01783, Syab.g_00997, Syab.g_00824
OG0000065	Pram.g_00091	Syab.g_02500, Syab.g_01768
OG0000066	Pram.g_01558	Syab.g_02031
OG0000067	Pram.g_00809	Syab.g_01659
OG0000068	Pram.g_01468	Syab.g_02087
OG0000070	Pram.g_00385	Syab.g_00614
OG0000071	Pram.g_01230	Syab.g_00915
OG0000072	Pram.g_00156	Syab.g_02593
OG0000073	Pram.g_00437	Syab.g_02119
OG0000075	Pram.g_01807	Syab.g_00202
OG0000076	Pram.g_01833	Syab.g_00113
OG0000077	Pram.g_00063	Syab.g_02446
OG0000078	Pram.g_00227	Syab.g_02366
OG0000079	Pram.g_00240	Syab.g_00340
OG0000081	Pram.g_00469	Syab.g_01793
OG0000082	Pram.g_01559	Syab.g_01971
OG0000084	Pram.g_01384	Syab.g_00781
OG0000085	Pram.g_01265	Syab.g_02243
OG0000086	Pram.g_00072	Syab.g_02468
OG0000087	Pram.g_00125	Syab.g_02551
OG0000088	Pram.g_00151	Syab.g_02586
OG0000089	Pram.g_00352	Syab.g_00551
OG0000090	Pram.g_00471	Syab.g_02041
OG0000091	Pram.g_01068	Syab.g_01866
OG0000092	Pram.g_00739	Syab.g_01242, Syab.g_00690
OG0000093	Pram.g_01038	Syab.g_01090
OG0000097	Pram.g_01093	Syab.g_01051
OG0000098	Pram.g_01478	Syab.g_01553
OG0000099	Pram.g_01445	Syab.g_00230
OG0000100	Pram.g_01298	Syab.g_01694
OG0000101	Pram.g_01770	Syab.g_00446
OG0000102	Pram.g_01838	Syab.g_00104
OG0000103	Pram.g_01925	Syab.g_01296, Syab.g_02895
OG0000104	Pram.g_01934	Syab.g_02910
OG0000105	Pram.g_00262	Syab.g_00303
OG0000106	Pram.g_00677	Syab.g_01817
OG0000108	Pram.g_00416	Syab.g_02096
OG0000109	Pram.g_00430	Syab.g_02112
OG0000110	Pram.g_00513	Syab.g_01984
OG0000111	Pram.g_00793	Syab.g_01201
OG0000112	Pram.g_00935	Syab.g_01392
OG0000113	Pram.g_00832	Syab.g_01689
OG0000114	Pram.g_00734	Syab.g_01633
OG0000115	Pram.g_01201	Syab.g_00748
OG0000116	Pram.g_01151	Syab.g_00945
OG0000117	Pram.g_01112	Syab.g_01018
OG0000118	Pram.g_01242	Syab.g_00897
OG0000120	Pram.g_01446	Syab.g_00229
OG0000121	Pram.g_01376	Syab.g_00772
OG0000122	Pram.g_01204, Pram.g_01334	Syab.g_01839
OG0000123	Pram.g_01777	Syab.g_00454
OG0000124	Pram.g_01850	Syab.g_00088
OG0000125	Pram.g_01886	Syab.g_02763
OG0000126	Pram.g_01933	Syab.g_02908
OG0000128	Pram.g_01949	Syab.g_00012
OG0000129	Pram.g_00029	Syab.g_02749
OG0000130	Pram.g_00054	Syab.g_02434
OG0000131	Pram.g_00130	Syab.g_02564
OG0000132	Pram.g_00149	Syab.g_02584
OG0000133	Pram.g_00310	Syab.g_01387
OG0000134	Pram.g_00354	Syab.g_00554
OG0000135	Pram.g_01589	Syab.g_02815
OG0000136	Pram.g_00376	Syab.g_00588
OG0000137	Pram.g_00411	Syab.g_00697
OG0000138	Pram.g_00431	Syab.g_02113
OG0000139	Pram.g_00475	Syab.g_02035
OG0000140	Pram.g_00476	Syab.g_02033
OG0000141	Pram.g_00545	Syab.g_01931
OG0000142	Pram.g_01075	Syab.g_01873
OG0000143	Pram.g_01072	Syab.g_01870
OG0000144	Pram.g_01058	Syab.g_01757
