Orthogroup	Pram	Syah
OG0000001	Pram.g_01954, Pram.g_01953, Pram.g_00719	Syah.g_00726
OG0000002	Pram.g_00873, Pram.g_00879, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174, Pram.g_01278, Pram.g_00768	Syah.g_01829
OG0000004	Pram.g_00789	Syah.g_02017
OG0000004	Pram.g_00219	Syah.g_01967, Syah.g_00901
OG0000005	Pram.g_01295	Syah.g_02363
OG0000006	Pram.g_00229	Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918
OG0000007	Pram.g_00433	Syah.g_01016
OG0000007	Pram.g_01632	Syah.g_02384
OG0000008	Pram.g_01263	Syah.g_01994
OG0000008	Pram.g_01262	Syah.g_01993
OG0000009	Pram.g_00390, Pram.g_01284, Pram.g_01573	Syah.g_02457
OG0000010	Pram.g_00704, Pram.g_01000, Pram.g_00410	Syah.g_01220
OG0000012	Pram.g_00561	Syah.g_01960
OG0000013	Pram.g_00315	Syah.g_00831, Syah.g_00817, Syah.g_00822
OG0000014	Pram.g_00295	Syah.g_00127
OG0000015	Pram.g_00696, Pram.g_01545	Syah.g_01511, Syah.g_01510
OG0000016	Pram.g_01193	Syah.g_01402, Syah.g_01859
OG0000017	Pram.g_00542	Syah.g_01159
OG0000017	Pram.g_00535	Syah.g_01152
OG0000018	Pram.g_01162, Pram.g_00837	Syah.g_01264
OG0000019	Pram.g_00237, Pram.g_01164	Syah.g_00669
OG0000022	Pram.g_01287	Syah.g_01881
OG0000023	Pram.g_00689	Syah.g_01330, Syah.g_02167, Syah.g_00930
OG0000024	Pram.g_01004, Pram.g_00765	Syah.g_01990
OG0000025	Pram.g_00844	Syah.g_02082
OG0000026	Pram.g_00018	Syah.g_00340
OG0000028	Pram.g_00308, Pram.g_00363	Syah.g_00141
OG0000029	Pram.g_01723, Pram.g_01529	Syah.g_01292
OG0000030	Pram.g_01844	Syah.g_00264, Syah.g_00265
OG0000031	Pram.g_01413	Syah.g_00146, Syah.g_00226, Syah.g_00322
OG0000032	Pram.g_01339	Syah.g_01246
OG0000033	Pram.g_00154	Syah.g_00078
OG0000034	Pram.g_01240	Syah.g_00048, Syah.g_02213
OG0000035	Pram.g_01378, Pram.g_01381	Syah.g_01293
OG0000037	Pram.g_00093	Syah.g_02541, Syah.g_00956, Syah.g_01365
OG0000038	Pram.g_01884	Syah.g_00508, Syah.g_00506
OG0000039	Pram.g_00777	Syah.g_02074
OG0000040	Pram.g_01599	Syah.g_01908
OG0000041	Pram.g_01680	Syah.g_02271
OG0000042	Pram.g_01841	Syah.g_00261
OG0000044	Pram.g_01620	Syah.g_01194
OG0000045	Pram.g_01184	Syah.g_01872
OG0000046	Pram.g_00316	Syah.g_00816, Syah.g_00823, Syah.g_00830
OG0000047	Pram.g_00359	Syah.g_00847
OG0000048	Pram.g_00259	Syah.g_00637
OG0000052	Pram.g_01436	Syah.g_00171
OG0000053	Pram.g_01580, Pram.g_01357	Syah.g_01267
OG0000054	Pram.g_00544	Syah.g_01982
OG0000055	Pram.g_01189	Syah.g_02071
OG0000055	Pram.g_01617	Syah.g_01878
OG0000057	Pram.g_00792	Syah.g_02020
OG0000058	Pram.g_01447	Syah.g_00152
OG0000059	Pram.g_01719	Syah.g_00737
OG0000061	Pram.g_01140	Syah.g_02158
OG0000062	Pram.g_01293	Syah.g_02365
OG0000063	Pram.g_01258	Syah.g_00337
OG0000064	Pram.g_00052	Syah.g_01353, Syah.g_02357
OG0000065	Pram.g_00091	Syah.g_02443, Syah.g_02537
OG0000066	Pram.g_01558	Syah.g_01073
OG0000067	Pram.g_00809	Syah.g_01779
OG0000068	Pram.g_01468	Syah.g_00986
OG0000069	Pram.g_00391	Syah.g_01715
OG0000070	Pram.g_00385	Syah.g_02217
OG0000071	Pram.g_01230	Syah.g_02199
OG0000072	Pram.g_00156	Syah.g_00080
OG0000073	Pram.g_00437	Syah.g_01018
OG0000074	Pram.g_00684, Pram.g_00715, Pram.g_00772	Syah.g_00951
OG0000075	Pram.g_01807	Syah.g_00186
OG0000076	Pram.g_01833	Syah.g_00250
OG0000077	Pram.g_00063	Syah.g_02494
OG0000079	Pram.g_00240	Syah.g_00665
OG0000080	Pram.g_01408	Syah.g_00290
OG0000081	Pram.g_00469	Syah.g_00922
OG0000082	Pram.g_01559	Syah.g_01136
OG0000084	Pram.g_01384	Syah.g_01296
OG0000085	Pram.g_01265	Syah.g_02372
OG0000086	Pram.g_00072	Syah.g_02511
OG0000087	Pram.g_00125	Syah.g_00038
OG0000088	Pram.g_00151	Syah.g_00074
OG0000089	Pram.g_00352	Syah.g_00888
OG0000090	Pram.g_00471	Syah.g_01064
OG0000091	Pram.g_01068	Syah.g_01927
