Orthogroup	Pram	Syad
OG0000001	Pram.g_01954, Pram.g_01953, Pram.g_00719	Syad.g_00628
OG0000002	Pram.g_00873, Pram.g_00879, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174, Pram.g_01278, Pram.g_00768	Syad.g_00619
OG0000004	Pram.g_00789	Syad.g_01304
OG0000004	Pram.g_00219	Syad.g_02184, Syad.g_00810
OG0000005	Pram.g_01295	Syad.g_02596
OG0000006	Pram.g_00229	Syad.g_00588, Syad.g_00829
OG0000007	Pram.g_00433	Syad.g_00923
OG0000007	Pram.g_01632	Syad.g_02623
OG0000008	Pram.g_01262	Syad.g_01371
OG0000009	Pram.g_00390, Pram.g_01284, Pram.g_01573	Syad.g_01952, Syad.g_00868
OG0000010	Pram.g_00704, Pram.g_01000, Pram.g_00410	Syad.g_02354
OG0000012	Pram.g_00561	Syad.g_02176
OG0000013	Pram.g_00315	Syad.g_00737, Syad.g_00724, Syad.g_00729
OG0000014	Pram.g_00295	Syad.g_00480
OG0000015	Pram.g_00696, Pram.g_01545	Syad.g_01600, Syad.g_01601
OG0000016	Pram.g_01193	Syad.g_01460, Syad.g_02065
OG0000017	Pram.g_00542	Syad.g_01091
OG0000017	Pram.g_00535	Syad.g_01084
OG0000018	Pram.g_01162, Pram.g_00837	Syad.g_02306
OG0000019	Pram.g_00237, Pram.g_01164	Syad.g_00569
OG0000020	Pram.g_01275, Pram.g_01595, Pram.g_01516	Syad.g_00845
OG0000021	Pram.g_00794	Syad.g_00874
OG0000022	Pram.g_01287	Syad.g_02090
OG0000023	Pram.g_00689	Syad.g_01701, Syad.g_02337, Syad.g_01583
OG0000024	Pram.g_01004, Pram.g_00765	Syad.g_01374
OG0000025	Pram.g_00844	Syad.g_01241
OG0000026	Pram.g_00018	Syad.g_00198
OG0000028	Pram.g_00308, Pram.g_00363	Syad.g_00463
OG0000029	Pram.g_01723, Pram.g_01529	Syad.g_02099
OG0000030	Pram.g_01844	Syad.g_00328, Syad.g_00327
OG0000031	Pram.g_01413	Syad.g_00458, Syad.g_00294
OG0000032	Pram.g_01339	Syad.g_02326
OG0000033	Pram.g_00154	Syad.g_02903
OG0000034	Pram.g_01240	Syad.g_02420, Syad.g_02872
OG0000035	Pram.g_01378, Pram.g_01381	Syad.g_02275
OG0000037	Pram.g_00093	Syad.g_02805
OG0000038	Pram.g_01884	Syad.g_03038
OG0000039	Pram.g_00777	Syad.g_01249, Syad.g_01111
OG0000041	Pram.g_01680	Syad.g_02498
OG0000042	Pram.g_01841	Syad.g_00333
OG0000043	Pram.g_01161	Syad.g_02119
OG0000044	Pram.g_01620	Syad.g_02214
OG0000046	Pram.g_00316	Syad.g_00723, Syad.g_00730, Syad.g_00736
OG0000047	Pram.g_00359	Syad.g_00754
OG0000048	Pram.g_00259	Syad.g_00534
OG0000050	Pram.g_00706	Syad.g_02114
OG0000052	Pram.g_01436	Syad.g_00434
OG0000053	Pram.g_01580, Pram.g_01357	Syad.g_02302
OG0000054	Pram.g_00544	Syad.g_02209
OG0000055	Pram.g_01189	Syad.g_01255
OG0000056	Pram.g_00603	Syad.g_01997, Syad.g_01971, Syad.g_01409, Syad.g_02690, Syad.g_01425, Syad.g_00400, Syad.g_01999, Syad.g_01346, Syad.g_02228, Syad.g_02691
OG0000057	Pram.g_00792	Syad.g_01301
OG0000058	Pram.g_01447	Syad.g_00452
OG0000059	Pram.g_01719	Syad.g_00642
OG0000061	Pram.g_01140	Syad.g_01152
OG0000062	Pram.g_01293	Syad.g_02598
OG0000063	Pram.g_01258	Syad.g_00202
OG0000064	Pram.g_00052	Syad.g_00873, Syad.g_00081, Syad.g_02125
OG0000065	Pram.g_00091	Syad.g_02574, Syad.g_02801
OG0000066	Pram.g_01558	Syad.g_00992
OG0000067	Pram.g_00809	Syad.g_01889
OG0000068	Pram.g_01468	Syad.g_00891
OG0000070	Pram.g_00385	Syad.g_02424
OG0000071	Pram.g_01230	Syad.g_02405
OG0000072	Pram.g_00156	Syad.g_02905
OG0000073	Pram.g_00437	Syad.g_00926
OG0000075	Pram.g_01807	Syad.g_00416
OG0000076	Pram.g_01833	Syad.g_00348
OG0000077	Pram.g_00063	Syad.g_02741
OG0000078	Pram.g_00227	Syad.g_00824
OG0000079	Pram.g_00240	Syad.g_00565
OG0000081	Pram.g_00469	Syad.g_00833
OG0000082	Pram.g_01559	Syad.g_01063
OG0000084	Pram.g_01384	Syad.g_02272
OG0000085	Pram.g_01265	Syad.g_02612
OG0000086	Pram.g_00072	Syad.g_02770
OG0000087	Pram.g_00125	Syad.g_02860
OG0000088	Pram.g_00151	Syad.g_02899
OG0000089	Pram.g_00352	Syad.g_00785, Syad.g_02829
OG0000090	Pram.g_00471	Syad.g_00977
OG0000091	Pram.g_01068	Syad.g_02144
OG0000092	Pram.g_00739	Syad.g_01190
OG0000097	Pram.g_01093	Syad.g_01458
OG0000098	Pram.g_01478	Syad.g_00625
OG0000099	Pram.g_01445	Syad.g_00460
OG0000100	Pram.g_01298	Syad.g_01846
OG0000101	Pram.g_01770	Syad.g_00694
OG0000102	Pram.g_01838	Syad.g_00343
OG0000103	Pram.g_01925	Syad.g_00143
OG0000104	Pram.g_01934	Syad.g_00158
OG0000105	Pram.g_00262	Syad.g_00530
OG0000106	Pram.g_00677	Syad.g_01993
OG0000107	Pram.g_01696	Syad.g_00590
OG0000108	Pram.g_00416	Syad.g_00904
OG0000109	Pram.g_00430	Syad.g_00919
OG0000110	Pram.g_00513	Syad.g_01048
OG0000111	Pram.g_00793	Syad.g_01300
OG0000112	Pram.g_00935	Syad.g_01766
OG0000113	Pram.g_00832	Syad.g_01851
OG0000114	Pram.g_00734	Syad.g_01617
OG0000115	Pram.g_01201	Syad.g_02300
OG0000116	Pram.g_01151	Syad.g_01123
OG0000117	Pram.g_01112	Syad.g_01510
OG0000118	Pram.g_01242	Syad.g_01104
OG0000119	Pram.g_01283	Syad.g_01168
OG0000120	Pram.g_01446	Syad.g_00459
OG0000121	Pram.g_01376	Syad.g_02280
OG0000122	Pram.g_01204, Pram.g_01334	Syad.g_02122
OG0000123	Pram.g_01777	Syad.g_00701
OG0000124	Pram.g_01850	Syad.g_00320
OG0000125	Pram.g_01886	Syad.g_03040
OG0000126	Pram.g_01933	Syad.g_00156
OG0000127	Pram.g_00611	Syad.g_02710, Syad.g_00058, Syad.g_00383
OG0000128	Pram.g_01949	Syad.g_00174
OG0000129	Pram.g_00029	Syad.g_03028
OG0000130	Pram.g_00054	Syad.g_02728
OG0000131	Pram.g_00130	Syad.g_02876
OG0000132	Pram.g_00149	Syad.g_02897
OG0000133	Pram.g_00310	Syad.g_01761
OG0000134	Pram.g_00354	Syad.g_00788
OG0000135	Pram.g_01589	Syad.g_00063
OG0000136	Pram.g_00376	Syad.g_02445
OG0000137	Pram.g_00411	Syad.g_02353
OG0000138	Pram.g_00431	Syad.g_00920
OG0000139	Pram.g_00475	Syad.g_00983
OG0000140	Pram.g_00476	Syad.g_00987
OG0000141	Pram.g_00545	Syad.g_02208
OG0000142	Pram.g_01075	Syad.g_02152
OG0000143	Pram.g_01072	Syad.g_02148
OG0000144	Pram.g_01058	Syad.g_02024
