Orthogroup	Pram	Syaa
OG0000004	Pram.g_00789	Syaa.g_00892
OG0000004	Pram.g_00219	Syaa.g_01667, Syaa.g_02116
OG0000005	Pram.g_01295	Syaa.g_00573
OG0000006	Pram.g_00229	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Pram.g_00433	Syaa.g_02032
OG0000007	Pram.g_01632	Syaa.g_00551
OG0000008	Pram.g_01263	Syaa.g_00918
OG0000008	Pram.g_01262	Syaa.g_00919
OG0000010	Pram.g_00704, Pram.g_01000, Pram.g_00410	Syaa.g_01843
OG0000012	Pram.g_00561	Syaa.g_01660
OG0000013	Pram.g_00315	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212
OG0000014	Pram.g_00295	Syaa.g_00222
OG0000015	Pram.g_00696, Pram.g_01545	Syaa.g_01079, Syaa.g_01989
OG0000016	Pram.g_01193	Syaa.g_00981, Syaa.g_01481
OG0000017	Pram.g_00542	Syaa.g_01883
OG0000017	Pram.g_00535	Syaa.g_01890
OG0000018	Pram.g_01162, Pram.g_00837	Syaa.g_01801
OG0000019	Pram.g_00237, Pram.g_01164	Syaa.g_00307
OG0000021	Pram.g_00794	Syaa.g_02627
OG0000022	Pram.g_01287	Syaa.g_01571
OG0000023	Pram.g_00689	Syaa.g_01529, Syaa.g_01216
OG0000024	Pram.g_01004, Pram.g_00765	Syaa.g_00922
OG0000025	Pram.g_00844	Syaa.g_00839
OG0000026	Pram.g_00018	Syaa.g_00038
OG0000028	Pram.g_00308, Pram.g_00363	Syaa.g_00205
OG0000029	Pram.g_01723, Pram.g_01529	Syaa.g_01578
OG0000030	Pram.g_01844	Syaa.g_00099, Syaa.g_00098
OG0000031	Pram.g_01413	Syaa.g_00200, Syaa.g_00480
OG0000032	Pram.g_01339	Syaa.g_01818
OG0000033	Pram.g_00154	Syaa.g_02478
OG0000034	Pram.g_01240	Syaa.g_00722, Syaa.g_02444
OG0000035	Pram.g_01378, Pram.g_01381	Syaa.g_01773
OG0000037	Pram.g_00093	Syaa.g_02384
OG0000038	Pram.g_01884	Syaa.g_02596
OG0000039	Pram.g_00777	Syaa.g_00846
OG0000040	Pram.g_01599	Syaa.g_01606
OG0000041	Pram.g_01680	Syaa.g_00660
OG0000042	Pram.g_01841	Syaa.g_00103
OG0000045	Pram.g_01184	Syaa.g_01560
OG0000046	Pram.g_00316	Syaa.g_02218, Syaa.g_02211, Syaa.g_02205
OG0000047	Pram.g_00359	Syaa.g_02189
OG0000048	Pram.g_00259	Syaa.g_02719, Syaa.g_00275
OG0000050	Pram.g_00576, Pram.g_00706	Syaa.g_01591
OG0000052	Pram.g_01436	Syaa.g_00174
OG0000053	Pram.g_01580, Pram.g_01357	Syaa.g_01797
OG0000054	Pram.g_00544	Syaa.g_01691
OG0000055	Pram.g_01189	Syaa.g_00852
OG0000055	Pram.g_01617	Syaa.g_01564
OG0000057	Pram.g_00792	Syaa.g_00889
OG0000058	Pram.g_01447	Syaa.g_00193
OG0000059	Pram.g_01719	Syaa.g_02315
OG0000061	Pram.g_01140	Syaa.g_00770
OG0000062	Pram.g_01293	Syaa.g_00571
OG0000063	Pram.g_01258	Syaa.g_00042
OG0000064	Pram.g_00052	Syaa.g_01284, Syaa.g_02666, Syaa.g_01568, Syaa.g_00579
OG0000065	Pram.g_00091	Syaa.g_02380
OG0000066	Pram.g_01558	Syaa.g_01968
OG0000067	Pram.g_00809	Syaa.g_01154
OG0000068	Pram.g_01468	Syaa.g_02059
OG0000069	Pram.g_00391	Syaa.g_01256
OG0000070	Pram.g_00385	Syaa.g_00718
OG0000071	Pram.g_01230	Syaa.g_00735
OG0000072	Pram.g_00156	Syaa.g_02480
OG0000073	Pram.g_00437	Syaa.g_02030
OG0000074	Pram.g_00684, Pram.g_00715, Pram.g_00772	Syaa.g_00372
OG0000075	Pram.g_01807	Syaa.g_00157
OG0000076	Pram.g_01833	Syaa.g_00123
OG0000077	Pram.g_00063	Syaa.g_00341
OG0000078	Pram.g_00227	Syaa.g_02103
OG0000079	Pram.g_00240	Syaa.g_00303
OG0000081	Pram.g_00469	Syaa.g_02089
OG0000082	Pram.g_01559	Syaa.g_01905
OG0000084	Pram.g_01384	Syaa.g_01770
OG0000085	Pram.g_01265	Syaa.g_00564
OG0000086	Pram.g_00072	Syaa.g_00324
OG0000087	Pram.g_00125	Syaa.g_02433
OG0000088	Pram.g_00151	Syaa.g_02474
OG0000089	Pram.g_00352	Syaa.g_02149
OG0000090	Pram.g_00471	Syaa.g_01980
OG0000091	Pram.g_01068	Syaa.g_01625
OG0000097	Pram.g_01093	Syaa.g_00979
OG0000099	Pram.g_01445	Syaa.g_00202
OG0000100	Pram.g_01298	Syaa.g_01201
OG0000101	Pram.g_01770	Syaa.g_02249
OG0000102	Pram.g_01838	Syaa.g_00118
OG0000103	Pram.g_01925	Syaa.g_02740
OG0000104	Pram.g_01934	Syaa.g_02754
OG0000105	Pram.g_00262	Syaa.g_00270
OG0000106	Pram.g_00677	Syaa.g_01439
OG0000107	Pram.g_01696	Syaa.g_02351
OG0000108	Pram.g_00416	Syaa.g_02051
OG0000109	Pram.g_00430	Syaa.g_02036
OG0000110	Pram.g_00513	Syaa.g_01918
OG0000111	Pram.g_00793	Syaa.g_00888
OG0000112	Pram.g_00935	Syaa.g_01366
OG0000113	Pram.g_00832	Syaa.g_01196
OG0000114	Pram.g_00734	Syaa.g_01094
