Orthogroup	Pram	Prbm
OG0000000	Pram.g_01561	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000000	Pram.g_01513, Pram.g_01176	Prbm.g_01140, Prbm.g_01814, Prbm.g_01313, Prbm.g_00433, Prbm.g_01231, Prbm.g_01384
OG0000000	Pram.g_01511	Prbm.g_00435, Prbm.g_01116, Prbm.g_01406, Prbm.g_01808, Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436
OG0000000	Pram.g_01512	Prbm.g_01119
OG0000000	Pram.g_01512	Prbm.g_01404
OG0000000	Pram.g_01512	Prbm.g_01810
OG0000000	Pram.g_01556	Prbm.g_01141
OG0000001	Pram.g_01954, Pram.g_01953	Prbm.g_01633
OG0000001	Pram.g_00719	Prbm.g_00496, Prbm.g_01940
OG0000002	Pram.g_00873	Prbm.g_00874
OG0000002	Pram.g_01170	Prbm.g_01578
OG0000002	Pram.g_01471, Pram.g_01168	Prbm.g_01577
OG0000002	Pram.g_01174	Prbm.g_01582, Prbm.g_01576
OG0000002	Pram.g_01278	Prbm.g_01581
OG0000002	Pram.g_00768	Prbm.g_00712
OG0000004	Pram.g_00789	Prbm.g_01483
OG0000004	Pram.g_00219	Prbm.g_00291
OG0000005	Pram.g_01295	Prbm.g_01790
OG0000006	Pram.g_00229	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588
OG0000007	Pram.g_00433	Prbm.g_00522
OG0000007	Pram.g_01632	Prbm.g_01841
OG0000008	Pram.g_01263	Prbm.g_01907
OG0000008	Pram.g_01262	Prbm.g_01908
OG0000009	Pram.g_00390, Pram.g_01284, Pram.g_01573	Prbm.g_01235, Prbm.g_01400
OG0000010	Pram.g_00704, Pram.g_01000	Prbm.g_01066
OG0000010	Pram.g_00410	Prbm.g_00499
OG0000011	Pram.g_01579	Prbm.g_01174
OG0000013	Pram.g_00315	Prbm.g_00382
OG0000014	Pram.g_00295	Prbm.g_00362
OG0000015	Pram.g_00696, Pram.g_01545	Prbm.g_01427, Prbm.g_01149
OG0000016	Pram.g_01193	Prbm.g_01944
OG0000017	Pram.g_00535	Prbm.g_00635
OG0000018	Pram.g_01162	Prbm.g_01571
OG0000018	Pram.g_00837	Prbm.g_00843
OG0000019	Pram.g_01164	Prbm.g_00792
OG0000020	Pram.g_01275	Prbm.g_01065
OG0000020	Pram.g_01516	Prbm.g_01156
OG0000021	Pram.g_01274	Prbm.g_01939
OG0000022	Pram.g_01287	Prbm.g_01204
OG0000023	Pram.g_00689	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284
OG0000024	Pram.g_01004	Prbm.g_01151
OG0000024	Pram.g_00765	Prbm.g_00709
OG0000025	Pram.g_00844	Prbm.g_00849
OG0000026	Pram.g_00018	Prbm.g_00031
OG0000028	Pram.g_00363	Prbm.g_01656
OG0000029	Pram.g_01529	Prbm.g_01823
OG0000030	Pram.g_01844	Prbm.g_02105
OG0000031	Pram.g_01413	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393
OG0000032	Pram.g_01339	Prbm.g_01747
OG0000033	Pram.g_00154	Prbm.g_00228
OG0000034	Pram.g_01240	Prbm.g_01620
OG0000035	Pram.g_01381	Prbm.g_01710
OG0000037	Pram.g_00093	Prbm.g_00166
OG0000038	Pram.g_01884	Prbm.g_02174
OG0000039	Pram.g_00777	Prbm.g_00723
OG0000040	Pram.g_01599	Prbm.g_01923, Prbm.g_01409, Prbm.g_01813
OG0000041	Pram.g_01680	Prbm.g_01886
OG0000042	Pram.g_01841	Prbm.g_02102
OG0000043	Pram.g_01161	Prbm.g_00906
OG0000044	Pram.g_01620	Prbm.g_00478
OG0000045	Pram.g_01184	Prbm.g_01088
OG0000046	Pram.g_00316	Prbm.g_00383
OG0000047	Pram.g_00359	Prbm.g_00428
OG0000048	Pram.g_00259	Prbm.g_00329
OG0000050	Pram.g_00576	Prbm.g_01485
OG0000052	Pram.g_00040	Prbm.g_00114
OG0000053	Pram.g_01580, Pram.g_01357	Prbm.g_01729
OG0000054	Pram.g_00544	Prbm.g_00637
OG0000055	Pram.g_01189	Prbm.g_00778
OG0000055	Pram.g_01617	Prbm.g_01921
OG0000056	Pram.g_01611	Prbm.g_00477
OG0000057	Pram.g_00792	Prbm.g_00735
OG0000058	Pram.g_01447	Prbm.g_00881
OG0000059	Pram.g_01719	Prbm.g_01973
OG0000061	Pram.g_01140	Prbm.g_01549
OG0000062	Pram.g_01293	Prbm.g_01792
OG0000063	Pram.g_01258	Prbm.g_01947
OG0000065	Pram.g_00091	Prbm.g_00164
OG0000066	Pram.g_01558	Prbm.g_00572
OG0000067	Pram.g_00809	Prbm.g_00814
OG0000068	Pram.g_01468	Prbm.g_01660
OG0000069	Pram.g_00391	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753
OG0000070	Pram.g_00385	Prbm.g_00460
OG0000071	Pram.g_01230	Prbm.g_00468, Prbm.g_01611
OG0000072	Pram.g_00156	Prbm.g_00230
OG0000073	Pram.g_00437	Prbm.g_00533
OG0000074	Pram.g_00715	Prbm.g_00912
OG0000074	Pram.g_00772	Prbm.g_00717
OG0000075	Pram.g_01807	Prbm.g_02069
OG0000076	Pram.g_01833	Prbm.g_02094
OG0000077	Pram.g_00063	Prbm.g_00135
OG0000078	Pram.g_00227	Prbm.g_00300
OG0000079	Pram.g_00240	Prbm.g_00311
OG0000081	Pram.g_00469	Prbm.g_00564
OG0000082	Pram.g_01559	Prbm.g_01900
OG0000084	Pram.g_01384	Prbm.g_01706
OG0000085	Pram.g_01265	Prbm.g_01834
OG0000086	Pram.g_00072	Prbm.g_00145
OG0000087	Pram.g_00125	Prbm.g_00198
OG0000088	Pram.g_00151	Prbm.g_00225
OG0000089	Pram.g_00352	Prbm.g_00423
OG0000090	Pram.g_00471	Prbm.g_00566
OG0000091	Pram.g_01068	Prbm.g_00673
OG0000092	Pram.g_00739	Prbm.g_00934
OG0000093	Pram.g_01038	Prbm.g_00799
OG0000094	Pram.g_00987	Prbm.g_00888
OG0000095	Pram.g_00888	Prbm.g_01064
OG0000096	Pram.g_01505, Pram.g_00621	Prbm.g_01359
OG0000097	Pram.g_01093	Prbm.g_01502
OG0000098	Pram.g_01478	Prbm.g_01630
OG0000099	Pram.g_01445	Prbm.g_00394
OG0000100	Pram.g_01298	Prbm.g_01787
OG0000101	Pram.g_01770	Prbm.g_02033
OG0000102	Pram.g_01838	Prbm.g_02099
OG0000103	Pram.g_01925	Prbm.g_02218
OG0000104	Pram.g_01934	Prbm.g_02229
OG0000105	Pram.g_00262	Prbm.g_00331
OG0000106	Pram.g_00677	Prbm.g_01172, Prbm.g_01237
OG0000107	Pram.g_01696	Prbm.g_01949
OG0000108	Pram.g_00416	Prbm.g_00506
OG0000109	Pram.g_00430	Prbm.g_00519
OG0000110	Pram.g_00513	Prbm.g_00607
OG0000111	Pram.g_00793	Prbm.g_00736
OG0000112	Pram.g_00935	Prbm.g_00980
OG0000113	Pram.g_00832	Prbm.g_01191
OG0000114	Pram.g_00734	Prbm.g_00929
OG0000115	Pram.g_01201	Prbm.g_01803
OG0000116	Pram.g_01151	Prbm.g_01560
OG0000117	Pram.g_01112	Prbm.g_01522
OG0000118	Pram.g_01242	Prbm.g_01622
OG0000119	Pram.g_01283	Prbm.g_01653
OG0000120	Pram.g_01446	Prbm.g_00707
OG0000121	Pram.g_01376	Prbm.g_01712
OG0000122	Pram.g_01334	Prbm.g_01751
OG0000123	Pram.g_01777	Prbm.g_02040
OG0000124	Pram.g_01850	Prbm.g_02111
OG0000125	Pram.g_01886	Prbm.g_02176
OG0000126	Pram.g_01933	Prbm.g_02228
OG0000128	Pram.g_01949	Prbm.g_00011
OG0000129	Pram.g_00029	Prbm.g_00053
OG0000130	Pram.g_00054	Prbm.g_00126
OG0000131	Pram.g_00130	Prbm.g_00204
OG0000132	Pram.g_00149	Prbm.g_00223
OG0000133	Pram.g_00310	Prbm.g_00377
OG0000134	Pram.g_00354	Prbm.g_00425
