Orthogroup	Pram	Prab
OG0000000	Pram.g_01561	Prab.g_00915, Prab.g_01617
OG0000000	Pram.g_01511	Prab.g_00760, Prab.g_01630, Prab.g_01598
OG0000002	Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174, Pram.g_01278, Pram.g_00768	Prab.g_00683
OG0000004	Pram.g_00789	Prab.g_00700
OG0000004	Pram.g_00219	Prab.g_00223
OG0000005	Pram.g_01295	Prab.g_01542
OG0000006	Pram.g_00229	Prab.g_00231
OG0000007	Pram.g_00433	Prab.g_00501
OG0000007	Pram.g_01632	Prab.g_01669
OG0000009	Pram.g_00390, Pram.g_01284, Pram.g_01573	Prab.g_01584
OG0000010	Pram.g_00704, Pram.g_01000, Pram.g_00410	Prab.g_00478
OG0000011	Pram.g_01579	Prab.g_00799
OG0000012	Pram.g_00561	Prab.g_00627
OG0000013	Pram.g_00315	Prab.g_00315
OG0000014	Pram.g_00295	Prab.g_00294
OG0000015	Pram.g_00696, Pram.g_01545	Prab.g_00789
OG0000016	Pram.g_01193	Prab.g_01579
OG0000017	Pram.g_00535	Prab.g_00602
OG0000018	Pram.g_01162	Prab.g_01201
OG0000018	Pram.g_00837	Prab.g_00867
OG0000019	Pram.g_00237	Prab.g_00239
OG0000019	Pram.g_01164	Prab.g_00820
OG0000020	Pram.g_01275	Prab.g_01162
OG0000020	Pram.g_01516	Prab.g_00379
OG0000021	Pram.g_01274	Prab.g_00354
OG0000022	Pram.g_01287	Prab.g_00782
OG0000023	Pram.g_00689	Prab.g_00348
OG0000024	Pram.g_01004	Prab.g_00763
OG0000024	Pram.g_00765	Prab.g_00680
OG0000025	Pram.g_00844	Prab.g_00874, Prab.g_00319
OG0000026	Pram.g_00018	Prab.g_01111
OG0000028	Pram.g_00308	Prab.g_00308
OG0000029	Pram.g_01529	Prab.g_00773
OG0000030	Pram.g_01844	Prab.g_01867
OG0000031	Pram.g_01413	Prab.g_01446
OG0000033	Pram.g_00154	Prab.g_00160
OG0000034	Pram.g_01240	Prab.g_01336
OG0000035	Pram.g_01381	Prab.g_01466
OG0000037	Pram.g_00093	Prab.g_00100
OG0000038	Pram.g_01884	Prab.g_01908
OG0000039	Pram.g_00777	Prab.g_00691
OG0000040	Pram.g_01599	Prab.g_01623
OG0000041	Pram.g_01680	Prab.g_01715
OG0000042	Pram.g_01841	Prab.g_01864
OG0000043	Pram.g_01161	Prab.g_01100
OG0000044	Pram.g_01620	Prab.g_01648
OG0000045	Pram.g_01184	Prab.g_00360
OG0000048	Pram.g_00259	Prab.g_00411, Prab.g_00363
OG0000050	Pram.g_00576, Pram.g_00706	Prab.g_00394, Prab.g_01635, Prab.g_01645
OG0000052	Pram.g_01436	Prab.g_01423
OG0000053	Pram.g_01580, Pram.g_01357	Prab.g_01486
OG0000054	Pram.g_00544	Prab.g_00610
OG0000055	Pram.g_01189	Prab.g_00821
OG0000057	Pram.g_00792	Prab.g_00703
OG0000058	Pram.g_01447	Prab.g_01393
OG0000059	Pram.g_01719	Prab.g_01754
OG0000061	Pram.g_01140	Prab.g_01219
OG0000062	Pram.g_01293	Prab.g_01544
OG0000065	Pram.g_00091	Prab.g_00098
OG0000066	Pram.g_01558	Prab.g_00543
OG0000067	Pram.g_00809	Prab.g_00840
OG0000068	Pram.g_01468	Prab.g_01360
OG0000069	Pram.g_00391	Prab.g_01585
OG0000070	Pram.g_00385	Prab.g_00456
OG0000071	Pram.g_01230	Prab.g_01637, Prab.g_01326
