Orthogroup	Pram	Syae
OG0000001	Pram.g_01954, Pram.g_01953, Pram.g_00719	Syae.g_02061
OG0000004	Pram.g_00789	Syae.g_00779
OG0000004	Pram.g_00219	Syae.g_00042, Syae.g_02231
OG0000005	Pram.g_01295	Syae.g_01143
OG0000006	Pram.g_00229	Syae.g_02030, Syae.g_02248
OG0000007	Pram.g_00433	Syae.g_02328
OG0000007	Pram.g_01632	Syae.g_01163
OG0000008	Pram.g_01263	Syae.g_00753
OG0000008	Pram.g_01262	Syae.g_00752
OG0000009	Pram.g_00390, Pram.g_01284, Pram.g_01573	Syae.g_00561, Syae.g_00171
OG0000010	Pram.g_00704, Pram.g_01000, Pram.g_00410	Syae.g_02529
OG0000012	Pram.g_00561	Syae.g_00049
OG0000013	Pram.g_00315	Syae.g_02169, Syae.g_02155, Syae.g_02160
OG0000014	Pram.g_00295	Syae.g_01930
OG0000015	Pram.g_00696, Pram.g_01545	Syae.g_00590
OG0000016	Pram.g_01193	Syae.g_00681, Syae.g_00233
OG0000017	Pram.g_00542	Syae.g_02469
OG0000017	Pram.g_00535	Syae.g_02462
OG0000018	Pram.g_01162, Pram.g_00837	Syae.g_02625
OG0000019	Pram.g_00237, Pram.g_01164	Syae.g_02015
OG0000021	Pram.g_01274	Syae.g_01261
OG0000022	Pram.g_01287	Syae.g_00144
OG0000023	Pram.g_00689	Syae.g_00439, Syae.g_00930
OG0000025	Pram.g_00844	Syae.g_00833
OG0000026	Pram.g_00018	Syae.g_01748
OG0000028	Pram.g_00308, Pram.g_00363	Syae.g_01916
OG0000029	Pram.g_01723, Pram.g_01529	Syae.g_00136
OG0000030	Pram.g_01844	Syae.g_01817, Syae.g_01816
OG0000031	Pram.g_01413	Syae.g_01911
OG0000032	Pram.g_01339	Syae.g_02607
OG0000033	Pram.g_00154	Syae.g_01453
OG0000034	Pram.g_01240	Syae.g_00975, Syae.g_01424
OG0000035	Pram.g_01378, Pram.g_01381	Syae.g_02653
OG0000037	Pram.g_00093	Syae.g_01367
OG0000038	Pram.g_01884	Syae.g_01571
OG0000039	Pram.g_00777	Syae.g_00822, Syae.g_02495
OG0000041	Pram.g_01680	Syae.g_01042
OG0000042	Pram.g_01841	Syae.g_01821
OG0000043	Pram.g_01161	Syae.g_00117
OG0000044	Pram.g_01620	Syae.g_01067
OG0000046	Pram.g_00316	Syae.g_02154, Syae.g_02161, Syae.g_02168
OG0000047	Pram.g_00359	Syae.g_02184
OG0000048	Pram.g_00259	Syae.g_01982
OG0000050	Pram.g_00576, Pram.g_00706	Syae.g_00122
OG0000052	Pram.g_01436	Syae.g_01886
OG0000053	Pram.g_01580, Pram.g_01357	Syae.g_02629
OG0000054	Pram.g_00544	Syae.g_00014
OG0000055	Pram.g_01189	Syae.g_00817
OG0000057	Pram.g_00792	Syae.g_00782
OG0000058	Pram.g_01447	Syae.g_01905
OG0000059	Pram.g_01719	Syae.g_02074
OG0000061	Pram.g_01140	Syae.g_00921
OG0000062	Pram.g_01293	Syae.g_01145
OG0000063	Pram.g_01258	Syae.g_01752
OG0000064	Pram.g_00052	Syae.g_00012, Syae.g_01631, Syae.g_00194, Syae.g_01137
