Orthogroup	Pram	Syao
OG0000001	Pram.g_01954, Pram.g_01953, Pram.g_00719	Syao.g_00314
OG0000004	Pram.g_00789	Syao.g_02374
OG0000004	Pram.g_00219	Syao.g_01271, Syao.g_01007
OG0000005	Pram.g_01295	Syao.g_01578
OG0000006	Pram.g_00229	Syao.g_01518
OG0000007	Pram.g_00433	Syao.g_00105
OG0000007	Pram.g_01632	Syao.g_01554
OG0000008	Pram.g_01262	Syao.g_01321
OG0000010	Pram.g_00704, Pram.g_01000, Pram.g_00410	Syao.g_02683
OG0000011	Pram.g_01579	Syao.g_01282
OG0000012	Pram.g_00561	Syao.g_01193
OG0000013	Pram.g_00315	Syao.g_01222, Syao.g_01844, Syao.g_01910
OG0000014	Pram.g_00295	Syao.g_02027
OG0000015	Pram.g_00696, Pram.g_01545	Syao.g_00302
OG0000017	Pram.g_00542	Syao.g_01064
OG0000017	Pram.g_00535	Syao.g_00997
OG0000018	Pram.g_01162, Pram.g_00837	Syao.g_00071
OG0000019	Pram.g_00237, Pram.g_01164	Syao.g_02108
OG0000021	Pram.g_01274, Pram.g_00794	Syao.g_01002
OG0000022	Pram.g_01287	Syao.g_01218
OG0000023	Pram.g_00689	Syao.g_01266
OG0000025	Pram.g_00844	Syao.g_00436, Syao.g_00437
OG0000026	Pram.g_00018	Syao.g_02234
OG0000028	Pram.g_00308, Pram.g_00363	Syao.g_02012
OG0000030	Pram.g_01844	Syao.g_02189, Syao.g_02188
OG0000031	Pram.g_01413	Syao.g_02008, Syao.g_01083
OG0000032	Pram.g_01339	Syao.g_00090
OG0000033	Pram.g_00154	Syao.g_02507
OG0000035	Pram.g_01378, Pram.g_01381	Syao.g_01486
OG0000037	Pram.g_00093	Syao.g_00374
OG0000038	Pram.g_01884	Syao.g_02440, Syao.g_02442
OG0000039	Pram.g_00777	Syao.g_00704
OG0000042	Pram.g_01841	Syao.g_00019, Syao.g_01941
OG0000045	Pram.g_01184	Syao.g_01214, Syao.g_00148
OG0000046	Pram.g_00316	Syao.g_01845, Syao.g_01909
OG0000047	Pram.g_00359	Syao.g_01899
OG0000048	Pram.g_00259	Syao.g_02077
OG0000052	Pram.g_00040	Syao.g_01972
OG0000052	Pram.g_01436	Syao.g_01085
OG0000053	Pram.g_01580, Pram.g_01357	Syao.g_00067
OG0000055	Pram.g_01617	Syao.g_00498
OG0000059	Pram.g_01719	Syao.g_01959
OG0000061	Pram.g_01140	Syao.g_00123
OG0000062	Pram.g_01293	Syao.g_01576
OG0000063	Pram.g_01258	Syao.g_02230
OG0000064	Pram.g_00052	Syao.g_02607, Syao.g_00495, Syao.g_01462, Syao.g_02605, Syao.g_01898
OG0000065	Pram.g_00091	Syao.g_02600
OG0000066	Pram.g_01558	Syao.g_01422
OG0000067	Pram.g_00809	Syao.g_00756
OG0000068	Pram.g_01468	Syao.g_00868, Syao.g_00036
OG0000069	Pram.g_00391	Syao.g_00313
OG0000070	Pram.g_00385	Syao.g_00330
OG0000071	Pram.g_01230	Syao.g_01433
OG0000072	Pram.g_00156	Syao.g_02509, Syao.g_01749
OG0000073	Pram.g_00437	Syao.g_00103
OG0000075	Pram.g_01807	Syao.g_02257
OG0000076	Pram.g_01833	Syao.g_01949
OG0000079	Pram.g_00240	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105
OG0000082	Pram.g_01559	Syao.g_01035
OG0000084	Pram.g_01384	Syao.g_02606
OG0000085	Pram.g_01265	Syao.g_01569
