Orthogroup	Prba	Prat
OG0000000	Prba.g_00269	Prat.g_01549
OG0000000	Prba.g_00003, Prba.g_00270	Prat.g_01510, Prat.g_01189, Prat.g_01547
OG0000001	Prba.g_00203	Prat.g_00977
OG0000001	Prba.g_01639	Prat.g_00751, Prat.g_01462, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187
OG0000002	Prba.g_01081, Prba.g_01080	Prat.g_00851
OG0000002	Prba.g_00211	Prat.g_01286, Prat.g_01285
OG0000003	Prba.g_01832	Prat.g_01473
OG0000004	Prba.g_01172, Prba.g_00268	Prat.g_01190
OG0000005	Prba.g_01563	Prat.g_00824
OG0000006	Prba.g_01157, Prba.g_01550, Prba.g_00734	Prat.g_00634
OG0000008	Prba.g_00964	Prat.g_00458
OG0000008	Prba.g_00226	Prat.g_01592
OG0000009	Prba.g_01120	Prat.g_01280
OG0000010	Prba.g_01519	Prat.g_01180
OG0000010	Prba.g_00468	Prat.g_00255
OG0000012	Prba.g_01213	Prat.g_00278
OG0000013	Prba.g_00276, Prba.g_01893	Prat.g_01451
OG0000014	Prba.g_00159	Prat.g_01267
OG0000015	Prba.g_00913	Prat.g_00374
OG0000016	Prba.g_01538	Prat.g_00701
OG0000017	Prba.g_01175, Prba.g_00991	Prat.g_01548, Prat.g_01474
OG0000018	Prba.g_01719	Prat.g_00560, Prat.g_00567
OG0000019	Prba.g_00876	Prat.g_01580, Prat.g_00639, Prat.g_00615
OG0000020	Prba.g_00200	Prat.g_00647, Prat.g_01452
OG0000022	Prba.g_00460	Prat.g_00248
OG0000023	Prba.g_00245, Prba.g_00858	Prat.g_00461
OG0000024	Prba.g_01164	Prat.g_01489
OG0000025	Prba.g_01558	Prat.g_00622
OG0000026	Prba.g_01174	Prat.g_01191
OG0000028	Prba.g_01131	Prat.g_00376
OG0000029	Prba.g_01518	Prat.g_00852
OG0000031	Prba.g_00775	Prat.g_01796
OG0000034	Prba.g_00713	Prat.g_01352, Prat.g_01353
OG0000035	Prba.g_00275	Prat.g_01400
OG0000036	Prba.g_00737	Prat.g_01470
OG0000038	Prba.g_00173	Prat.g_01266
OG0000039	Prba.g_01806	Prat.g_00014
OG0000041	Prba.g_01694	Prat.g_00586
