Orthogroup	Prba	Prad
OG0000000	Prba.g_00243	Prad.g_01982
OG0000000	Prba.g_00269	Prad.g_00392
OG0000000	Prba.g_00270	Prad.g_00393
OG0000001	Prba.g_00203	Prad.g_00601
OG0000001	Prba.g_01639	Prad.g_01252
OG0000002	Prba.g_01081, Prba.g_01080	Prad.g_01994, Prad.g_01434
OG0000002	Prba.g_00211	Prad.g_00609
OG0000003	Prba.g_01832	Prad.g_01995
OG0000004	Prba.g_01172	Prad.g_00350
OG0000004	Prba.g_00268	Prad.g_00389
OG0000005	Prba.g_01570	Prad.g_01075
OG0000005	Prba.g_01563	Prad.g_01082
OG0000005	Prba.g_01171	Prad.g_00345
OG0000006	Prba.g_01157	Prad.g_00330
OG0000006	Prba.g_01550	Prad.g_01097
OG0000006	Prba.g_00734	Prad.g_00650
OG0000007	Prba.g_01304	Prad.g_00377
OG0000007	Prba.g_00901	Prad.g_01215
OG0000007	Prba.g_00878	Prad.g_00726
OG0000008	Prba.g_00964	Prad.g_00132
OG0000008	Prba.g_00226	Prad.g_00941
OG0000010	Prba.g_01519	Prad.g_01125
OG0000010	Prba.g_00468	Prad.g_01742
OG0000011	Prba.g_00869	Prad.g_00734
OG0000011	Prba.g_01551	Prad.g_01096
OG0000012	Prba.g_00868	Prad.g_00735
OG0000013	Prba.g_00276	Prad.g_00401
OG0000013	Prba.g_01893	Prad.g_01888
OG0000014	Prba.g_00522	Prad.g_01685
OG0000015	Prba.g_00913	Prad.g_00683
OG0000015	Prba.g_00546	Prad.g_01661
OG0000016	Prba.g_01538	Prad.g_01108
OG0000017	Prba.g_01175	Prad.g_00353
OG0000018	Prba.g_01719	Prad.g_01387
OG0000019	Prba.g_00876	Prad.g_00728
OG0000020	Prba.g_00200	Prad.g_00598
OG0000021	Prba.g_00693	Prad.g_00494
OG0000022	Prba.g_00460	Prad.g_01750
OG0000023	Prba.g_00245	Prad.g_01981
OG0000023	Prba.g_00858	Prad.g_00745
OG0000024	Prba.g_01164	Prad.g_00338
OG0000025	Prba.g_01558	Prad.g_01088
OG0000026	Prba.g_01174	Prad.g_00352
OG0000027	Prba.g_01645	Prad.g_01246
OG0000028	Prba.g_01150	Prad.g_00323
OG0000029	Prba.g_01518	Prad.g_01126
OG0000030	Prba.g_01517	Prad.g_01127
OG0000031	Prba.g_00775	Prad.g_01624
OG0000032	Prba.g_01826	Prad.g_01953
OG0000033	Prba.g_00301	Prad.g_00427
OG0000033	Prba.g_01567	Prad.g_01078
OG0000034	Prba.g_00713	Prad.g_00515
