Orthogroup	Prba	Praz
OG0000000	Prba.g_00243	Praz.g_00894
OG0000000	Prba.g_00269	Praz.g_00921
OG0000000	Prba.g_00270	Praz.g_00694
OG0000001	Prba.g_00203	Praz.g_01146
OG0000001	Prba.g_01639	Praz.g_01652
OG0000002	Prba.g_01081	Praz.g_01939
OG0000002	Prba.g_01080	Praz.g_01940
OG0000002	Prba.g_00211	Praz.g_01154
OG0000003	Prba.g_01832	Praz.g_00404
OG0000004	Prba.g_01172	Praz.g_01200
OG0000004	Prba.g_00268	Praz.g_00920
OG0000005	Prba.g_01570	Praz.g_01583
OG0000005	Prba.g_01563	Praz.g_01576
OG0000005	Prba.g_01171	Praz.g_01201
OG0000006	Prba.g_01157	Praz.g_01215
OG0000006	Prba.g_01550	Praz.g_01563
OG0000006	Prba.g_00734	Praz.g_00045
OG0000007	Prba.g_01304	Praz.g_01317
OG0000007	Prba.g_01115	Praz.g_01258
OG0000007	Prba.g_00901	Praz.g_00767
OG0000007	Prba.g_00878	Praz.g_00790
OG0000007	Prba.g_01104	Praz.g_01269
OG0000008	Prba.g_00964	Praz.g_01831
OG0000008	Prba.g_00226	Praz.g_00877
OG0000009	Prba.g_01120	Praz.g_01253
OG0000010	Prba.g_01519	Praz.g_01532
OG0000010	Prba.g_00468	Praz.g_00609
OG0000011	Prba.g_00869	Praz.g_00799
OG0000011	Prba.g_01551	Praz.g_01564
OG0000012	Prba.g_00868	Praz.g_00800
OG0000013	Prba.g_00276	Praz.g_00929
OG0000013	Prba.g_01893	Praz.g_00465
OG0000014	Prba.g_00159	Praz.g_01102
OG0000014	Prba.g_00522	Praz.g_00663
OG0000015	Prba.g_00913	Praz.g_01921
OG0000015	Prba.g_00546	Praz.g_00687
OG0000016	Prba.g_01538	Praz.g_01551
OG0000017	Prba.g_01175	Praz.g_01197
OG0000017	Prba.g_00991	Praz.g_01858
OG0000018	Prba.g_01719	Praz.g_01732
OG0000019	Prba.g_00876	Praz.g_00792
OG0000020	Prba.g_00200	Praz.g_01143
OG0000021	Prba.g_00693	Praz.g_01021
OG0000022	Prba.g_00460	Praz.g_00601
OG0000023	Prba.g_00245	Praz.g_00896
OG0000023	Prba.g_00858	Praz.g_00810
OG0000024	Prba.g_01164	Praz.g_01208
OG0000025	Prba.g_01558	Praz.g_01571
OG0000026	Prba.g_01174	Praz.g_01198
OG0000027	Prba.g_01645	Praz.g_01658
OG0000028	Prba.g_01150	Praz.g_01222
OG0000029	Prba.g_01518	Praz.g_01531
OG0000030	Prba.g_01517	Praz.g_01530
OG0000031	Prba.g_00775	Praz.g_00198
OG0000032	Prba.g_01826	Praz.g_00398
OG0000033	Prba.g_00301	Praz.g_00954
OG0000033	Prba.g_01567	Praz.g_01580
OG0000034	Prba.g_00713	Praz.g_01041
OG0000035	Prba.g_00275	Praz.g_00928
OG0000036	Prba.g_00737	Praz.g_00048
OG0000037	Prba.g_01168	Praz.g_01204
OG0000038	Prba.g_00173	Praz.g_01116
OG0000039	Prba.g_01806	Praz.g_00378
OG0000040	Prba.g_01165	Praz.g_01207
OG0000040	Prba.g_00900	Praz.g_00768
OG0000041	Prba.g_01694	Praz.g_01707
OG0000042	Prba.g_00821	Praz.g_00152
OG0000043	Prba.g_01226	Praz.g_00104
OG0000043	Prba.g_01409	Praz.g_01422
OG0000045	Prba.g_01731	Praz.g_01744
OG0000046	Prba.g_01543	Praz.g_01556
OG0000047	Prba.g_00064	Praz.g_00755
OG0000048	Prba.g_00160	Praz.g_01103
OG0000049	Prba.g_00153	Praz.g_01096
OG0000050	Prba.g_00622	Praz.g_00526
OG0000051	Prba.g_00854	Praz.g_00814
OG0000052	Prba.g_01041	Praz.g_01908
OG0000053	Prba.g_01594	Praz.g_01607
OG0000054	Prba.g_00233	Praz.g_00884
OG0000055	Prba.g_00768	Praz.g_00205
OG0000056	Prba.g_01824	Praz.g_00396
OG0000057	Prba.g_01945	Praz.g_00517
OG0000058	Prba.g_00864	Praz.g_00804
OG0000059	Prba.g_00922	Praz.g_01789
OG0000060	Prba.g_01581	Praz.g_01594
OG0000061	Prba.g_01548	Praz.g_01561
OG0000062	Prba.g_01477	Praz.g_01490
OG0000063	Prba.g_00727	Praz.g_00038
OG0000065	Prba.g_00456	Praz.g_00597
OG0000066	Prba.g_00986	Praz.g_01853
OG0000067	Prba.g_01619	Praz.g_01632
OG0000068	Prba.g_01565	Praz.g_01578
OG0000069	Prba.g_00099	Praz.g_00027
OG0000069	Prba.g_01317	Praz.g_01330
OG0000070	Prba.g_01264	Praz.g_00066
OG0000071	Prba.g_01135	Praz.g_01237
OG0000072	Prba.g_01192	Praz.g_01180
OG0000074	Prba.g_00175	Praz.g_01118
OG0000075	Prba.g_00429	Praz.g_00263
OG0000076	Prba.g_00149	Praz.g_01092
OG0000077	Prba.g_01804	Praz.g_00376
OG0000078	Prba.g_00538	Praz.g_00679
OG0000079	Prba.g_00877	Praz.g_00791
OG0000080	Prba.g_01648	Praz.g_01661
OG0000081	Prba.g_01626	Praz.g_01639
OG0000082	Prba.g_01492	Praz.g_01505
OG0000083	Prba.g_01427	Praz.g_01440
OG0000084	Prba.g_01337	Praz.g_01350
OG0000085	Prba.g_01216	Praz.g_00114
OG0000086	Prba.g_00097	Praz.g_00025
OG0000087	Prba.g_00242	Praz.g_00893
OG0000088	Prba.g_00899	Praz.g_00769
OG0000088	Prba.g_01140	Praz.g_01232
OG0000089	Prba.g_01145	Praz.g_01227
OG0000089	Prba.g_00249	Praz.g_00901
OG0000090	Prba.g_00155	Praz.g_01098
OG0000091	Prba.g_00705	Praz.g_01033
OG0000092	Prba.g_00261	Praz.g_00913
OG0000093	Prba.g_00381	Praz.g_00311
OG0000094	Prba.g_00426	Praz.g_00266
OG0000095	Prba.g_01069	Praz.g_00232
OG0000096	Prba.g_00813	Praz.g_00160
OG0000097	Prba.g_00831	Praz.g_00142
OG0000098	Prba.g_01796	Praz.g_00368
OG0000099	Prba.g_01816	Praz.g_00388
OG0000100	Prba.g_01833	Praz.g_00405
OG0000100	Prba.g_01044	Praz.g_01911
OG0000101	Prba.g_01843	Praz.g_00415
OG0000102	Prba.g_01901	Praz.g_00473
OG0000103	Prba.g_01909	Praz.g_00481
