Orthogroup	Prba	Prax
OG0000000	Prba.g_00269	Prax.g_01608
OG0000000	Prba.g_00270	Prax.g_01609
OG0000001	Prba.g_00203	Prax.g_01870
OG0000001	Prba.g_01639	Prax.g_00964
OG0000002	Prba.g_00211	Prax.g_01878
OG0000003	Prba.g_01832	Prax.g_01976
OG0000004	Prba.g_01172	Prax.g_01919
OG0000004	Prba.g_00268	Prax.g_01606
OG0000005	Prba.g_01570	Prax.g_00444
OG0000005	Prba.g_01563	Prax.g_00437
OG0000005	Prba.g_01171	Prax.g_01924
OG0000006	Prba.g_01157	Prax.g_01936
OG0000006	Prba.g_01550	Prax.g_00424
OG0000006	Prba.g_00734	Prax.g_00141
OG0000007	Prba.g_01304	Prax.g_01162
OG0000007	Prba.g_01115	Prax.g_01960
OG0000007	Prba.g_00901	Prax.g_01958
OG0000007	Prba.g_00878	Prax.g_00791
OG0000008	Prba.g_00964	Prax.g_00704
OG0000008	Prba.g_00226	Prax.g_01559
OG0000010	Prba.g_01519	Prax.g_00393
OG0000010	Prba.g_00468	Prax.g_00926
OG0000011	Prba.g_00869	Prax.g_00798
OG0000011	Prba.g_01551	Prax.g_00425
OG0000012	Prba.g_00868	Prax.g_00799
OG0000013	Prba.g_00276	Prax.g_01617
OG0000014	Prba.g_00522	Prax.g_00869
OG0000015	Prba.g_00546	Prax.g_00843
OG0000016	Prba.g_01538	Prax.g_00523
OG0000017	Prba.g_01175	Prax.g_01916
OG0000018	Prba.g_01719	Prax.g_00057
OG0000019	Prba.g_00876	Prax.g_00793
OG0000020	Prba.g_00200	Prax.g_01867
OG0000021	Prba.g_00693	Prax.g_01708
OG0000022	Prba.g_00460	Prax.g_01972
OG0000023	Prba.g_00245	Prax.g_01587
OG0000023	Prba.g_00858	Prax.g_00808
OG0000024	Prba.g_01164	Prax.g_01931
OG0000025	Prba.g_01558	Prax.g_00432
OG0000026	Prba.g_01174	Prax.g_01917
OG0000027	Prba.g_01645	Prax.g_00970
OG0000028	Prba.g_01150	Prax.g_01943
OG0000029	Prba.g_01518	Prax.g_00392
OG0000030	Prba.g_01517	Prax.g_00391
OG0000031	Prba.g_00775	Prax.g_01401
OG0000032	Prba.g_01826	Prax.g_00280
OG0000033	Prba.g_00301	Prax.g_01641
OG0000033	Prba.g_01567	Prax.g_00441
OG0000034	Prba.g_00713	Prax.g_01733, Prax.g_01728
OG0000035	Prba.g_00275	Prax.g_01616
OG0000036	Prba.g_00737	Prax.g_00138
OG0000037	Prba.g_01168	Prax.g_01927
OG0000038	Prba.g_00173	Prax.g_01831
OG0000040	Prba.g_01165	Prax.g_01930
OG0000040	Prba.g_00900	Prax.g_00776
OG0000041	Prba.g_01694	Prax.g_00082
OG0000042	Prba.g_00821	Prax.g_01447
OG0000043	Prba.g_01226	Prax.g_01244
OG0000045	Prba.g_01731	Prax.g_00045
OG0000046	Prba.g_01543	Prax.g_00415
OG0000047	Prba.g_00064	Prax.g_00200
OG0000049	Prba.g_00153	Prax.g_01823
OG0000050	Prba.g_00622	Prax.g_01052
OG0000051	Prba.g_00854	Prax.g_00813
OG0000052	Prba.g_01041	Prax.g_00772
OG0000053	Prba.g_01594	Prax.g_00485
OG0000054	Prba.g_00233	Prax.g_01566
OG0000055	Prba.g_00768	Prax.g_01394
OG0000056	Prba.g_01824	Prax.g_00282
OG0000057	Prba.g_01945	Prax.g_01061
OG0000058	Prba.g_00864	Prax.g_00803
OG0000059	Prba.g_00922	Prax.g_00662
OG0000060	Prba.g_01581	Prax.g_00472
OG0000061	Prba.g_01548	Prax.g_00421
OG0000062	Prba.g_01477	Prax.g_00351
OG0000063	Prba.g_00727	Prax.g_00148
OG0000065	Prba.g_00456	Prax.g_00981
OG0000066	Prba.g_00986	Prax.g_00727
OG0000067	Prba.g_01619	Prax.g_00944
OG0000068	Prba.g_01565	Prax.g_00439
OG0000069	Prba.g_00099	Prax.g_00159
OG0000069	Prba.g_01317	Prax.g_01149
OG0000070	Prba.g_01264	Prax.g_01204
OG0000071	Prba.g_01135	Prax.g_01959
OG0000072	Prba.g_01192	Prax.g_01899
OG0000074	Prba.g_00175	Prax.g_01832
OG0000075	Prba.g_00429	Prax.g_01338
OG0000076	Prba.g_00149	Prax.g_01838
OG0000077	Prba.g_01804	Prax.g_01974
OG0000078	Prba.g_00538	Prax.g_00853, Prax.g_00852
OG0000079	Prba.g_00877	Prax.g_00792
OG0000080	Prba.g_01648	Prax.g_00973
OG0000081	Prba.g_01626	Prax.g_00951
OG0000082	Prba.g_01492	Prax.g_00366
OG0000083	Prba.g_01427	Prax.g_00501, Prax.g_00530, Prax.g_00301
OG0000084	Prba.g_01337	Prax.g_01129
OG0000085	Prba.g_01216	Prax.g_01254
OG0000086	Prba.g_00097	Prax.g_00161
OG0000088	Prba.g_00899	Prax.g_00448
OG0000088	Prba.g_01140	Prax.g_01952
OG0000089	Prba.g_01145	Prax.g_01948
OG0000089	Prba.g_00249	Prax.g_01589
OG0000090	Prba.g_00155	Prax.g_01825
OG0000091	Prba.g_00705	Prax.g_01720
OG0000092	Prba.g_00261	Prax.g_01600
OG0000093	Prba.g_00381	Prax.g_01286
OG0000094	Prba.g_00426	Prax.g_01335
OG0000095	Prba.g_01069	Prax.g_01368
OG0000096	Prba.g_00813	Prax.g_01439
OG0000097	Prba.g_00831	Prax.g_01456
OG0000098	Prba.g_01796	Prax.g_01493
OG0000099	Prba.g_01816	Prax.g_00290
OG0000100	Prba.g_01833	Prax.g_00274
OG0000101	Prba.g_01843	Prax.g_00624
OG0000102	Prba.g_01901	Prax.g_01106
