Orthogroup	Prav	Prbj
OG0000000	Prav.g_01466	Prbj.g_02517
OG0000000	Prav.g_01276	Prbj.g_00030
OG0000001	Prav.g_01730, Prav.g_01715	Prbj.g_00166
OG0000001	Prav.g_01738	Prbj.g_00164
OG0000002	Prav.g_01458	Prbj.g_01549, Prbj.g_02662, Prbj.g_02690, Prbj.g_00672, Prbj.g_00169
OG0000003	Prav.g_01413, Prav.g_01698, Prav.g_01019	Prbj.g_00165
OG0000004	Prav.g_00338	Prbj.g_00697, Prbj.g_01897, Prbj.g_00073
OG0000006	Prav.g_01095	Prbj.g_01610
OG0000006	Prav.g_01761	Prbj.g_00857
OG0000007	Prav.g_01749, Prav.g_01270, Prav.g_01750	Prbj.g_00928, Prbj.g_00929
OG0000009	Prav.g_00375, Prav.g_01896	Prbj.g_01349
OG0000011	Prav.g_01976	Prbj.g_00666
OG0000012	Prav.g_01194	Prbj.g_01761, Prbj.g_01769
OG0000013	Prav.g_00363, Prav.g_00961	Prbj.g_02502
OG0000016	Prav.g_01469	Prbj.g_00740, Prbj.g_00778
OG0000018	Prav.g_02001	Prbj.g_02699
OG0000019	Prav.g_00984	Prbj.g_01774
OG0000024	Prav.g_01952	Prbj.g_01442
OG0000026	Prav.g_00101	Prbj.g_01208
OG0000028	Prav.g_01578	Prbj.g_01056
OG0000034	Prav.g_01533	Prbj.g_01487
OG0000036	Prav.g_01182	Prbj.g_01789
OG0000037	Prav.g_01221	Prbj.g_02552
OG0000038	Prav.g_00360	Prbj.g_00050, Prbj.g_01572
OG0000039	Prav.g_00872	Prbj.g_00521, Prbj.g_00912
OG0000040	Prav.g_00979	Prbj.g_02392
OG0000042	Prav.g_00306	Prbj.g_02178, Prbj.g_00913
OG0000043	Prav.g_00381	Prbj.g_00023, Prbj.g_00025
OG0000044	Prav.g_00065	Prbj.g_00971
OG0000045	Prav.g_01512	Prbj.g_01467
OG0000046	Prav.g_01754	Prbj.g_00869
OG0000047	Prav.g_00689	Prbj.g_01598
OG0000048	Prav.g_00696	Prbj.g_01808, Prbj.g_00001
OG0000050	Prav.g_00099, Prav.g_01324	Prbj.g_01204
OG0000051	Prav.g_00881	Prbj.g_00530
OG0000052	Prav.g_00989	Prbj.g_00875
OG0000053	Prav.g_01137	Prbj.g_02141
OG0000054	Prav.g_00354, Prav.g_01325	Prbj.g_01324
OG0000055	Prav.g_00419	Prbj.g_02437
OG0000056	Prav.g_00021, Prav.g_01388	Prbj.g_00227
OG0000058	Prav.g_01073	Prbj.g_00128
OG0000059	Prav.g_01296	Prbj.g_00758
OG0000062	Prav.g_00033	Prbj.g_01990
OG0000063	Prav.g_01390	Prbj.g_01915
OG0000065	Prav.g_01438	Prbj.g_01728
OG0000066	Prav.g_01513	Prbj.g_01465
OG0000068	Prav.g_00632	Prbj.g_00415, Prbj.g_00981
OG0000069	Prav.g_01499	Prbj.g_00659, Prbj.g_01468
OG0000070	Prav.g_01421	Prbj.g_00371, Prbj.g_02533
OG0000071	Prav.g_00079	Prbj.g_02085
OG0000072	Prav.g_01968	Prbj.g_01460
OG0000073	Prav.g_01267	Prbj.g_00824
OG0000074	Prav.g_01289	Prbj.g_00933
OG0000075	Prav.g_00404	Prbj.g_02419
OG0000076	Prav.g_00933	Prbj.g_01838
OG0000078	Prav.g_01514	Prbj.g_01464
OG0000079	Prav.g_01551, Prav.g_01656	Prbj.g_00881
OG0000080	Prav.g_01705	Prbj.g_01678
OG0000081	Prav.g_00663	Prbj.g_01500
OG0000083	Prav.g_00789	Prbj.g_02076
OG0000084	Prav.g_00792	Prbj.g_02079
OG0000085	Prav.g_00091	Prbj.g_01195
OG0000087	Prav.g_00120	Prbj.g_01921
OG0000088	Prav.g_00178	Prbj.g_01551
OG0000089	Prav.g_00186	Prbj.g_01566
OG0000090	Prav.g_00204	Prbj.g_01547
OG0000091	Prav.g_00869	Prbj.g_00518
OG0000092	Prav.g_00868	Prbj.g_00517
OG0000093	Prav.g_00854	Prbj.g_01138
OG0000094	Prav.g_00836	Prbj.g_01167
OG0000095	Prav.g_00831	Prbj.g_00288
OG0000096	Prav.g_01898	Prbj.g_01352
