Orthogroup	Prav	Prah
OG0000000	Prav.g_01466	Prah.g_00562
OG0000000	Prav.g_01276	Prah.g_01226
OG0000001	Prav.g_01730, Prav.g_01715	Prah.g_01154, Prah.g_01152, Prah.g_01346
OG0000001	Prav.g_01738	Prah.g_01348
OG0000002	Prav.g_01458	Prah.g_02270, Prah.g_00896, Prah.g_01159, Prah.g_00324, Prah.g_01343
OG0000003	Prav.g_01413, Prav.g_01698, Prav.g_01019	Prah.g_01347
OG0000004	Prav.g_00338	Prah.g_01175, Prah.g_00215
OG0000006	Prav.g_01095	Prah.g_01546
OG0000006	Prav.g_01761	Prah.g_01676
OG0000007	Prav.g_01749, Prav.g_01270, Prav.g_01750	Prah.g_00969, Prah.g_00970
OG0000009	Prav.g_00375, Prav.g_01896	Prah.g_02086
OG0000011	Prav.g_01976	Prah.g_00353
OG0000012	Prav.g_01194	Prah.g_01397, Prah.g_01405
OG0000013	Prav.g_00363, Prav.g_00961	Prah.g_01155, Prah.g_00576
OG0000016	Prav.g_01469	Prah.g_01007, Prah.g_01048
OG0000018	Prav.g_02001	Prah.g_00475, Prah.g_01767
OG0000019	Prav.g_00984	Prah.g_01410
OG0000024	Prav.g_01952	Prah.g_02171
OG0000025	Prav.g_00247, Prav.g_01013	Prah.g_01120
OG0000026	Prav.g_00101	Prah.g_00042
OG0000028	Prav.g_01578	Prah.g_00408
OG0000033	Prav.g_01385	Prah.g_01270
OG0000033	Prav.g_00081	Prah.g_00015
OG0000034	Prav.g_01533	Prah.g_02219
OG0000036	Prav.g_01182	Prah.g_01427
OG0000037	Prav.g_01221	Prah.g_00524
OG0000038	Prav.g_00360	Prah.g_01209, Prah.g_00170
OG0000039	Prav.g_00872	Prah.g_02304, Prah.g_00957
OG0000040	Prav.g_00979	Prah.g_00688
OG0000042	Prav.g_00306	Prah.g_00887, Prah.g_00958
OG0000043	Prav.g_00381	Prah.g_01233, Prah.g_01231
OG0000044	Prav.g_00065	Prah.g_01322
OG0000045	Prav.g_01512	Prah.g_02195
OG0000046	Prav.g_01754	Prah.g_01666
OG0000047	Prav.g_00689	Prah.g_00150
OG0000048	Prav.g_00696	Prah.g_01256, Prah.g_00135
OG0000050	Prav.g_00099, Prav.g_01324	Prah.g_00038
OG0000051	Prav.g_00881	Prah.g_02295
OG0000052	Prav.g_00989	Prah.g_01660
OG0000053	Prav.g_01137	Prah.g_01485
OG0000054	Prav.g_00354, Prav.g_01325	Prah.g_01812
OG0000055	Prav.g_00419	Prah.g_00641
OG0000056	Prav.g_00021, Prav.g_01388	Prah.g_02425
OG0000057	Prav.g_00801	Prah.g_01778
OG0000058	Prav.g_01073	Prah.g_00312
OG0000059	Prav.g_01296	Prah.g_01027
OG0000062	Prav.g_00033	Prah.g_02524
OG0000063	Prav.g_01390	Prah.g_01257
OG0000065	Prav.g_01438	Prah.g_01364
OG0000066	Prav.g_01513	Prah.g_02192
OG0000068	Prav.g_00632	Prah.g_01995
OG0000069	Prav.g_01499	Prah.g_00358, Prah.g_02196
OG0000070	Prav.g_01421	Prah.g_00342, Prah.g_00341, Prah.g_01968, Prah.g_01082, Prah.g_00543
OG0000071	Prav.g_00079	Prah.g_00013
