Orthogroup	Prav	Prbi
OG0000000	Prav.g_01466	Prbi.g_01432
OG0000000	Prav.g_01276	Prbi.g_00681
OG0000001	Prav.g_01821	Prbi.g_01268
OG0000001	Prav.g_01730, Prav.g_01715	Prbi.g_01370
OG0000002	Prav.g_01458	Prbi.g_01424
OG0000002	Prav.g_01820, Prav.g_02007	Prbi.g_01270
OG0000003	Prav.g_01413	Prbi.g_01371
OG0000003	Prav.g_01698	Prbi.g_01710
OG0000004	Prav.g_00330	Prbi.g_00775
OG0000004	Prav.g_00338	Prbi.g_00782
OG0000005	Prav.g_01695	Prbi.g_01709
OG0000006	Prav.g_01095	Prbi.g_00500
OG0000006	Prav.g_01761	Prbi.g_01787
OG0000007	Prav.g_01749	Prbi.g_01764
OG0000007	Prav.g_01270	Prbi.g_00675
OG0000007	Prav.g_01750	Prbi.g_01539, Prbi.g_01765
OG0000008	Prav.g_01000	Prbi.g_00408
OG0000008	Prav.g_01016	Prbi.g_01331
OG0000009	Prav.g_00375	Prbi.g_00827
OG0000009	Prav.g_01896	Prbi.g_00273
OG0000010	Prav.g_01400	Prbi.g_01352
OG0000011	Prav.g_01976	Prbi.g_00354
OG0000012	Prav.g_01194	Prbi.g_00600
OG0000013	Prav.g_00363	Prbi.g_00810
OG0000013	Prav.g_00961	Prbi.g_01304
OG0000014	Prav.g_01416	Prbi.g_01374
OG0000014	Prav.g_01068	Prbi.g_00472
OG0000015	Prav.g_00998	Prbi.g_00406
OG0000016	Prav.g_01469	Prbi.g_01435
OG0000017	Prav.g_01598	Prbi.g_01611
OG0000018	Prav.g_02001	Prbi.g_00265
OG0000019	Prav.g_00984	Prbi.g_00389
OG0000020	Prav.g_00993	Prbi.g_00398
OG0000021	Prav.g_00377	Prbi.g_00829
OG0000022	Prav.g_01736, Prav.g_01415	Prbi.g_01373
OG0000023	Prav.g_01688	Prbi.g_01701
OG0000024	Prav.g_01952	Prbi.g_00330
OG0000025	Prav.g_00247	Prbi.g_01122
OG0000026	Prav.g_00101	Prbi.g_00033
OG0000027	Prav.g_00333	Prbi.g_00778
OG0000028	Prav.g_01578	Prbi.g_01589, Prbi.g_01591
OG0000029	Prav.g_01689	Prbi.g_01702
OG0000031	Prav.g_01410	Prbi.g_01364
OG0000033	Prav.g_00081	Prbi.g_00013
OG0000034	Prav.g_01533	Prbi.g_01478
OG0000035	Prav.g_01877	Prbi.g_00936
OG0000036	Prav.g_01182	Prbi.g_00587
OG0000037	Prav.g_01221	Prbi.g_00625
OG0000038	Prav.g_00360	Prbi.g_00805
OG0000039	Prav.g_00872	Prbi.g_00190
OG0000040	Prav.g_00979	Prbi.g_00384
OG0000042	Prav.g_00306	Prbi.g_00745
OG0000043	Prav.g_00381	Prbi.g_00832
OG0000044	Prav.g_00065	Prbi.g_01207
OG0000045	Prav.g_01512	Prbi.g_01461
OG0000046	Prav.g_01754	Prbi.g_01780
OG0000047	Prav.g_00689	Prbi.g_01994
OG0000048	Prav.g_00696	Prbi.g_02001
OG0000050	Prav.g_00099	Prbi.g_00031
OG0000051	Prav.g_00881	Prbi.g_00181
OG0000052	Prav.g_00989	Prbi.g_00394
OG0000053	Prav.g_01137	Prbi.g_00542
OG0000054	Prav.g_00354	Prbi.g_00799
OG0000055	Prav.g_00419	Prbi.g_00869
OG0000056	Prav.g_00021	Prbi.g_01163
OG0000057	Prav.g_00801	Prbi.g_00261
OG0000058	Prav.g_01073	Prbi.g_00478
OG0000059	Prav.g_01296	Prbi.g_00702
OG0000060	Prav.g_00335	Prbi.g_00780
OG0000061	Prav.g_00031	Prbi.g_01172
OG0000061	Prav.g_00576	Prbi.g_01029
OG0000062	Prav.g_00033	Prbi.g_01174
OG0000063	Prav.g_01390	Prbi.g_01330
OG0000064	Prav.g_01396	Prbi.g_01341
OG0000064	Prav.g_01729	Prbi.g_01740
OG0000065	Prav.g_01438	Prbi.g_01391
OG0000066	Prav.g_01513	Prbi.g_01460
OG0000068	Prav.g_00632	Prbi.g_01938
OG0000069	Prav.g_01499	Prbi.g_01497
OG0000071	Prav.g_00079	Prbi.g_00011
OG0000072	Prav.g_01968	Prbi.g_00346
OG0000073	Prav.g_01267	Prbi.g_00672
OG0000074	Prav.g_01289	Prbi.g_00694
OG0000075	Prav.g_00404	Prbi.g_00854
OG0000076	Prav.g_00933	Prbi.g_01086
OG0000078	Prav.g_01514	Prbi.g_01462
OG0000079	Prav.g_01551	Prbi.g_01482
OG0000079	Prav.g_01656	Prbi.g_01668
OG0000080	Prav.g_01705	Prbi.g_01725
OG0000081	Prav.g_00663	Prbi.g_01968
OG0000082	Prav.g_00751	Prbi.g_02069
OG0000083	Prav.g_00789	Prbi.g_00003
OG0000084	Prav.g_00792	Prbi.g_00006
OG0000085	Prav.g_00091	Prbi.g_00023
OG0000086	Prav.g_00110	Prbi.g_00048
OG0000087	Prav.g_00120	Prbi.g_00060
OG0000088	Prav.g_00178	Prbi.g_00120
OG0000089	Prav.g_00186	Prbi.g_00129
OG0000090	Prav.g_00204	Prbi.g_00147
OG0000091	Prav.g_00869	Prbi.g_00193
