Orthogroup	Prav	Pram
OG0000000	Prav.g_01466	Pram.g_00873, Pram.g_00879
OG0000000	Prav.g_01276	Pram.g_00768, Pram.g_01278, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174
OG0000002	Prav.g_01458	Pram.g_01953, Pram.g_01954
OG0000002	Prav.g_01734, Prav.g_01820, Prav.g_02007, Prav.g_00962	Pram.g_00719
OG0000003	Prav.g_01413, Prav.g_01698, Prav.g_01019	Pram.g_01513, Pram.g_01176
OG0000004	Prav.g_00338	Pram.g_01207
OG0000005	Prav.g_01695, Prav.g_00973	Pram.g_01511
OG0000006	Prav.g_01095	Pram.g_00433
OG0000006	Prav.g_01761	Pram.g_01632
OG0000007	Prav.g_01749	Pram.g_01263
OG0000007	Prav.g_01750	Pram.g_01262
OG0000009	Prav.g_00375	Pram.g_01164
OG0000009	Prav.g_01896	Pram.g_00237
OG0000010	Prav.g_01732, Prav.g_01400	Pram.g_01505, Pram.g_00621
OG0000012	Prav.g_01194	Pram.g_00542, Pram.g_00535
OG0000013	Prav.g_00363, Prav.g_00961	Pram.g_01545, Pram.g_00696
OG0000015	Prav.g_00998	Pram.g_01597, Pram.g_00618, Pram.g_00662
OG0000016	Prav.g_01469	Pram.g_01283
OG0000018	Prav.g_02001	Pram.g_00229
OG0000019	Prav.g_00984	Pram.g_00794
OG0000020	Prav.g_00993	Pram.g_00259
OG0000021	Prav.g_00377	Pram.g_01544, Pram.g_00644
OG0000022	Prav.g_01736, Prav.g_01415	Pram.g_01561
OG0000023	Prav.g_01688	Pram.g_01284
OG0000024	Prav.g_01952	Pram.g_00295
OG0000025	Prav.g_01013	Pram.g_00706
OG0000028	Prav.g_01578	Pram.g_01381, Pram.g_01378
OG0000029	Prav.g_01689, Prav.g_01881	Pram.g_00391
OG0000033	Prav.g_01385	Pram.g_01193
OG0000034	Prav.g_01533	Pram.g_01436, Pram.g_00040
OG0000035	Prav.g_01877	Pram.g_00681
OG0000036	Prav.g_01182	Pram.g_01559
OG0000037	Prav.g_01221	Pram.g_00561
OG0000038	Prav.g_00360	Pram.g_01287
OG0000039	Prav.g_00872	Pram.g_00151
OG0000040	Prav.g_00979	Pram.g_00689
OG0000041	Prav.g_01022	Pram.g_01587
OG0000042	Prav.g_00306	Pram.g_00801
OG0000043	Prav.g_00381	Pram.g_00905
OG0000044	Prav.g_00065	Pram.g_01140
OG0000045	Prav.g_01512	Pram.g_01447
OG0000046	Prav.g_01754	Pram.g_01265
OG0000047	Prav.g_00689	Pram.g_01833
OG0000048	Prav.g_00696	Pram.g_01841
OG0000050	Prav.g_00099, Prav.g_01324	Pram.g_00018
OG0000051	Prav.g_00881	Pram.g_00142
OG0000052	Prav.g_00989	Pram.g_00677
OG0000053	Prav.g_01137	Pram.g_01558
OG0000054	Prav.g_01325	Pram.g_01517
OG0000055	Prav.g_00419	Pram.g_00832
OG0000056	Prav.g_01388	Pram.g_01191
OG0000057	Prav.g_00801	Pram.g_00224
OG0000058	Prav.g_01073	Pram.g_00411
OG0000059	Prav.g_01296	Pram.g_00792
OG0000060	Prav.g_00335	Pram.g_00631
OG0000062	Prav.g_00033	Pram.g_01546
OG0000063	Prav.g_01390	Pram.g_01112
OG0000065	Prav.g_01438	Pram.g_01230
OG0000066	Prav.g_01513	Pram.g_01446
OG0000067	Prav.g_01014, Prav.g_01334	Pram.g_01579
OG0000068	Prav.g_00632	Pram.g_01770
OG0000069	Prav.g_01499	Pram.g_01339
OG0000071	Prav.g_00079	Pram.g_01949
OG0000072	Prav.g_01968	Pram.g_00310
OG0000073	Prav.g_01267	Pram.g_01039
OG0000074	Prav.g_01289	Pram.g_00782
OG0000075	Prav.g_00404	Pram.g_00816
OG0000076	Prav.g_00933	Pram.g_00888
OG0000078	Prav.g_01514	Pram.g_01445
OG0000079	Prav.g_01551, Prav.g_01656	Pram.g_01293
OG0000080	Prav.g_01705	Pram.g_01554
OG0000081	Prav.g_00663	Pram.g_01805
OG0000083	Prav.g_00789	Pram.g_01941
OG0000084	Prav.g_00792	Pram.g_01944
OG0000085	Prav.g_00091	Pram.g_00010
OG0000086	Prav.g_00110	Pram.g_01588
OG0000087	Prav.g_00120	Pram.g_00036
OG0000088	Prav.g_00178	Pram.g_00099
OG0000089	Prav.g_00186	Pram.g_00108
OG0000090	Prav.g_00204	Pram.g_00125
OG0000091	Prav.g_00869	Pram.g_00154
OG0000092	Prav.g_00868	Pram.g_00155
OG0000093	Prav.g_00854	Pram.g_00168
OG0000094	Prav.g_00836	Pram.g_00187
OG0000095	Prav.g_00831	Pram.g_00192
OG0000096	Prav.g_01898	Pram.g_00239
OG0000097	Prav.g_01920	Pram.g_00262
OG0000099	Prav.g_01940	Pram.g_00283
OG0000100	Prav.g_01943	Pram.g_00286
OG0000101	Prav.g_00976	Pram.g_00354
OG0000102	Prav.g_00999	Pram.g_01589
OG0000103	Prav.g_01074	Pram.g_00412
OG0000104	Prav.g_01078	Pram.g_00416
OG0000105	Prav.g_01097	Pram.g_00437
OG0000106	Prav.g_01130	Pram.g_00470
OG0000107	Prav.g_01131	Pram.g_00471
OG0000108	Prav.g_01141, Prav.g_00954	Pram.g_00480
