Orthogroup	Prbe	Syar
OG0000001	Prbe.g_00400	Syar.g_00069, Syar.g_00070, Syar.g_02229
OG0000004	Prbe.g_01203	Syar.g_02051
OG0000004	Prbe.g_01784	Syar.g_02225, Syar.g_00842
OG0000005	Prbe.g_00228	Syar.g_02909
OG0000006	Prbe.g_01794	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Prbe.g_00636	Syar.g_01491
OG0000007	Prbe.g_00985	Syar.g_02929
OG0000008	Prbe.g_00036	Syar.g_02097
OG0000008	Prbe.g_00037	Syar.g_02098
OG0000010	Prbe.g_00096, Prbe.g_01411	Syar.g_01272
OG0000012	Prbe.g_00196	Syar.g_00690, Syar.g_02860
OG0000013	Prbe.g_01879	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167
OG0000014	Prbe.g_01861	Syar.g_00825
OG0000015	Prbe.g_01046, Prbe.g_01000	Syar.g_00451, Syar.g_00180
OG0000016	Prbe.g_01607	Syar.g_02859
OG0000017	Prbe.g_00536	Syar.g_03181
OG0000017	Prbe.g_00529	Syar.g_02180
OG0000018	Prbe.g_01571	Syar.g_01409
OG0000019	Prbe.g_01802, Prbe.g_01573	Syar.g_00163
OG0000025	Prbe.g_01258	Syar.g_01811
OG0000026	Prbe.g_00132	Syar.g_00505
OG0000027	Prbe.g_00012, Prbe.g_01121	Syar.g_02055, Syar.g_02835
OG0000028	Prbe.g_00034	Syar.g_00718
OG0000031	Prbe.g_00352	Syar.g_00714
OG0000032	Prbe.g_00272	Syar.g_01390
OG0000033	Prbe.g_00345	Syar.g_00105
OG0000034	Prbe.g_00882	Syar.g_00074, Syar.g_02790
OG0000035	Prbe.g_00311	Syar.g_02809
OG0000037	Prbe.g_01651	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Prbe.g_01156	Syar.g_00334, Syar.g_00336
OG0000039	Prbe.g_00461	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044
OG0000041	Prbe.g_00938	Syar.g_01370, Syar.g_02014, Syar.g_02993
OG0000042	Prbe.g_00766	Syar.g_00595, Syar.g_01970
OG0000045	Prbe.g_01593	Syar.g_02592
OG0000046	Prbe.g_01880	Syar.g_03233, Syar.g_01102, Syar.g_01105
OG0000048	Prbe.g_00906	Syar.g_00213
OG0000051	Prbe.g_00720	Syar.g_01597
OG0000052	Prbe.g_00158	Syar.g_00281
OG0000053	Prbe.g_00290, Prbe.g_01040	Syar.g_01413
OG0000054	Prbe.g_00527	Syar.g_02265
OG0000055	Prbe.g_01011	Syar.g_01386
OG0000057	Prbe.g_01206	Syar.g_01941, Syar.g_00006
OG0000058	Prbe.g_00351	Syar.g_00648
OG0000059	Prbe.g_01094	Syar.g_01024
OG0000061	Prbe.g_01549	Syar.g_01539
OG0000062	Prbe.g_00226	Syar.g_02911
OG0000063	Prbe.g_00021	Syar.g_00509
OG0000064	Prbe.g_00172	Syar.g_03117, Syar.g_00860
OG0000065	Prbe.g_01649	Syar.g_03119
OG0000066	Prbe.g_00596, Prbe.g_01114	Syar.g_03187, Syar.g_02228
OG0000067	Prbe.g_01222	Syar.g_02639
OG0000068	Prbe.g_00373	Syar.g_02329, Syar.g_01461
OG0000069	Prbe.g_00678	Syar.g_01716
OG0000070	Prbe.g_01948	Syar.g_02223
OG0000071	Prbe.g_00893	Syar.g_02777
OG0000072	Prbe.g_01719	Syar.g_00107, Syar.g_01140
OG0000073	Prbe.g_00633	Syar.g_01493
OG0000075	Prbe.g_00800	Syar.g_03065, Syar.g_00659
OG0000076	Prbe.g_00774	Syar.g_00608
OG0000077	Prbe.g_00183	Syar.g_03051
OG0000078	Prbe.g_01792	Syar.g_03265, Syar.g_03018
OG0000079	Prbe.g_01805	Syar.g_00166
OG0000080	Prbe.g_00339, Prbe.g_00337	Syar.g_00585
OG0000081	Prbe.g_00604	Syar.g_01898
OG0000082	Prbe.g_00549, Prbe.g_00996	Syar.g_02202
OG0000085	Prbe.g_00007, Prbe.g_00993	Syar.g_02919
OG0000086	Prbe.g_00192	Syar.g_03085
OG0000087	Prbe.g_01683	Syar.g_03192, Syar.g_00068
OG0000088	Prbe.g_01714	Syar.g_00101
OG0000089	Prbe.g_01915	Syar.g_01162
OG0000090	Prbe.g_00602	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Prbe.g_01477	Syar.g_01891, Syar.g_02426
OG0000093	Prbe.g_01448	Syar.g_02623
OG0000094	Prbe.g_01399	Syar.g_01789
OG0000095	Prbe.g_01297	Syar.g_01932
OG0000097	Prbe.g_01503	Syar.g_01706, Syar.g_00364
OG0000098	Prbe.g_00397	Syar.g_02343
OG0000099	Prbe.g_00350	Syar.g_00715
OG0000100	Prbe.g_00232	Syar.g_02477
OG0000101	Prbe.g_00836	Syar.g_01073, Syar.g_03154
OG0000102	Prbe.g_00769	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Prbe.g_01195	Syar.g_00014, Syar.g_00452
OG0000104	Prbe.g_01061	Syar.g_00466
OG0000105	Prbe.g_01828	Syar.g_00218
OG0000106	Prbe.g_00740	Syar.g_01748
OG0000107	Prbe.g_00921	Syar.g_03290, Syar.g_00149
OG0000108	Prbe.g_00653	Syar.g_01469
OG0000109	Prbe.g_00639	Syar.g_03310, Syar.g_01485
OG0000110	Prbe.g_00560	Syar.g_02295
OG0000111	Prbe.g_01207	Syar.g_01940, Syar.g_00005
OG0000112	Prbe.g_00487	Syar.g_03195, Syar.g_02548
OG0000113	Prbe.g_01245	Syar.g_02664
OG0000114	Prbe.g_00417	Syar.g_01616
OG0000115	Prbe.g_01618	Syar.g_02854, Syar.g_01415
OG0000116	Prbe.g_01560	Syar.g_01525, Syar.g_02255
OG0000117	Prbe.g_01522	Syar.g_01969
