Orthogroup	Prbe	Prar
OG0000000	Prbe.g_01119	Prar.g_00713, Prar.g_00729
OG0000001	Prbe.g_00400	Prar.g_00926
OG0000002	Prbe.g_01285, Prbe.g_01290	Prar.g_00918
OG0000002	Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584, Prbe.g_00208, Prbe.g_00452	Prar.g_01508
OG0000004	Prbe.g_01203	Prar.g_01525
OG0000004	Prbe.g_01784	Prar.g_00095
OG0000005	Prbe.g_00228	Prar.g_00771
OG0000006	Prbe.g_01794	Prar.g_00086
OG0000007	Prbe.g_00636	Prar.g_01328
OG0000007	Prbe.g_00985	Prar.g_01143
OG0000008	Prbe.g_00036	Prar.g_01185
OG0000010	Prbe.g_00659	Prar.g_00524
OG0000010	Prbe.g_00096, Prbe.g_01411	Prar.g_01567, Prar.g_01912
OG0000012	Prbe.g_00511, Prbe.g_00196	Prar.g_01453
OG0000013	Prbe.g_01879	Prar.g_00260
OG0000014	Prbe.g_01861	Prar.g_00281
OG0000015	Prbe.g_01046, Prbe.g_01000	Prar.g_01179
OG0000017	Prbe.g_00536, Prbe.g_00529	Prar.g_01428
OG0000018	Prbe.g_01250	Prar.g_01711
OG0000018	Prbe.g_01571	Prar.g_01282
OG0000019	Prbe.g_01802	Prar.g_00078
OG0000019	Prbe.g_01573	Prar.g_01663
OG0000020	Prbe.g_00018	Prar.g_01007, Prar.g_01155, Prar.g_01561
OG0000021	Prbe.g_00203, Prbe.g_01208	Prar.g_00425
OG0000022	Prbe.g_00220	Prar.g_01649
OG0000023	Prbe.g_00062	Prar.g_00420
OG0000024	Prbe.g_01415	Prar.g_01634
OG0000024	Prbe.g_00449	Prar.g_01505
OG0000025	Prbe.g_01258	Prar.g_00256, Prar.g_01718
OG0000026	Prbe.g_00132	Prar.g_00007, Prar.g_01919
OG0000027	Prbe.g_00012, Prbe.g_01121	Prar.g_00520
OG0000028	Prbe.g_00034	Prar.g_00985
OG0000029	Prbe.g_01091	Prar.g_00436
OG0000030	Prbe.g_00763	Prar.g_00662
OG0000031	Prbe.g_00352	Prar.g_00879
OG0000034	Prbe.g_00882	Prar.g_00945
OG0000035	Prbe.g_00311	Prar.g_00339
OG0000037	Prbe.g_01651	Prar.g_00219
OG0000038	Prbe.g_01156	Prar.g_00702
OG0000039	Prbe.g_00461	Prar.g_01516
OG0000041	Prbe.g_00938	Prar.g_00602
OG0000042	Prbe.g_00766	Prar.g_00660
OG0000043	Prbe.g_01570	Prar.g_01755
OG0000047	Prbe.g_01921	Prar.g_00468
