locus_tag	ftype	length_bp	gene	EC_number	COG	product
Syak.g_00001	gene	507				
Syak.g_00001	CDS	507				hypothetical protein
Syak.g_00002	gene	630				
Syak.g_00002	CDS	630				hypothetical protein
Syak.g_00003	gene	1056	bicA_1			
Syak.g_00003	CDS	1056	bicA_1		COG0659	Bicarbonate transporter BicA
Syak.g_00004	gene	1116	pyrC_1			
Syak.g_00004	CDS	1116	pyrC_1	3.5.2.3	COG0418	Dihydroorotase
Syak.g_00005	gene	2682				
Syak.g_00005	CDS	2682				hypothetical protein
Syak.g_00006	gene	86				
Syak.g_00006	tRNA	86				tRNA-Leu(taa)
Syak.g_00007	gene	264	ndhL			
Syak.g_00007	CDS	264	ndhL	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit L
Syak.g_00008	gene	357				
Syak.g_00008	CDS	357				hypothetical protein
Syak.g_00009	gene	804	trpA			
Syak.g_00009	CDS	804	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
Syak.g_00010	gene	372				
Syak.g_00010	CDS	372				hypothetical protein
Syak.g_00011	gene	270	yciI			
Syak.g_00011	CDS	270	yciI		COG2350	Protein YciI
Syak.g_00012	gene	342	petJ_1			
Syak.g_00012	CDS	342	petJ_1			Cytochrome c6
Syak.g_00013	gene	246				
Syak.g_00013	CDS	246				hypothetical protein
Syak.g_00014	gene	570				
Syak.g_00014	CDS	570				hypothetical protein
Syak.g_00015	gene	564				
Syak.g_00015	CDS	564				hypothetical protein
Syak.g_00016	gene	255				
Syak.g_00016	CDS	255				hypothetical protein
Syak.g_00017	gene	333				
Syak.g_00017	CDS	333				hypothetical protein
Syak.g_00018	gene	387				
Syak.g_00018	CDS	387				hypothetical protein
Syak.g_00019	gene	396	rpoD			
Syak.g_00019	CDS	396	rpoD			RNA polymerase sigma factor RpoD
Syak.g_00020	gene	636	sigA2_1			
Syak.g_00020	CDS	636	sigA2_1		COG0568	RNA polymerase sigma factor SigA2
Syak.g_00021	gene	492				
Syak.g_00021	CDS	492				hypothetical protein
Syak.g_00022	gene	651				
Syak.g_00022	CDS	651				hypothetical protein
Syak.g_00023	gene	735				
Syak.g_00023	CDS	735				hypothetical protein
Syak.g_00024	gene	669	hisI			
