Orthogroup	Pras	Prbg
OG0000000	Pras.g_00243	Prbg.g_01222, Prbg.g_01227
OG0000000	Pras.g_01554	Prbg.g_01119, Prbg.g_00694, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521
OG0000002	Pras.g_00235	Prbg.g_00502
OG0000002	Pras.g_00541, Pras.g_00118, Pras.g_00120	Prbg.g_01069
OG0000003	Pras.g_00182, Pras.g_00471, Pras.g_00136	Prbg.g_01524
OG0000004	Pras.g_01638	Prbg.g_00451
OG0000005	Pras.g_00470, Pras.g_00493	Prbg.g_01567
OG0000006	Pras.g_01375	Prbg.g_00216
OG0000006	Pras.g_00550	Prbg.g_01650
OG0000009	Pras.g_01681	Prbg.g_01510
OG0000009	Pras.g_01101	Prbg.g_01032
OG0000010	Pras.g_00004, Pras.g_00163	Prbg.g_00032
OG0000011	Pras.g_01263	Prbg.g_00143
OG0000012	Pras.g_01474	Prbg.g_00324, Prbg.g_00317
OG0000013	Pras.g_00127	Prbg.g_01589, Prbg.g_01635
OG0000014	Pras.g_00185, Pras.g_01348	Prbg.g_01569, Prbg.g_00721
OG0000015	Pras.g_00539, Pras.g_01235	Prbg.g_01578, Prbg.g_01611
OG0000016	Pras.g_00246	Prbg.g_01540, Prbg.g_00688
OG0000017	Pras.g_00886	Prbg.g_01595, Prbg.g_00612
OG0000018	Pras.g_00148, Pras.g_01093	Prbg.g_01024
OG0000019	Pras.g_00507, Pras.g_01218	Prbg.g_01145
OG0000020	Pras.g_01227	Prbg.g_00050
OG0000021	Pras.g_01683	Prbg.g_01632
OG0000023	Pras.g_00157	Prbg.g_00686
OG0000024	Pras.g_01158	Prbg.g_00086
OG0000028	Pras.g_00350	Prbg.g_00591
OG0000029	Pras.g_00464, Pras.g_00538	Prbg.g_00174
OG0000032	Pras.g_00331	Prbg.g_00550
OG0000034	Pras.g_00285	Prbg.g_00569
OG0000034	Pras.g_00096	Prbg.g_00816
OG0000036	Pras.g_01462	Prbg.g_00304, Prbg.g_01639
OG0000037	Pras.g_01499	Prbg.g_00342, Prbg.g_00706
OG0000038	Pras.g_01662	Prbg.g_00682
OG0000039	Pras.g_01017	Prbg.g_00944
OG0000040	Pras.g_01213	Prbg.g_00013
