Orthogroup	Pras	Prav
OG0000000	Pras.g_00243	Prav.g_01466
OG0000000	Pras.g_01554	Prav.g_01276
OG0000001	Pras.g_00469	Prav.g_01821
OG0000002	Pras.g_00235	Prav.g_01458
OG0000002	Pras.g_00541	Prav.g_01734
OG0000002	Pras.g_00118, Pras.g_00120	Prav.g_01820, Prav.g_02007, Prav.g_00962
OG0000003	Pras.g_00182	Prav.g_01413
OG0000003	Pras.g_00471	Prav.g_01698
OG0000003	Pras.g_00136	Prav.g_01019
OG0000004	Pras.g_01631	Prav.g_00330
OG0000004	Pras.g_01638	Prav.g_00338
OG0000005	Pras.g_00470	Prav.g_01695
OG0000006	Pras.g_01375	Prav.g_01095
OG0000006	Pras.g_00550	Prav.g_01761
OG0000007	Pras.g_01548	Prav.g_01270
OG0000008	Pras.g_01237	Prav.g_01000
OG0000008	Pras.g_00151	Prav.g_01016
OG0000009	Pras.g_01681	Prav.g_00375
OG0000009	Pras.g_01101	Prav.g_01896
OG0000010	Pras.g_00163	Prav.g_01400
OG0000011	Pras.g_01182	Prav.g_01976
OG0000012	Pras.g_01474	Prav.g_01194
OG0000013	Pras.g_00127	Prav.g_00961
OG0000014	Pras.g_00185	Prav.g_01416
OG0000014	Pras.g_01348	Prav.g_01068
OG0000015	Pras.g_01235	Prav.g_00998
OG0000016	Pras.g_00246	Prav.g_01469
OG0000017	Pras.g_00370	Prav.g_01598
OG0000018	Pras.g_00148, Pras.g_01093	Prav.g_02001
OG0000019	Pras.g_01218	Prav.g_00984
OG0000020	Pras.g_01227	Prav.g_00993
OG0000021	Pras.g_01683	Prav.g_00377
OG0000022	Pras.g_00184	Prav.g_01736, Prav.g_01415
OG0000023	Pras.g_00463	Prav.g_01688
OG0000024	Pras.g_01158	Prav.g_01952
OG0000025	Pras.g_01969	Prav.g_00247
OG0000026	Pras.g_00875	Prav.g_00101
OG0000027	Pras.g_01634	Prav.g_00333
OG0000028	Pras.g_00350	Prav.g_01578
OG0000029	Pras.g_00464	Prav.g_01689
OG0000029	Pras.g_00538	Prav.g_01881
OG0000031	Pras.g_00179	Prav.g_01410
OG0000033	Pras.g_00855	Prav.g_00081
OG0000034	Pras.g_00285, Pras.g_00096	Prav.g_01533
OG0000036	Pras.g_01462	Prav.g_01182
OG0000037	Pras.g_01499	Prav.g_01221
OG0000038	Pras.g_01662	Prav.g_00360
OG0000039	Pras.g_01017	Prav.g_00872
OG0000040	Pras.g_01213	Prav.g_00979
OG0000041	Pras.g_01296	Prav.g_01022
OG0000042	Pras.g_01606	Prav.g_00306
OG0000043	Pras.g_01686	Prav.g_00381
OG0000044	Pras.g_00056	Prav.g_00065
OG0000045	Pras.g_00291	Prav.g_01512
OG0000046	Pras.g_00543	Prav.g_01754
OG0000047	Pras.g_00743	Prav.g_00689
OG0000048	Pras.g_00750	Prav.g_00696
OG0000050	Pras.g_00873	Prav.g_00099
OG0000051	Pras.g_01008	Prav.g_00881
OG0000052	Pras.g_01223	Prav.g_00989
OG0000053	Pras.g_01416	Prav.g_01137
OG0000054	Pras.g_01656	Prav.g_00354
OG0000055	Pras.g_01723	Prav.g_00419
OG0000056	Pras.g_00011	Prav.g_00021
OG0000057	Pras.g_01089	Prav.g_00801
OG0000058	Pras.g_01353	Prav.g_01073
OG0000059	Pras.g_01574	Prav.g_01296
OG0000060	Pras.g_01636	Prav.g_00335
OG0000061	Pras.g_00021	Prav.g_00031
OG0000061	Pras.g_01880	Prav.g_00576
OG0000062	Pras.g_00023	Prav.g_00033
OG0000063	Pras.g_00150	Prav.g_01390
OG0000064	Pras.g_00504	Prav.g_01729
OG0000065	Pras.g_00209	Prav.g_01438
OG0000066	Pras.g_00330, Pras.g_00273, Pras.g_00271, Pras.g_00272	Prav.g_01513
OG0000067	Pras.g_00142	Prav.g_01334
OG0000068	Pras.g_00687	Prav.g_00632
OG0000069	Pras.g_00326	Prav.g_01499
OG0000070	Pras.g_00191	Prav.g_01421
OG0000071	Pras.g_00853	Prav.g_00079
OG0000072	Pras.g_01174	Prav.g_01968
OG0000073	Pras.g_01545	Prav.g_01267
OG0000074	Pras.g_01567	Prav.g_01289
OG0000075	Pras.g_01708	Prav.g_00404
OG0000076	Pras.g_01934	Prav.g_00933
OG0000078	Pras.g_00294	Prav.g_01514
OG0000079	Pras.g_00431	Prav.g_01656
OG0000080	Pras.g_00477	Prav.g_01705
OG0000081	Pras.g_00717	Prav.g_00663
OG0000082	Pras.g_00806	Prav.g_00751
OG0000083	Pras.g_00845	Prav.g_00789
OG0000084	Pras.g_00848	Prav.g_00792
OG0000085	Pras.g_00865	Prav.g_00091
OG0000086	Pras.g_00892	Prav.g_00110
OG0000087	Pras.g_00902	Prav.g_00120
OG0000088	Pras.g_00964	Prav.g_00178
OG0000089	Pras.g_00972	Prav.g_00186
OG0000090	Pras.g_00990	Prav.g_00204
OG0000091	Pras.g_01020	Prav.g_00869
OG0000092	Pras.g_01021	Prav.g_00868
OG0000093	Pras.g_01035	Prav.g_00854
OG0000094	Pras.g_01053	Prav.g_00836
OG0000095	Pras.g_01058	Prav.g_00831
OG0000096	Pras.g_01103	Prav.g_01898
OG0000097	Pras.g_01126	Prav.g_01920
OG0000098	Pras.g_01136	Prav.g_01930
OG0000099	Pras.g_01145	Prav.g_01940
OG0000100	Pras.g_01148	Prav.g_01943
OG0000101	Pras.g_01210	Prav.g_00976
OG0000102	Pras.g_01236	Prav.g_00999
OG0000103	Pras.g_01354	Prav.g_01074
OG0000104	Pras.g_01358	Prav.g_01078
OG0000105	Pras.g_01377	Prav.g_01097
OG0000106	Pras.g_01409	Prav.g_01130
OG0000107	Pras.g_01410	Prav.g_01131
OG0000108	Pras.g_01420	Prav.g_01141
OG0000109	Pras.g_01429	Prav.g_01150
OG0000110	Pras.g_01445	Prav.g_01166
OG0000111	Pras.g_01527	Prav.g_01249
OG0000112	Pras.g_01528	Prav.g_01250
OG0000113	Pras.g_01628	Prav.g_00328
OG0000114	Pras.g_01699	Prav.g_00395
OG0000115	Pras.g_01859	Prav.g_00556
OG0000116	Pras.g_01863	Prav.g_00560
OG0000117	Pras.g_01931	Prav.g_00930
OG0000118	Pras.g_01982	Prav.g_00261
OG0000119	Pras.g_00026	Prav.g_00036
OG0000120	Pras.g_00062	Prav.g_00071
OG0000121	Pras.g_00081	Prav.g_01856
OG0000122	Pras.g_00101	Prav.g_01837
OG0000123	Pras.g_00114	Prav.g_01824
OG0000124	Pras.g_00122	Prav.g_02003
OG0000125	Pras.g_00221, Pras.g_00222	Prav.g_01450
OG0000126	Pras.g_00250	Prav.g_01473
OG0000127	Pras.g_00337	Prav.g_01565
OG0000128	Pras.g_00351	Prav.g_01579
OG0000129	Pras.g_00388	Prav.g_01615
OG0000130	Pras.g_00548	Prav.g_01759
OG0000131	Pras.g_00586	Prav.g_01797
OG0000132	Pras.g_00589	Prav.g_01800
OG0000133	Pras.g_00646	Prav.g_00591
OG0000134	Pras.g_00682	Prav.g_00627
OG0000135	Pras.g_00684	Prav.g_00629
OG0000136	Pras.g_00728	Prav.g_00674
OG0000137	Pras.g_00761	Prav.g_00706
OG0000138	Pras.g_00797	Prav.g_00741
OG0000139	Pras.g_00824	Prav.g_00768
OG0000140	Pras.g_00843	Prav.g_00787
OG0000141	Pras.g_00844	Prav.g_00788
OG0000142	Pras.g_00846	Prav.g_00790
OG0000143	Pras.g_00847	Prav.g_00791
OG0000144	Pras.g_00849	Prav.g_00793
OG0000145	Pras.g_00850	Prav.g_00794
OG0000146	Pras.g_00851	Prav.g_00795
OG0000147	Pras.g_00852	Prav.g_00078
OG0000148	Pras.g_00854	Prav.g_00080
OG0000149	Pras.g_00856	Prav.g_00082
OG0000150	Pras.g_00857	Prav.g_00083
OG0000151	Pras.g_00858	Prav.g_00084
OG0000152	Pras.g_00859	Prav.g_00085
OG0000153	Pras.g_00860	Prav.g_00086
OG0000154	Pras.g_00861	Prav.g_00087
OG0000155	Pras.g_00862	Prav.g_00088
OG0000156	Pras.g_00863	Prav.g_00089
OG0000157	Pras.g_00864	Prav.g_00090
OG0000158	Pras.g_00866	Prav.g_00092
OG0000159	Pras.g_00867	Prav.g_00093
OG0000160	Pras.g_00868	Prav.g_00094
OG0000161	Pras.g_00869	Prav.g_00095
OG0000162	Pras.g_00870	Prav.g_00096
OG0000163	Pras.g_00871	Prav.g_00097
OG0000164	Pras.g_00874	Prav.g_00100
OG0000165	Pras.g_00877	Prav.g_00103
OG0000166	Pras.g_00878	Prav.g_00104
OG0000167	Pras.g_00879	Prav.g_00105
OG0000168	Pras.g_00893	Prav.g_00111
OG0000169	Pras.g_00895	Prav.g_00113
OG0000170	Pras.g_00896	Prav.g_00114
OG0000171	Pras.g_00897	Prav.g_00115
OG0000172	Pras.g_00898	Prav.g_00116
OG0000173	Pras.g_00899	Prav.g_00117
OG0000174	Pras.g_00900	Prav.g_00118
OG0000175	Pras.g_00901	Prav.g_00119
OG0000176	Pras.g_00903	Prav.g_00121
OG0000177	Pras.g_00904	Prav.g_00122
OG0000178	Pras.g_00905	Prav.g_00123
OG0000179	Pras.g_00916	Prav.g_00129
OG0000180	Pras.g_00917	Prav.g_00130
OG0000181	Pras.g_00918	Prav.g_00131
OG0000182	Pras.g_00921	Prav.g_00134
OG0000183	Pras.g_00922	Prav.g_00135
OG0000184	Pras.g_00924	Prav.g_00138
OG0000185	Pras.g_00928	Prav.g_00142
OG0000186	Pras.g_00929	Prav.g_00143
OG0000187	Pras.g_00930	Prav.g_00144
OG0000188	Pras.g_00931	Prav.g_00145
OG0000189	Pras.g_00932	Prav.g_00146
OG0000190	Pras.g_00933	Prav.g_00147
OG0000191	Pras.g_00934	Prav.g_00148
OG0000192	Pras.g_00935	Prav.g_00149
OG0000193	Pras.g_00936	Prav.g_00150
OG0000194	Pras.g_00937	Prav.g_00151
OG0000195	Pras.g_00939	Prav.g_00153
OG0000196	Pras.g_00940	Prav.g_00154
OG0000197	Pras.g_00941	Prav.g_00155
OG0000198	Pras.g_00942	Prav.g_00156
OG0000199	Pras.g_00945	Prav.g_00159
OG0000200	Pras.g_00946	Prav.g_00160
OG0000201	Pras.g_00947	Prav.g_00161
OG0000202	Pras.g_00948	Prav.g_00162
OG0000203	Pras.g_00949	Prav.g_00163
OG0000204	Pras.g_00950	Prav.g_00164
OG0000205	Pras.g_00951	Prav.g_00165
OG0000206	Pras.g_00952	Prav.g_00166
OG0000207	Pras.g_00953	Prav.g_00167
OG0000208	Pras.g_00954	Prav.g_00168
OG0000209	Pras.g_00955	Prav.g_00169
OG0000210	Pras.g_00957	Prav.g_00171
