Orthogroup	Pras	Prbk
OG0000000	Pras.g_00243	Prbk.g_02574
OG0000000	Pras.g_01554	Prbk.g_01649
OG0000002	Pras.g_00235	Prbk.g_00561, Prbk.g_02701, Prbk.g_00630, Prbk.g_01196, Prbk.g_00170
OG0000003	Pras.g_00182, Pras.g_00471, Pras.g_00136	Prbk.g_00166
OG0000004	Pras.g_01638	Prbk.g_01701, Prbk.g_00304, Prbk.g_00355
OG0000006	Pras.g_00550	Prbk.g_00907
OG0000007	Pras.g_01548	Prbk.g_01820, Prbk.g_01819
OG0000009	Pras.g_01681, Pras.g_01101	Prbk.g_01004
OG0000011	Pras.g_01263	Prbk.g_02565
OG0000011	Pras.g_01182	Prbk.g_01202
OG0000012	Pras.g_01474	Prbk.g_01150, Prbk.g_01142
OG0000013	Pras.g_00127	Prbk.g_02558
OG0000016	Pras.g_00246	Prbk.g_01746, Prbk.g_01786
OG0000017	Pras.g_00886	Prbk.g_01230
OG0000018	Pras.g_00148, Pras.g_01093	Prbk.g_02695
OG0000019	Pras.g_00507, Pras.g_01218	Prbk.g_01137
OG0000024	Pras.g_01158	Prbk.g_00454
OG0000026	Pras.g_00875	Prbk.g_01613
OG0000028	Pras.g_00350	Prbk.g_00259
OG0000032	Pras.g_00331	Prbk.g_00534, Prbk.g_00539
OG0000034	Pras.g_00096	Prbk.g_00499
OG0000036	Pras.g_01462	Prbk.g_01122
OG0000037	Pras.g_01499	Prbk.g_02610
OG0000038	Pras.g_01662	Prbk.g_01667, Prbk.g_00212
OG0000039	Pras.g_01017	Prbk.g_00773, Prbk.g_01836
OG0000040	Pras.g_01213	Prbk.g_02448
OG0000042	Pras.g_01606	Prbk.g_00619, Prbk.g_01835
OG0000043	Pras.g_01686	Prbk.g_01642, Prbk.g_01644
OG0000044	Pras.g_00056	Prbk.g_01019
OG0000045	Pras.g_00291	Prbk.g_00479
OG0000046	Pras.g_00543	Prbk.g_00919
OG0000047	Pras.g_00883, Pras.g_00743	Prbk.g_00237
OG0000048	Pras.g_00750	Prbk.g_01495, Prbk.g_00140
OG0000050	Pras.g_00873	Prbk.g_01617
OG0000051	Pras.g_01008	Prbk.g_00764
OG0000052	Pras.g_01223	Prbk.g_00925
OG0000053	Pras.g_01416	Prbk.g_01094
OG0000054	Pras.g_01656	Prbk.g_01468
OG0000055	Pras.g_01723	Prbk.g_02493
OG0000056	Pras.g_00011	Prbk.g_00694
OG0000058	Pras.g_01353	Prbk.g_02113
OG0000059	Pras.g_01574	Prbk.g_01765
OG0000062	Pras.g_00023	Prbk.g_02195
OG0000063	Pras.g_00150	Prbk.g_01496
OG0000065	Pras.g_00209	Prbk.g_01183
OG0000066	Pras.g_00330, Pras.g_00273, Pras.g_00271, Pras.g_00272	Prbk.g_00477
OG0000068	Pras.g_00687	Prbk.g_00796, Prbk.g_00944
OG0000069	Pras.g_00326	Prbk.g_01209, Prbk.g_00480
OG0000070	Pras.g_00881, Pras.g_00191	Prbk.g_00841, Prbk.g_02591
OG0000071	Pras.g_00853	Prbk.g_02290
OG0000072	Pras.g_01174	Prbk.g_00472
OG0000073	Pras.g_01545	Prbk.g_00709
OG0000074	Pras.g_01567	Prbk.g_01815
OG0000075	Pras.g_01708	Prbk.g_02475
OG0000076	Pras.g_01934	Prbk.g_00056
OG0000078	Pras.g_00294	Prbk.g_00476
OG0000079	Pras.g_00431	Prbk.g_00931
OG0000080	Pras.g_00477	Prbk.g_02012
OG0000081	Pras.g_00717	Prbk.g_00512
OG0000082	Pras.g_00131	Prbk.g_02204
OG0000083	Pras.g_00845	Prbk.g_02281
OG0000084	Pras.g_00848	Prbk.g_02284
OG0000085	Pras.g_00865	Prbk.g_01626
OG0000087	Pras.g_00902	Prbk.g_02126
OG0000088	Pras.g_00964	Prbk.g_00191
OG0000089	Pras.g_00972	Prbk.g_00206
OG0000090	Pras.g_00990	Prbk.g_00559
