Orthogroup	Pras	Prbj
OG0000000	Pras.g_00243	Prbj.g_02517
OG0000000	Pras.g_01554	Prbj.g_00030
OG0000002	Pras.g_00235	Prbj.g_01549, Prbj.g_02662, Prbj.g_02690, Prbj.g_00672, Prbj.g_00169
OG0000003	Pras.g_00182, Pras.g_00471, Pras.g_00136	Prbj.g_00165
OG0000004	Pras.g_01638	Prbj.g_00697, Prbj.g_01897, Prbj.g_00073
OG0000006	Pras.g_01375	Prbj.g_01610
OG0000006	Pras.g_00550	Prbj.g_00857
OG0000007	Pras.g_01548	Prbj.g_00928, Prbj.g_00929
OG0000009	Pras.g_01681, Pras.g_01101	Prbj.g_01349
OG0000011	Pras.g_01263	Prbj.g_02509
OG0000011	Pras.g_01182	Prbj.g_00666
OG0000012	Pras.g_01474	Prbj.g_01761, Prbj.g_01769
OG0000013	Pras.g_00127	Prbj.g_02502
OG0000016	Pras.g_00246	Prbj.g_00740, Prbj.g_00778
OG0000017	Pras.g_00886	Prbj.g_00638
OG0000018	Pras.g_00148, Pras.g_01093	Prbj.g_02699
OG0000019	Pras.g_00507, Pras.g_01218	Prbj.g_01774
OG0000024	Pras.g_01158	Prbj.g_01442
OG0000026	Pras.g_00875	Prbj.g_01208
OG0000028	Pras.g_00350	Prbj.g_01056
OG0000032	Pras.g_00331	Prbj.g_01522, Prbj.g_01527
OG0000034	Pras.g_00096	Prbj.g_01487
OG0000036	Pras.g_01462	Prbj.g_01789
OG0000037	Pras.g_01499	Prbj.g_02552
OG0000038	Pras.g_01662	Prbj.g_00050, Prbj.g_01572
OG0000039	Pras.g_01017	Prbj.g_00521, Prbj.g_00912
OG0000040	Pras.g_01213	Prbj.g_02392
OG0000042	Pras.g_01606	Prbj.g_02178, Prbj.g_00913
OG0000043	Pras.g_01686	Prbj.g_00023, Prbj.g_00025
OG0000044	Pras.g_00056	Prbj.g_00971
OG0000045	Pras.g_00291	Prbj.g_01467
OG0000046	Pras.g_00543	Prbj.g_00869
OG0000047	Pras.g_00883, Pras.g_00743	Prbj.g_01598
OG0000048	Pras.g_00750	Prbj.g_01808, Prbj.g_00001
OG0000050	Pras.g_00873	Prbj.g_01204
OG0000051	Pras.g_01008	Prbj.g_00530
OG0000052	Pras.g_01223	Prbj.g_00875
OG0000053	Pras.g_01416	Prbj.g_02141
OG0000054	Pras.g_01656	Prbj.g_01324
OG0000055	Pras.g_01723	Prbj.g_02437
OG0000056	Pras.g_00011	Prbj.g_00227
OG0000058	Pras.g_01353	Prbj.g_00128
OG0000059	Pras.g_01574	Prbj.g_00758
OG0000062	Pras.g_00023	Prbj.g_01990
OG0000063	Pras.g_00150	Prbj.g_01915
OG0000065	Pras.g_00209	Prbj.g_01728
OG0000066	Pras.g_00330, Pras.g_00273, Pras.g_00271, Pras.g_00272	Prbj.g_01465
OG0000068	Pras.g_00687	Prbj.g_00415, Prbj.g_00981
OG0000069	Pras.g_00326	Prbj.g_00659, Prbj.g_01468
OG0000070	Pras.g_00881, Pras.g_00191	Prbj.g_00371, Prbj.g_02533
OG0000071	Pras.g_00853	Prbj.g_02085
OG0000072	Pras.g_01174	Prbj.g_01460
OG0000073	Pras.g_01545	Prbj.g_00824
OG0000074	Pras.g_01567	Prbj.g_00933
OG0000075	Pras.g_01708	Prbj.g_02419
OG0000076	Pras.g_01934	Prbj.g_01838
OG0000078	Pras.g_00294	Prbj.g_01464
OG0000079	Pras.g_00431	Prbj.g_00881
OG0000080	Pras.g_00477	Prbj.g_01678
OG0000081	Pras.g_00717	Prbj.g_01500
OG0000082	Pras.g_00131	Prbj.g_01999
OG0000083	Pras.g_00845	Prbj.g_02076
OG0000084	Pras.g_00848	Prbj.g_02079
OG0000085	Pras.g_00865	Prbj.g_01195
OG0000087	Pras.g_00902	Prbj.g_01921
OG0000088	Pras.g_00964	Prbj.g_01551
OG0000089	Pras.g_00972	Prbj.g_01566
OG0000090	Pras.g_00990	Prbj.g_01547
OG0000091	Pras.g_01020	Prbj.g_00518
OG0000092	Pras.g_01021	Prbj.g_00517
OG0000093	Pras.g_01035	Prbj.g_01138
OG0000094	Pras.g_01053	Prbj.g_01167
OG0000095	Pras.g_01059, Pras.g_01058	Prbj.g_00288
OG0000096	Pras.g_01103	Prbj.g_01352
OG0000097	Pras.g_01126	Prbj.g_01397
OG0000099	Pras.g_01145	Prbj.g_01422
OG0000100	Pras.g_01148	Prbj.g_01426
OG0000101	Pras.g_01210	Prbj.g_00067
OG0000102	Pras.g_01236	Prbj.g_02004
OG0000103	Pras.g_01354	Prbj.g_00127
OG0000104	Pras.g_01358	Prbj.g_01630
OG0000105	Pras.g_01377	Prbj.g_01608
OG0000106	Pras.g_01409	Prbj.g_02125
OG0000107	Pras.g_01410	Prbj.g_02127
OG0000108	Pras.g_01420	Prbj.g_02668
OG0000109	Pras.g_01429	Prbj.g_01866
OG0000110	Pras.g_01445	Prbj.g_01885
OG0000111	Pras.g_01527	Prbj.g_00792
OG0000112	Pras.g_01528	Prbj.g_00793
OG0000113	Pras.g_01628	Prbj.g_02314
OG0000114	Pras.g_01699	Prbj.g_02410
OG0000115	Pras.g_01859	Prbj.g_02268
OG0000116	Pras.g_01863	Prbj.g_02260
OG0000117	Pras.g_01931	Prbj.g_01841
OG0000118	Pras.g_01982	Prbj.g_02066
OG0000119	Pras.g_00026	Prbj.g_01992
