Orthogroup	Pras	Prai
OG0000000	Pras.g_00243	Prai.g_01363
OG0000000	Pras.g_01554	Prai.g_00707
OG0000001	Pras.g_00469	Prai.g_01775
OG0000002	Pras.g_00235	Prai.g_01235, Prai.g_01356
OG0000002	Pras.g_00118, Pras.g_00120	Prai.g_01236
OG0000003	Pras.g_00182	Prai.g_01314
OG0000003	Pras.g_00471	Prai.g_01596
OG0000003	Pras.g_00136	Prai.g_01774, Prai.g_00907
OG0000004	Pras.g_01631	Prai.g_00441
OG0000004	Pras.g_01638	Prai.g_01313
OG0000005	Pras.g_00470	Prai.g_01592
OG0000005	Pras.g_00493	Prai.g_01612
OG0000006	Pras.g_01375	Prai.g_00527
OG0000006	Pras.g_00550	Prai.g_01638
OG0000007	Pras.g_01548	Prai.g_00701
OG0000008	Pras.g_01237	Prai.g_00394
OG0000009	Pras.g_01681	Prai.g_00867
OG0000009	Pras.g_01101	Prai.g_00262
OG0000011	Pras.g_01263	Prai.g_00424
OG0000011	Pras.g_01182	Prai.g_00343
OG0000012	Pras.g_01474	Prai.g_00626
OG0000013	Pras.g_00127	Prai.g_01243
OG0000014	Pras.g_00185	Prai.g_00904
OG0000015	Pras.g_00539, Pras.g_01235	Prai.g_01259
OG0000016	Pras.g_00246	Prai.g_01366
OG0000017	Pras.g_00370, Pras.g_00886	Prai.g_01483
OG0000018	Pras.g_00148, Pras.g_01093	Prai.g_00252, Prai.g_00254
OG0000019	Pras.g_00507, Pras.g_01218	Prai.g_00378
OG0000020	Pras.g_01227	Prai.g_00387
OG0000022	Pras.g_00184	Prai.g_00905, Prai.g_01772
OG0000023	Pras.g_00463	Prai.g_01578
OG0000024	Pras.g_00304, Pras.g_01158	Prai.g_00319
OG0000025	Pras.g_01969	Prai.g_01093
OG0000026	Pras.g_00875	Prai.g_00033
OG0000027	Pras.g_00440	Prai.g_01549
OG0000028	Pras.g_00350	Prai.g_01463
OG0000029	Pras.g_00464	Prai.g_01579
OG0000031	Pras.g_00508	Prai.g_01263
OG0000031	Pras.g_00179	Prai.g_00434
OG0000032	Pras.g_00331	Prai.g_01444
OG0000033	Pras.g_00855	Prai.g_00013
OG0000034	Pras.g_00285, Pras.g_00096	Prai.g_00154
OG0000036	Pras.g_01462	Prai.g_00613
OG0000037	Pras.g_01499	Prai.g_00652
OG0000038	Pras.g_01662	Prai.g_00885
OG0000039	Pras.g_01017	Prai.g_00177
OG0000040	Pras.g_01213	Prai.g_00373
OG0000042	Pras.g_01606	Prai.g_00748
OG0000043	Pras.g_01686	Prai.g_00862
OG0000044	Pras.g_00056	Prai.g_01171
OG0000046	Pras.g_00543	Prai.g_01631
OG0000047	Pras.g_00883, Pras.g_00743	Prai.g_01838
OG0000048	Pras.g_00750	Prai.g_01845
OG0000050	Pras.g_00873	Prai.g_00031
OG0000051	Pras.g_01008	Prai.g_00168
OG0000052	Pras.g_01223	Prai.g_00383
OG0000053	Pras.g_01416	Prai.g_00567
OG0000054	Pras.g_01656	Prai.g_00909
OG0000055	Pras.g_01723	Prai.g_00825
OG0000056	Pras.g_00011	Prai.g_01132
OG0000057	Pras.g_01089	Prai.g_00248
OG0000058	Pras.g_01353	Prai.g_00505
OG0000059	Pras.g_01574	Prai.g_00727
OG0000060	Pras.g_01636	Prai.g_00431
OG0000060	Pras.g_01594, Pras.g_00529	Prai.g_01258
OG0000061	Pras.g_00021	Prai.g_01141
OG0000061	Pras.g_01880	Prai.g_00969
OG0000062	Pras.g_00023	Prai.g_01143
OG0000063	Pras.g_00150	Prai.g_01273
OG0000064	Pras.g_00504	Prai.g_01594
OG0000065	Pras.g_00209	Prai.g_01335
OG0000066	Pras.g_00273, Pras.g_00271, Pras.g_00272	Prai.g_01443
OG0000068	Pras.g_00687	Prai.g_01782
OG0000071	Pras.g_00853	Prai.g_00011
OG0000072	Pras.g_01174	Prai.g_00335
OG0000073	Pras.g_01545	Prai.g_00698
OG0000074	Pras.g_01567	Prai.g_00720
OG0000075	Pras.g_01708	Prai.g_00841, Prai.g_00840
OG0000076	Pras.g_01934	Prai.g_00918
OG0000077	Pras.g_00494	Prai.g_01613
OG0000078	Pras.g_00294	Prai.g_01393
OG0000079	Pras.g_00431	Prai.g_01540
OG0000080	Pras.g_00477	Prai.g_01270
OG0000081	Pras.g_00717	Prai.g_01812
OG0000082	Pras.g_00806, Pras.g_00131	Prai.g_01901
OG0000083	Pras.g_00845	Prai.g_00003
OG0000084	Pras.g_00848	Prai.g_00006
OG0000085	Pras.g_00865	Prai.g_00023
OG0000086	Pras.g_00892	Prai.g_00046
OG0000086	Pras.g_01273	Prai.g_00443
OG0000087	Pras.g_00902	Prai.g_00056
OG0000088	Pras.g_00964	Prai.g_00113
OG0000089	Pras.g_00972	Prai.g_00121
OG0000090	Pras.g_00990	Prai.g_00139
OG0000091	Pras.g_01020	Prai.g_00180
OG0000092	Pras.g_01021	Prai.g_00181
OG0000093	Pras.g_01035	Prai.g_00195
OG0000094	Pras.g_01053	Prai.g_00213
OG0000095	Pras.g_01059, Pras.g_01058	Prai.g_00218
OG0000096	Pras.g_01103	Prai.g_00264
OG0000097	Pras.g_01126	Prai.g_00286
OG0000098	Pras.g_01136	Prai.g_00297
OG0000099	Pras.g_01145	Prai.g_00307, Prai.g_00741
OG0000100	Pras.g_01148	Prai.g_00310
OG0000101	Pras.g_01210	Prai.g_00369
OG0000102	Pras.g_01236	Prai.g_00393
OG0000103	Pras.g_01354	Prai.g_00506
OG0000104	Pras.g_01358	Prai.g_00510
OG0000105	Pras.g_01377	Prai.g_00529
OG0000106	Pras.g_01409	Prai.g_00560
OG0000107	Pras.g_01410	Prai.g_00561
OG0000108	Pras.g_01420	Prai.g_00571
OG0000109	Pras.g_01429	Prai.g_00580
OG0000110	Pras.g_01445	Prai.g_00597
OG0000111	Pras.g_01527	Prai.g_00680
OG0000112	Pras.g_01528	Prai.g_00681
OG0000113	Pras.g_01628	Prai.g_00770
OG0000114	Pras.g_01699	Prai.g_00850
OG0000115	Pras.g_01859	Prai.g_00989
OG0000116	Pras.g_01863	Prai.g_00985
OG0000117	Pras.g_01931	Prai.g_00921
OG0000118	Pras.g_01982	Prai.g_01107
OG0000119	Pras.g_00026	Prai.g_01146
OG0000120	Pras.g_00062	Prai.g_01177
OG0000121	Pras.g_00081	Prai.g_01197
OG0000122	Pras.g_00101	Prai.g_01217
OG0000123	Pras.g_00114	Prai.g_01230
OG0000124	Pras.g_00122	Prai.g_01238
OG0000125	Pras.g_00221, Pras.g_00222	Prai.g_01347
OG0000126	Pras.g_00250	Prai.g_01370
OG0000127	Pras.g_00337	Prai.g_01450
OG0000128	Pras.g_00351	Prai.g_01464
OG0000129	Pras.g_00388	Prai.g_01499
OG0000130	Pras.g_00548	Prai.g_01636
OG0000131	Pras.g_00586	Prai.g_01674
OG0000132	Pras.g_00589	Prai.g_01677
OG0000133	Pras.g_00646	Prai.g_01735
OG0000134	Pras.g_00682	Prai.g_01777
OG0000135	Pras.g_00684	Prai.g_01779
OG0000136	Pras.g_00728	Prai.g_01823
OG0000137	Pras.g_00761	Prai.g_01855
OG0000138	Pras.g_00797	Prai.g_01892
OG0000139	Pras.g_00824	Prai.g_01918
OG0000140	Pras.g_00843	Prai.g_00001
OG0000141	Pras.g_00844	Prai.g_00002
OG0000142	Pras.g_00846	Prai.g_00004
OG0000143	Pras.g_00847	Prai.g_00005
OG0000144	Pras.g_00849	Prai.g_00007
OG0000145	Pras.g_00850	Prai.g_00008
OG0000146	Pras.g_00851	Prai.g_00009
OG0000147	Pras.g_00852	Prai.g_00010
OG0000148	Pras.g_00854	Prai.g_00012
OG0000149	Pras.g_00856	Prai.g_00014
OG0000150	Pras.g_00857	Prai.g_00015
OG0000151	Pras.g_00858	Prai.g_00016
OG0000152	Pras.g_00859	Prai.g_00017
