Orthogroup	Pras	Praf
OG0000000	Pras.g_00243	Praf.g_01631
OG0000000	Pras.g_01554	Praf.g_00948
OG0000002	Pras.g_00235	Praf.g_02422, Praf.g_01293, Praf.g_01031, Praf.g_01895, Praf.g_00818, Praf.g_01896
OG0000003	Pras.g_00182, Pras.g_00471, Pras.g_00136	Praf.g_00814
OG0000004	Pras.g_01638	Praf.g_01014, Praf.g_02005
OG0000006	Pras.g_01375	Praf.g_00614
OG0000006	Pras.g_00550	Praf.g_00480
OG0000007	Pras.g_01548	Praf.g_01224, Praf.g_01223
OG0000009	Pras.g_01681, Pras.g_01101	Praf.g_02214
OG0000011	Pras.g_01263	Praf.g_01898
OG0000011	Pras.g_01182	Praf.g_01864
OG0000012	Pras.g_01474	Praf.g_00760, Praf.g_00752
OG0000013	Pras.g_00127	Praf.g_01030, Praf.g_01033, Praf.g_01618
OG0000016	Pras.g_00246	Praf.g_01108, Praf.g_01143
OG0000017	Pras.g_00886	Praf.g_01828
OG0000018	Pras.g_00148, Pras.g_01093	Praf.g_00396, Praf.g_01719
OG0000019	Pras.g_00507, Pras.g_01218	Praf.g_00746
OG0000024	Pras.g_01158	Praf.g_02319, Praf.g_00112
OG0000025	Pras.g_01969	Praf.g_01105
OG0000026	Pras.g_00875	Praf.g_00041
OG0000028	Pras.g_00350	Praf.g_01794
OG0000030	Pras.g_00119	Praf.g_01757
OG0000032	Pras.g_00331	Praf.g_02400
OG0000033	Pras.g_00855	Praf.g_00014
OG0000034	Pras.g_00096	Praf.g_02366
OG0000036	Pras.g_01462	Praf.g_00731
OG0000037	Pras.g_01499	Praf.g_01668
OG0000038	Pras.g_01662	Praf.g_00965, Praf.g_00201
OG0000039	Pras.g_01017	Praf.g_02454, Praf.g_01239
OG0000042	Pras.g_01606	Praf.g_01302, Praf.g_01238
OG0000043	Pras.g_01686	Praf.g_00941, Praf.g_00943
OG0000044	Pras.g_00056	Praf.g_00854
OG0000045	Pras.g_00291	Praf.g_02345
OG0000046	Pras.g_00543	Praf.g_00491
OG0000047	Pras.g_00883, Pras.g_00743	Praf.g_00178
OG0000048	Pras.g_00750	Praf.g_00920, Praf.g_00164
OG0000050	Pras.g_00873	Praf.g_00037
OG0000051	Pras.g_01008	Praf.g_02445
OG0000052	Pras.g_01223	Praf.g_00496
OG0000053	Pras.g_01416	Praf.g_00672
OG0000054	Pras.g_01656	Praf.g_00348
OG0000055	Pras.g_01723	Praf.g_01556
OG0000056	Pras.g_00011	Praf.g_02587
OG0000057	Pras.g_01089	Praf.g_00386
OG0000058	Pras.g_01353	Praf.g_01907
OG0000059	Pras.g_01574	Praf.g_01125
OG0000062	Pras.g_00023	Praf.g_01034, Praf.g_02690
OG0000063	Pras.g_00150	Praf.g_00919
OG0000065	Pras.g_00209	Praf.g_00796
OG0000066	Pras.g_00330, Pras.g_00273, Pras.g_00271, Pras.g_00272	Praf.g_02343
OG0000068	Pras.g_00687	Praf.g_02119
OG0000069	Pras.g_00326	Praf.g_01851, Praf.g_02346
OG0000070	Pras.g_00881, Pras.g_00191	Praf.g_02084, Praf.g_01191, Praf.g_01964, Praf.g_01880, Praf.g_02641, Praf.g_02639, Praf.g_01879, Praf.g_01648
OG0000071	Pras.g_00853	Praf.g_00012
OG0000072	Pras.g_01174	Praf.g_02336
OG0000073	Pras.g_00327	Praf.g_01012
OG0000073	Pras.g_01545	Praf.g_01748
OG0000074	Pras.g_01567	Praf.g_01219, Praf.g_01218
OG0000075	Pras.g_01708	Praf.g_01537
OG0000076	Pras.g_01934	Praf.g_01274
OG0000078	Pras.g_00294	Praf.g_02342
OG0000079	Pras.g_00431	Praf.g_00501
OG0000080	Pras.g_00477	Praf.g_00549
OG0000081	Pras.g_00717	Praf.g_02382, Praf.g_02378, Praf.g_02380
OG0000082	Pras.g_00131	Praf.g_02699
OG0000083	Pras.g_00845	Praf.g_00003
OG0000084	Pras.g_00848	Praf.g_00006
OG0000085	Pras.g_00865	Praf.g_00028
OG0000087	Pras.g_00902	Praf.g_00333, Praf.g_02602
OG0000088	Pras.g_00964	Praf.g_00224
OG0000089	Pras.g_00972	Praf.g_00212
OG0000090	Pras.g_00990	Praf.g_02420
OG0000091	Pras.g_01020	Praf.g_02457
OG0000092	Pras.g_01021	Praf.g_02468
OG0000093	Pras.g_01035	Praf.g_02711, Praf.g_02492
OG0000094	Pras.g_01053	Praf.g_02521, Praf.g_02708
OG0000095	Pras.g_01059, Pras.g_01058	Praf.g_02532
OG0000096	Pras.g_01103	Praf.g_02217
OG0000097	Pras.g_01126	Praf.g_02271
OG0000099	Pras.g_01145	Praf.g_02296
OG0000100	Pras.g_01148	Praf.g_02300
OG0000101	Pras.g_01210	Praf.g_02012
OG0000102	Pras.g_01236	Praf.g_02715, Praf.g_02705
OG0000103	Pras.g_01354	Praf.g_01905
OG0000104	Pras.g_01358	Praf.g_00595
OG0000105	Pras.g_01377	Praf.g_00143, Praf.g_00616
OG0000106	Pras.g_01409	Praf.g_00658
OG0000107	Pras.g_01410	Praf.g_00660
OG0000108	Pras.g_01420	Praf.g_00681
OG0000109	Pras.g_01429	Praf.g_00692
OG0000110	Pras.g_01445	Praf.g_00711
OG0000111	Pras.g_01527	Praf.g_01036, Praf.g_01720
OG0000112	Pras.g_01528	Praf.g_01035, Praf.g_01721
OG0000113	Pras.g_01628	Praf.g_00144, Praf.g_01435
OG0000114	Pras.g_01699	Praf.g_01528
OG0000115	Pras.g_01859	Praf.g_01392
OG0000116	Pras.g_01863	Praf.g_01384, Praf.g_01383
OG0000117	Pras.g_01931	Praf.g_01277
