Orthogroup	Prav	Prar
OG0000000	Prav.g_01695	Prar.g_00729
OG0000000	Prav.g_01694	Prar.g_00730
OG0000001	Prav.g_01466	Prar.g_00918
OG0000001	Prav.g_01276	Prar.g_01508
OG0000002	Prav.g_01734	Prar.g_01203
OG0000002	Prav.g_01820, Prav.g_02007	Prar.g_01202
OG0000002	Prav.g_01458	Prar.g_00926
OG0000004	Prav.g_01413	Prar.g_00973
OG0000005	Prav.g_00330	Prar.g_01623
OG0000005	Prav.g_00338	Prar.g_01630
OG0000006	Prav.g_01400	Prar.g_00991
OG0000006	Prav.g_01732	Prar.g_01006
OG0000006	Prav.g_00351	Prar.g_01643
OG0000007	Prav.g_01016	Prar.g_01002
OG0000007	Prav.g_01000	Prar.g_00445
OG0000008	Prav.g_01095	Prar.g_01328
OG0000008	Prav.g_01761	Prar.g_01143
OG0000009	Prav.g_00302	Prar.g_00932
OG0000009	Prav.g_01421	Prar.g_00931
OG0000009	Prav.g_00953	Prar.g_01009
OG0000010	Prav.g_00375	Prar.g_01663
OG0000010	Prav.g_01896	Prar.g_00078
OG0000012	Prav.g_00993	Prar.g_00435
OG0000013	Prav.g_01688	Prar.g_00737
OG0000013	Prav.g_00170	Prar.g_00223
OG0000014	Prav.g_01952	Prar.g_00281
OG0000015	Prav.g_01976	Prar.g_00257
OG0000016	Prav.g_00961	Prar.g_01179
OG0000017	Prav.g_01068	Prar.g_00520
OG0000018	Prav.g_01194	Prar.g_01428
OG0000019	Prav.g_00998	Prar.g_00443
OG0000020	Prav.g_01469	Prar.g_00915
OG0000021	Prav.g_01598	Prar.g_00827
OG0000022	Prav.g_02001	Prar.g_00086
OG0000023	Prav.g_00984	Prar.g_00425
OG0000024	Prav.g_01406	Prar.g_00979
OG0000025	Prav.g_00343	Prar.g_01634
OG0000026	Prav.g_01736, Prav.g_01415	Prar.g_00971
OG0000027	Prav.g_01270	Prar.g_01502
OG0000028	Prav.g_01377	Prar.g_01185, Prar.g_00996
OG0000029	Prav.g_00376	Prar.g_01664
OG0000030	Prav.g_00377	Prar.g_01665
OG0000031	Prav.g_00696	Prar.g_00660
OG0000032	Prav.g_00101	Prar.g_00004, Prar.g_00005
OG0000033	Prav.g_00333	Prar.g_01626
OG0000034	Prav.g_01578	Prar.g_00339
OG0000035	Prav.g_01689	Prar.g_00736
OG0000035	Prav.g_01881	Prar.g_01170
OG0000036	Prav.g_00014	Prar.g_01315
OG0000039	Prav.g_00081	Prar.g_00025
OG0000040	Prav.g_01407, Prav.g_01014	Prar.g_00978
OG0000041	Prav.g_01221	Prar.g_01453
OG0000042	Prav.g_00741	Prar.g_00704
OG0000043	Prav.g_00251	Prar.g_01943
OG0000043	Prav.g_01877	Prar.g_01761
OG0000045	Prav.g_01182	Prar.g_01414
OG0000046	Prav.g_00360	Prar.g_01649
OG0000047	Prav.g_00065	Prar.g_01263
OG0000049	Prav.g_01512	Prar.g_00870
OG0000050	Prav.g_00872	Prar.g_00161
OG0000051	Prav.g_00979	Prar.g_00420
OG0000052	Prav.g_01022	Prar.g_00476
OG0000053	Prav.g_00306	Prar.g_01599
OG0000054	Prav.g_01754	Prar.g_01150
OG0000055	Prav.g_00689	Prar.g_00653
OG0000056	Prav.g_00099	Prar.g_00007
OG0000057	Prav.g_00881	Prar.g_00170, Prar.g_01569
OG0000058	Prav.g_00989	Prar.g_00431
OG0000059	Prav.g_01137	Prar.g_01369
OG0000060	Prav.g_00319	Prar.g_01612
OG0000061	Prav.g_00354	Prar.g_01644
OG0000062	Prav.g_00419	Prar.g_01706
OG0000063	Prav.g_00021	Prar.g_01307
OG0000065	Prav.g_00801	Prar.g_00090
OG0000066	Prav.g_01073	Prar.g_00525
OG0000067	Prav.g_01296	Prar.g_01528
OG0000068	Prav.g_00335	Prar.g_01628
OG0000069	Prav.g_00031	Prar.g_01298
OG0000070	Prav.g_00933	Prar.g_01904
OG0000071	Prav.g_01390	Prar.g_01003
OG0000072	Prav.g_01438	Prar.g_00955
OG0000073	Prav.g_01717	Prar.g_00934
OG0000074	Prav.g_01513	Prar.g_00880
OG0000075	Prav.g_00632	Prar.g_01027
OG0000076	Prav.g_01499	Prar.g_00886
OG0000077	Prav.g_00079	Prar.g_00027
OG0000078	Prav.g_01968	Prar.g_00265
OG0000079	Prav.g_00999	Prar.g_00444
OG0000080	Prav.g_01267	Prar.g_01499
OG0000081	Prav.g_01289	Prar.g_01521
OG0000082	Prav.g_00404	Prar.g_01691
OG0000083	Prav.g_00467	Prar.g_01755
OG0000084	Prav.g_00556	Prar.g_01833
OG0000085	Prav.g_00261	Prar.g_01953
OG0000086	Prav.g_00033	Prar.g_01296
OG0000088	Prav.g_01395	Prar.g_00998
OG0000089	Prav.g_01396	Prar.g_00997
OG0000090	Prav.g_01514	Prar.g_00872
OG0000091	Prav.g_01586	Prar.g_00839
OG0000092	Prav.g_01705	Prar.g_01166
OG0000093	Prav.g_00292	Prar.g_01090
OG0000094	Prav.g_00629	Prar.g_01030
OG0000095	Prav.g_00663	Prar.g_00627
OG0000096	Prav.g_00733	Prar.g_00696
OG0000097	Prav.g_00751	Prar.g_00072
OG0000098	Prav.g_00789	Prar.g_00035
OG0000099	Prav.g_00091	Prar.g_00015
OG0000100	Prav.g_00110	Prar.g_00581
OG0000101	Prav.g_00120	Prar.g_00570
OG0000102	Prav.g_00178	Prar.g_00215
OG0000103	Prav.g_00186	Prar.g_00207
