Orthogroup	Prav	Prbb
OG0000000	Prav.g_01695, Prav.g_00973	Prbb.g_01121, Prbb.g_01319, Prbb.g_00431, Prbb.g_01244
OG0000000	Prav.g_01821, Prav.g_01694	Prbb.g_01145, Prbb.g_01352, Prbb.g_01123, Prbb.g_01403, Prbb.g_01787
OG0000000	Prav.g_01738	Prbb.g_00103, Prbb.g_01313
OG0000001	Prav.g_01466	Prbb.g_00844
OG0000001	Prav.g_01276	Prbb.g_00683, Prbb.g_01549, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544
OG0000002	Prav.g_01734, Prav.g_00962, Prav.g_01820, Prav.g_02007	Prbb.g_01915, Prbb.g_00474, Prbb.g_01157
OG0000002	Prav.g_01458	Prbb.g_01611
OG0000004	Prav.g_01698, Prav.g_01413, Prav.g_01019	Prbb.g_01144, Prbb.g_00429, Prbb.g_01321, Prbb.g_01356, Prbb.g_01246, Prbb.g_01792
OG0000005	Prav.g_00338	Prbb.g_00425, Prbb.g_00748
OG0000006	Prav.g_01400, Prav.g_01732, Prav.g_00351	Prbb.g_01294
OG0000008	Prav.g_01095	Prbb.g_00501
OG0000008	Prav.g_01761	Prbb.g_01823
OG0000010	Prav.g_00375	Prbb.g_00757, Prbb.g_00761
OG0000011	Prav.g_00350	Prbb.g_01800
OG0000015	Prav.g_01976	Prbb.g_00386
OG0000016	Prav.g_00363, Prav.g_00961	Prbb.g_01158
OG0000017	Prav.g_01416, Prav.g_01068	Prbb.g_01375
OG0000018	Prav.g_01194	Prbb.g_00598
OG0000019	Prav.g_00998	Prbb.g_01189
OG0000020	Prav.g_01469	Prbb.g_01632
OG0000021	Prav.g_01598	Prbb.g_01705
OG0000022	Prav.g_02001	Prbb.g_01328, Prbb.g_01560, Prbb.g_00299
OG0000023	Prav.g_00984	Prbb.g_00099
OG0000024	Prav.g_01406	Prbb.g_01207, Prbb.g_01182, Prbb.g_01192
OG0000025	Prav.g_00343	Prbb.g_01175, Prbb.g_00680
OG0000026	Prav.g_01736, Prav.g_01415	Prbb.g_01119, Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01243, Prbb.g_01400
OG0000027	Prav.g_01750	Prbb.g_01885
OG0000028	Prav.g_01377	Prbb.g_01884
OG0000029	Prav.g_00376	Prbb.g_00747, Prbb.g_01897
OG0000030	Prav.g_00377	Prbb.g_01020, Prbb.g_01379, Prbb.g_01019, Prbb.g_01096, Prbb.g_01362
OG0000031	Prav.g_00696	Prbb.g_02069
OG0000032	Prav.g_00101	Prbb.g_01921
OG0000033	Prav.g_01309, Prav.g_00333	Prbb.g_01114, Prbb.g_01127
OG0000034	Prav.g_01578	Prbb.g_01686
OG0000035	Prav.g_01689, Prav.g_01881	Prbb.g_01324, Prbb.g_01729
OG0000036	Prav.g_00014	Prbb.g_01071
