Orthogroup	Syan	Syal
OG0000001	Syan.g_02266	Syal.g_00874, Syal.g_01184
OG0000003	Syan.g_01063, Syan.g_01258, Syan.g_02794, Syan.g_01055	Syal.g_02153
OG0000004	Syan.g_00183	Syal.g_01809
OG0000004	Syan.g_00989	Syal.g_02718
OG0000005	Syan.g_01423	Syal.g_00606
OG0000005	Syan.g_01378	Syal.g_00565
OG0000005	Syan.g_00449	Syal.g_01664
OG0000006	Syan.g_01505, Syan.g_02101, Syan.g_02441	Syal.g_00674
OG0000006	Syan.g_00791	Syal.g_02611
OG0000007	Syan.g_02743	Syal.g_02918
OG0000007	Syan.g_01400	Syal.g_00587
OG0000008	Syan.g_00640, Syan.g_02532	Syal.g_02512
OG0000008	Syan.g_00641, Syan.g_02531	Syal.g_01783
OG0000009	Syan.g_02972	Syal.g_02089, Syal.g_00818
OG0000010	Syan.g_02847	Syal.g_00464
OG0000012	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485	Syal.g_02535, Syal.g_01639
OG0000014	Syan.g_01987	Syal.g_01305
OG0000015	Syan.g_01691	Syal.g_02210, Syal.g_01183
OG0000016	Syan.g_01766	Syal.g_00111
OG0000016	Syan.g_02598	Syal.g_01734
OG0000017	Syan.g_01013	Syal.g_02745
OG0000017	Syan.g_01006	Syal.g_02752
OG0000018	Syan.g_02816	Syal.g_00410
OG0000019	Syan.g_02088	Syal.g_01209
OG0000022	Syan.g_00089	Syal.g_02587
OG0000023	Syan.g_00404	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000025	Syan.g_00374	Syal.g_02459
OG0000026	Syan.g_01743	Syal.g_00132
OG0000027	Syan.g_02678	Syal.g_02543
OG0000028	Syan.g_01971	Syal.g_01319
OG0000030	Syan.g_01884	Syal.g_01511
OG0000030	Syan.g_01883	Syal.g_01512
OG0000031	Syan.g_01967	Syal.g_01404, Syal.g_01432
OG0000032	Syan.g_02835	Syal.g_00428
OG0000032	Syan.g_01819	Syal.g_00183
OG0000033	Syan.g_03036	Syal.g_00912
OG0000034	Syan.g_01227, Syan.g_03003	Syal.g_00881, Syal.g_01586
OG0000035	Syan.g_01276	Syal.g_00020, Syal.g_00370
OG0000037	Syan.g_00136, Syan.g_02978, Syan.g_00917	Syal.g_00824
OG0000038	Syan.g_01569	Syal.g_01071
OG0000038	Syan.g_01571	Syal.g_01073
OG0000039	Syan.g_02771	Syal.g_01097
OG0000040	Syan.g_01651	Syal.g_01149
OG0000041	Syan.g_01465	Syal.g_00649
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Syal.g_01705, Syal.g_01508
OG0000044	Syan.g_01065	Syal.g_01853, Syal.g_01847
OG0000048	Syan.g_02036	Syal.g_01250
OG0000053	Syan.g_02812	Syal.g_00406
OG0000054	Syan.g_02503	Syal.g_02739
OG0000054	Syan.g_00231, Syan.g_00506	Syal.g_02098
OG0000055	Syan.g_00312	Syal.g_01845
OG0000058	Syan.g_01128, Syan.g_01124	Syal.g_01326
OG0000060	Syan.g_02856	Syal.g_00480, Syal.g_02895
OG0000060	Syan.g_00277	Syal.g_02214
OG0000061	Syan.g_02696	Syal.g_01653
OG0000062	Syan.g_01380	Syal.g_00567
OG0000062	Syan.g_00098	Syal.g_02113
OG0000063	Syan.g_01739	Syal.g_00136
OG0000064	Syan.g_02519, Syan.g_00785, Syan.g_02518	Syal.g_02544
OG0000065	Syan.g_02974	Syal.g_00820, Syal.g_02528
OG0000066	Syan.g_01156	Syal.g_02828
OG0000067	Syan.g_00690	Syal.g_02414
