Orthogroup	Syan	Prbm
OG0000004	Syan.g_00183	Prbm.g_01483
OG0000004	Syan.g_00989	Prbm.g_00291
OG0000005	Syan.g_01378	Prbm.g_01790
OG0000006	Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588
OG0000007	Syan.g_02743	Prbm.g_00522
OG0000007	Syan.g_01400	Prbm.g_01841
OG0000008	Syan.g_00640, Syan.g_02532	Prbm.g_01907
OG0000008	Syan.g_00641, Syan.g_02531	Prbm.g_01908
OG0000009	Syan.g_02972	Prbm.g_01235, Prbm.g_01400
OG0000010	Syan.g_02847	Prbm.g_01066, Prbm.g_00499
OG0000012	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485	Prbm.g_01106
OG0000013	Syan.g_02156, Syan.g_02159, Syan.g_00101	Prbm.g_00382
OG0000014	Syan.g_01987	Prbm.g_00362
OG0000016	Syan.g_01766	Prbm.g_00013
OG0000016	Syan.g_02598, Syan.g_00440	Prbm.g_01944
OG0000017	Syan.g_01006	Prbm.g_00635
OG0000018	Syan.g_02816	Prbm.g_01571, Prbm.g_00843
OG0000019	Syan.g_02088	Prbm.g_00792
OG0000021	Syan.g_01001	Prbm.g_01939
OG0000022	Syan.g_00089	Prbm.g_01204, Prbm.g_01324
OG0000023	Syan.g_00404	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284
OG0000025	Syan.g_00374	Prbm.g_00849
OG0000026	Syan.g_01743	Prbm.g_00031
OG0000028	Syan.g_01971	Prbm.g_01656
OG0000030	Syan.g_01884, Syan.g_01883	Prbm.g_02105
OG0000032	Syan.g_02835	Prbm.g_01747
OG0000033	Syan.g_03036	Prbm.g_00228
OG0000034	Syan.g_01227, Syan.g_03003	Prbm.g_01620
OG0000035	Syan.g_01276	Prbm.g_01710
OG0000037	Syan.g_00136, Syan.g_02978, Syan.g_00917	Prbm.g_00166
OG0000038	Syan.g_00064, Syan.g_01569, Syan.g_01571	Prbm.g_02174
OG0000039	Syan.g_02771, Syan.g_00535	Prbm.g_00723
OG0000041	Syan.g_01465	Prbm.g_01886
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Prbm.g_02102
OG0000044	Syan.g_01065	Prbm.g_00478, Prbm.g_01281
OG0000045	Syan.g_00086, Syan.g_00151	Prbm.g_01088
OG0000046	Syan.g_02157, Syan.g_02160	Prbm.g_00383
OG0000048	Syan.g_02036	Prbm.g_00329
OG0000052	Syan.g_01954, Syan.g_01953	Prbm.g_00114
OG0000053	Syan.g_02812	Prbm.g_01729
OG0000054	Syan.g_02503	Prbm.g_00637
OG0000055	Syan.g_00312	Prbm.g_00778, Prbm.g_01921
OG0000058	Syan.g_01128, Syan.g_01124	Prbm.g_00881
OG0000060	Syan.g_00277	Prbm.g_01422
OG0000061	Syan.g_02696	Prbm.g_01549
OG0000062	Syan.g_00098	Prbm.g_01792
OG0000063	Syan.g_01739	Prbm.g_01947
OG0000065	Syan.g_02974	Prbm.g_00164
OG0000066	Syan.g_01156	Prbm.g_00572
OG0000067	Syan.g_00690	Prbm.g_00814
OG0000068	Syan.g_00845, Syan.g_00257, Syan.g_02773	Prbm.g_01660
OG0000069	Syan.g_00278	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753
OG0000070	Syan.g_00289	Prbm.g_00460
OG0000071	Syan.g_01213	Prbm.g_00468, Prbm.g_01611
OG0000072	Syan.g_03038, Syan.g_02999	Prbm.g_00230
OG0000073	Syan.g_02741	Prbm.g_00533
OG0000075	Syan.g_00981, Syan.g_01937	Prbm.g_02069
OG0000076	Syan.g_01896	Prbm.g_02094
OG0000077	Syan.g_02919, Syan.g_02579	Prbm.g_00135
OG0000079	Syan.g_02079, Syan.g_02067, Syan.g_02085	Prbm.g_00311
OG0000082	Syan.g_00952	Prbm.g_01900
OG0000085	Syan.g_01387	Prbm.g_01834
OG0000086	Syan.g_02946, Syan.g_02515, Syan.g_00114	Prbm.g_00145
OG0000087	Syan.g_02268	Prbm.g_00198
OG0000088	Syan.g_03031	Prbm.g_00225
OG0000089	Syan.g_02316	Prbm.g_00423
OG0000090	Syan.g_01166	Prbm.g_00566
OG0000091	Syan.g_00235, Syan.g_00808	Prbm.g_00673
OG0000092	Syan.g_02502	Prbm.g_00934
OG0000093	Syan.g_02934	Prbm.g_00799
OG0000094	Syan.g_00065	Prbm.g_00888
OG0000097	Syan.g_00160, Syan.g_00733	Prbm.g_01502
OG0000098	Syan.g_00043	Prbm.g_01630
OG0000099	Syan.g_01968	Prbm.g_00394
OG0000100	Syan.g_00658	Prbm.g_01787
OG0000101	Syan.g_02199	Prbm.g_02033
OG0000102	Syan.g_01891	Prbm.g_02099
OG0000103	Syan.g_01692	Prbm.g_02218
OG0000104	Syan.g_01792	Prbm.g_02229
OG0000105	Syan.g_02031	Prbm.g_00331
OG0000106	Syan.g_00076	Prbm.g_01172, Prbm.g_01237
OG0000107	Syan.g_02106	Prbm.g_01949
OG0000108	Syan.g_02764	Prbm.g_00506
OG0000109	Syan.g_02748	Prbm.g_00519
OG0000110	Syan.g_00882	Prbm.g_00607
OG0000111	Syan.g_00187	Prbm.g_00736
OG0000112	Syan.g_00556, Syan.g_00252	Prbm.g_00980
OG0000113	Syan.g_00664	Prbm.g_00838, Prbm.g_01191
