Orthogroup	Syan	Syat
OG0000001	Syan.g_02266	Syat.g_02908, Syat.g_02909
OG0000001	Syan.g_01149	Syat.g_01540
OG0000001	Syan.g_02528	Syat.g_00878
OG0000005	Syan.g_01423	Syat.g_03065
OG0000005	Syan.g_01378	Syat.g_03105
OG0000005	Syan.g_00449	Syat.g_01038
OG0000006	Syan.g_01505, Syan.g_02101, Syan.g_02441	Syat.g_01439, Syat.g_01865
OG0000006	Syan.g_00791	Syat.g_00371
OG0000007	Syan.g_02743	Syat.g_03191
OG0000007	Syan.g_01400	Syat.g_03124
OG0000008	Syan.g_00640, Syan.g_02532	Syat.g_02626
OG0000008	Syan.g_00641, Syan.g_02531	Syat.g_02627
OG0000009	Syan.g_02972	Syat.g_01567
OG0000010	Syan.g_02847	Syat.g_01372
OG0000012	Syan.g_00008	Syat.g_03313
OG0000012	Syan.g_00942	Syat.g_02642
OG0000013	Syan.g_02156, Syan.g_02159	Syat.g_01625
OG0000013	Syan.g_00101	Syat.g_01016
OG0000014	Syan.g_01987	Syat.g_02104
OG0000015	Syan.g_00248	Syat.g_00775, Syat.g_01677
OG0000016	Syan.g_01766	Syat.g_02329
OG0000016	Syan.g_02598	Syat.g_00909
OG0000016	Syan.g_00440	Syat.g_00222, Syat.g_00832
OG0000017	Syan.g_01006	Syat.g_00015
OG0000018	Syan.g_02816	Syat.g_01334
OG0000019	Syan.g_02088	Syat.g_01876
OG0000021	Syan.g_01001	Syat.g_00964
OG0000022	Syan.g_00089	Syat.g_00210
OG0000025	Syan.g_00374	Syat.g_00719
OG0000026	Syan.g_01743	Syat.g_02306
OG0000027	Syan.g_02678	Syat.g_00850
OG0000028	Syan.g_01971	Syat.g_02126
OG0000030	Syan.g_01884	Syat.g_00307
OG0000030	Syan.g_01883	Syat.g_00308
OG0000031	Syan.g_01967	Syat.g_02131
OG0000032	Syan.g_02835	Syat.g_01354
OG0000032	Syan.g_01819	Syat.g_02237
OG0000033	Syan.g_03036	Syat.g_02858
OG0000034	Syan.g_01227, Syan.g_03003	Syat.g_01165, Syat.g_02902
OG0000035	Syan.g_01276	Syat.g_01226
OG0000037	Syan.g_02978, Syan.g_00917	Syat.g_00849, Syat.g_00187
OG0000038	Syan.g_01569	Syat.g_02688
OG0000038	Syan.g_01571	Syat.g_02686
OG0000039	Syan.g_02771, Syan.g_00535	Syat.g_01278
OG0000040	Syan.g_01651	Syat.g_02551
OG0000041	Syan.g_00302	Syat.g_00785
OG0000042	Syan.g_00991, Syan.g_02643	Syat.g_00223
OG0000042	Syan.g_01888	Syat.g_02222
OG0000044	Syan.g_01065, Syan.g_00431, Syan.g_00435	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333
OG0000045	Syan.g_00086, Syan.g_00151	Syat.g_00935
OG0000046	Syan.g_02157, Syan.g_02160	Syat.g_01626, Syat.g_01026
OG0000048	Syan.g_02036	Syat.g_02046
OG0000052	Syan.g_01954, Syan.g_01953	Syat.g_02140
OG0000053	Syan.g_02812	Syat.g_01330
OG0000054	Syan.g_00231	Syat.g_00987
OG0000054	Syan.g_00506	Syat.g_03390
OG0000055	Syan.g_00312	Syat.g_00693
OG0000057	Syan.g_00643, Syan.g_02514	Syat.g_02055
OG0000058	Syan.g_01128, Syan.g_01124	Syat.g_01189
OG0000058	Syan.g_01964	Syat.g_02133, Syat.g_02238
OG0000059	Syan.g_02255	Syat.g_01832
OG0000060	Syan.g_02856	Syat.g_01384, Syat.g_01383
OG0000060	Syan.g_00277	Syat.g_01047
OG0000061	Syan.g_02696	Syat.g_03260
OG0000062	Syan.g_01380	Syat.g_03107
OG0000063	Syan.g_01739	Syat.g_02303
OG0000064	Syan.g_02518	Syat.g_01568
OG0000065	Syan.g_02974	Syat.g_01571
OG0000066	Syan.g_01156	Syat.g_03283
OG0000067	Syan.g_00690	Syat.g_00479
OG0000068	Syan.g_00845	Syat.g_00085
OG0000068	Syan.g_00257	Syat.g_01295
OG0000069	Syan.g_00459	Syat.g_00879
OG0000070	Syan.g_00289	Syat.g_01032, Syat.g_01040
OG0000071	Syan.g_01213	Syat.g_01153
OG0000072	Syan.g_03038	Syat.g_02856
OG0000072	Syan.g_02999	Syat.g_01597
OG0000073	Syan.g_02741	Syat.g_03201
OG0000075	Syan.g_00981	Syat.g_02497
OG0000076	Syan.g_01896	Syat.g_02206
OG0000077	Syan.g_02919	Syat.g_01481
OG0000079	Syan.g_02085	Syat.g_01879
OG0000080	Syan.g_01083, Syan.g_01962	Syat.g_01200
OG0000080	Syan.g_01110	Syat.g_02420
OG0000082	Syan.g_00952	Syat.g_00035
OG0000085	Syan.g_01387	Syat.g_03113
OG0000086	Syan.g_02515, Syan.g_00114	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Syan.g_02268	Syat.g_02912
OG0000088	Syan.g_03031	Syat.g_02862
OG0000089	Syan.g_02316	Syat.g_02953
