Orthogroup	Syan	Prbe
OG0000004	Syan.g_00183	Prbe.g_01203
OG0000004	Syan.g_00989	Prbe.g_01784
OG0000005	Syan.g_01378	Prbe.g_00228
OG0000006	Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441	Prbe.g_01794
OG0000007	Syan.g_02743	Prbe.g_00636
OG0000007	Syan.g_01400	Prbe.g_00985
OG0000008	Syan.g_00640, Syan.g_02532	Prbe.g_00036
OG0000008	Syan.g_00641, Syan.g_02531	Prbe.g_00037
OG0000009	Syan.g_02972	Prbe.g_00216
OG0000010	Syan.g_02847	Prbe.g_00096, Prbe.g_01411, Prbe.g_00659
OG0000012	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485	Prbe.g_00196, Prbe.g_00511
OG0000013	Syan.g_02156, Syan.g_02159, Syan.g_00101	Prbe.g_01879
OG0000014	Syan.g_01987	Prbe.g_01861
OG0000016	Syan.g_02598, Syan.g_00440	Prbe.g_01607
OG0000017	Syan.g_01013	Prbe.g_00529
OG0000017	Syan.g_01006	Prbe.g_00536
OG0000018	Syan.g_02816	Prbe.g_01571, Prbe.g_01250
OG0000019	Syan.g_02088	Prbe.g_01802, Prbe.g_01573
OG0000021	Syan.g_01001	Prbe.g_00203, Prbe.g_01208
OG0000022	Syan.g_00089	Prbe.g_00220
OG0000023	Syan.g_00404	Prbe.g_00062
OG0000025	Syan.g_00374	Prbe.g_01258
OG0000026	Syan.g_01743	Prbe.g_00132
OG0000027	Syan.g_02678	Prbe.g_01121, Prbe.g_00012
OG0000028	Syan.g_01971	Prbe.g_00034
OG0000030	Syan.g_01884, Syan.g_01883	Prbe.g_00763
OG0000032	Syan.g_02835	Prbe.g_00272
OG0000033	Syan.g_03036	Prbe.g_00345, Prbe.g_01717
OG0000034	Syan.g_01227, Syan.g_03003	Prbe.g_00882
OG0000035	Syan.g_01276	Prbe.g_00311
OG0000037	Syan.g_00136, Syan.g_02978, Syan.g_00917	Prbe.g_01651
OG0000038	Syan.g_00064, Syan.g_01569, Syan.g_01571	Prbe.g_01156
OG0000039	Syan.g_02771, Syan.g_00535	Prbe.g_00461
OG0000041	Syan.g_01465	Prbe.g_00938
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Prbe.g_00766
OG0000045	Syan.g_00086, Syan.g_00151	Prbe.g_01593
OG0000046	Syan.g_02157, Syan.g_02160	Prbe.g_01880
OG0000048	Syan.g_02036	Prbe.g_00906, Prbe.g_01825
OG0000052	Syan.g_01954, Syan.g_01953	Prbe.g_00158
OG0000053	Syan.g_02812	Prbe.g_01040, Prbe.g_00290
OG0000054	Syan.g_02503	Prbe.g_00527
OG0000055	Syan.g_00312	Prbe.g_01598, Prbe.g_01011
OG0000058	Syan.g_01128, Syan.g_01124	Prbe.g_00351
OG0000061	Syan.g_02696	Prbe.g_01549
OG0000062	Syan.g_01380, Syan.g_00098	Prbe.g_00226
OG0000063	Syan.g_01739	Prbe.g_00021
OG0000064	Syan.g_02519, Syan.g_00785, Syan.g_02518	Prbe.g_00172
OG0000065	Syan.g_02974	Prbe.g_01649
OG0000066	Syan.g_01156	Prbe.g_00596, Prbe.g_01114
OG0000067	Syan.g_00690	Prbe.g_01222
OG0000068	Syan.g_00845, Syan.g_00257, Syan.g_02773	Prbe.g_00373
OG0000069	Syan.g_00278	Prbe.g_00678
