Orthogroup	Syan	Praj
OG0000004	Syan.g_00183	Praj.g_01396
OG0000004	Syan.g_00989	Praj.g_00271
OG0000005	Syan.g_01423	Praj.g_01349
OG0000005	Syan.g_01378	Praj.g_01712
OG0000006	Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441	Praj.g_00282, Praj.g_01281, Praj.g_01505
OG0000007	Syan.g_02743	Praj.g_00489
OG0000007	Syan.g_01400	Praj.g_01768
OG0000008	Syan.g_00640, Syan.g_02532	Praj.g_01829
OG0000008	Syan.g_00641, Syan.g_02531	Praj.g_01830
OG0000010	Syan.g_02847	Praj.g_01026, Praj.g_00466
OG0000012	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485	Praj.g_01066
OG0000013	Syan.g_02156, Syan.g_02159, Syan.g_00101	Praj.g_00362
OG0000014	Syan.g_01987	Praj.g_00341
OG0000016	Syan.g_01766	Praj.g_00013
OG0000016	Syan.g_02598, Syan.g_00440	Praj.g_01865
OG0000017	Syan.g_01006	Praj.g_00592
OG0000018	Syan.g_02816	Praj.g_01482, Praj.g_00798
OG0000019	Syan.g_02088	Praj.g_00747
OG0000021	Syan.g_01001	Praj.g_01859, Praj.g_00084
OG0000022	Syan.g_00089	Praj.g_01189, Praj.g_01216
OG0000023	Syan.g_00404	Praj.g_01365, Praj.g_01329
OG0000025	Syan.g_00374	Praj.g_00805
OG0000026	Syan.g_01743	Praj.g_00031
OG0000027	Syan.g_02678	Praj.g_01331
OG0000028	Syan.g_01971	Praj.g_01571
OG0000030	Syan.g_01884, Syan.g_01883	Praj.g_02024
OG0000032	Syan.g_02835	Praj.g_01669
OG0000033	Syan.g_03036	Praj.g_00209
OG0000034	Syan.g_01227, Syan.g_03003	Praj.g_01538
OG0000035	Syan.g_01276	Praj.g_01632
OG0000037	Syan.g_00136, Syan.g_02978, Syan.g_00917	Praj.g_00147
OG0000038	Syan.g_00064, Syan.g_01569, Syan.g_01571	Praj.g_02089
OG0000039	Syan.g_02771, Syan.g_00535	Praj.g_00679
OG0000041	Syan.g_01465	Praj.g_01813
